symbol,date,entry_time_et,entry_price,stop_loss,pnl,avg_volume_20d,err,ask_pre,bid_pre,t_fill,first_trade_px,bar_trade_hi,bar_n_trades,ask_fill,bid_fill,r_ps,R,mid,sp_bps,excess,excess_bps,dR,dR_pos
RPID,2025-02-24,10:31:00,3.04,2.99,-1063.71,583313,,3.05,3.0,2025-02-24T15:31:14.277724+00:00,3.025,3.04,2,3.05,3.0,0.04999999999999982,-0.531855,3.025,165.28925619834652,0.009999999999999787,32.894736842104564,0.19999999999999646,0.19999999999999646
MSW,2025-02-27,09:47:00,5.09,4.8,-5042.15,420612,,5.08,4.88,2025-02-27T14:47:04.017302+00:00,5.06,5.06,4,5.08,4.88,0.29000000000000004,-2.5210749999999997,4.98,401.6064257028116,-0.009999999999999787,-19.64636542239644,-0.03448275862068892,0.0
PMA,2025-02-27,09:47:00,5.09,4.8,-5042.15,420612,,5.08,4.88,2025-02-27T14:47:04.017302+00:00,5.06,5.06,4,5.08,4.88,0.29000000000000004,-2.5210749999999997,4.98,401.6064257028116,-0.009999999999999787,-19.64636542239644,-0.03448275862068892,0.0
PCLA,2025-02-28,10:10:00,5.28,5.12,-3088.98,1782161,,5.25,5.2,2025-02-28T15:10:06.675201+00:00,5.2387,5.25,6,5.25,5.2,0.16000000000000014,-1.54449,5.225,95.69377990430588,-0.03000000000000025,-56.81818181818229,-0.1875000000000014,0.0
STAK,2025-02-28,10:16:00,3.52,3.41,1380.33,869210,,3.6,3.5,2025-02-28T15:16:07.841716+00:00,3.5,3.5857,5,3.6,3.5,0.10999999999999988,0.6901649999999999,3.55,281.6901408450707,0.08000000000000007,227.27272727272748,0.7272727272727287,0.7272727272727287
MAXN,2025-03-04,10:04:00,3.22,3.1,-1343.39,295043,,3.12,3.07,2025-03-04T15:04:19.326154+00:00,3.1076,3.35,79,3.12,3.07,0.1200000000000001,-0.671695,3.0949999999999998,161.5508885298878,-0.10000000000000009,-310.55900621118036,-0.8333333333333334,0.0
EWCZ,2025-03-11,09:56:00,4.13,3.97,4064.51,423153,,4.03,4.02,2025-03-11T13:56:04.148330+00:00,4.02,4.1564,333,4.03,4.02,0.1599999999999997,2.032255,4.025,24.844720496896084,-0.09999999999999964,-242.13075060532603,-0.624999999999999,0.0
KBSX,2025-03-19,10:07:00,3.87,3.7,16561.72,2714018,,3.78,3.75,2025-03-19T14:07:00.184205+00:00,3.765,3.94,63,3.78,3.75,0.16999999999999993,8.28086,3.7649999999999997,79.6812749003979,-0.0900000000000003,-232.5581395348845,-0.5294117647058844,0.0
OM,2025-03-20,10:26:00,10.02,9.66,16321.75,1110199,,9.92,9.68,2025-03-20T14:26:01.160583+00:00,9.79,10.0876,63,9.9,9.68,0.35999999999999943,8.160875,9.79,224.71910112359618,-0.11999999999999922,-119.7604790419154,-0.3333333333333317,0.0
TITN,2025-03-20,09:44:00,15.34,14.57,15668.38,230755,,15.61,15.05,2025-03-20T13:44:09.486667+00:00,15.3,15.5,57,15.62,15.25,0.7699999999999996,7.8341899999999995,15.434999999999999,239.71493359248413,0.27999999999999936,182.52933507170755,0.363636363636363,0.363636363636363
WHLR,2025-03-31,10:44:00,3.51,3.42,-2577.08,2546969,,3.5,3.33,2025-03-31T14:44:03.902952+00:00,3.3442,3.4916,6,3.5,3.33,0.08999999999999986,-1.28854,3.415,497.80380673499246,-0.009999999999999787,-28.490028490027886,-0.11111111111110891,0.0
TNXP,2025-04-07,09:56:00,17.19,16.82,2819.4,1700591,,17.0,16.82,2025-04-07T13:56:00.658753+00:00,17.0,17.6,120,17.0,16.82,0.370000000000001,1.4097,16.91,106.4458900059135,-0.19000000000000128,-110.52937754508508,-0.5135135135135156,0.0
FATN,2025-04-16,10:05:00,7.99,7.84,6421.82,2650064,,7.9,7.85,2025-04-16T14:05:07.323628+00:00,7.9,8.1775,71,7.9,7.85,0.15000000000000036,3.2109099999999997,7.875,63.492063492064396,-0.08999999999999986,-112.64080100125139,-0.5999999999999976,0.0
CPS,2025-05-02,09:52:00,19.79,18.99,19869.24,378777,,19.41,19.15,2025-05-02T13:52:00.813214+00:00,19.33,19.89,154,19.41,19.15,0.8000000000000007,9.93462,19.28,134.85477178423315,-0.379999999999999,-192.01616978271804,-0.4749999999999983,0.0
TSSI,2025-05-16,09:57:00,13.92,13.49,11441.55,947907,,13.76,13.67,2025-05-16T13:57:00.220487+00:00,13.75,13.88,689,13.76,13.67,0.4299999999999997,5.720775,13.715,65.62158220925984,-0.16000000000000014,-114.94252873563228,-0.3720930232558145,0.0
RYET,2025-05-23,10:14:00,13.09,12.49,-7355.78,1187461,,13.2,12.85,2025-05-23T14:14:04.385931+00:00,13.025,13.1,70,13.2,12.85,0.5999999999999996,-3.6778899999999997,13.024999999999999,268.71401151631454,0.10999999999999943,84.03361344537772,0.1833333333333325,0.1833333333333325
FMST,2025-05-28,09:42:00,3.72,3.55,3635.28,832094,,3.7,3.68,2025-05-28T13:42:00.629434+00:00,3.69,3.7,77,3.7,3.68,0.17000000000000037,1.8176400000000001,3.6900000000000004,54.2005420054201,-0.020000000000000018,-53.7634408602151,-0.11764705882352926,0.0
NEGG,2025-06-09,10:25:00,13.57,13.1,5167.55,931289,,13.45,13.3,2025-06-09T14:25:00.264310+00:00,13.4345,13.89,143,13.45,13.3,0.47000000000000064,2.583775,13.375,112.14953271027932,-0.120000000000001,-88.43036109064185,-0.25531914893617197,0.0
AGIG,2025-06-16,09:52:00,11.33,10.82,-7038.36,2104276,,11.11,11.1,2025-06-16T13:52:00.282705+00:00,11.11,11.4,100,11.11,11.1,0.5099999999999998,-3.51918,11.105,9.004952723998006,-0.22000000000000064,-194.17475728155395,-0.43137254901960925,0.0
