symbol,date,entry_time_et,entry_price,stop_loss,pnl,avg_volume_20d,err,ask_pre,bid_pre,t_fill,first_trade_px,bar_trade_hi,bar_n_trades,ask_fill,bid_fill
WYHG,2025-01-10,10:42:00,4.52,4.37,139.63,109600,,4.5,4.44,2025-01-10T15:42:05.969267+00:00,4.5,4.85,37.0,4.5,4.44
CTEV,2025-01-13,09:36:00,14.82,14.45,-3248.37,194708,,14.9,14.17,2025-01-13T14:36:01.536902+00:00,14.535,14.89,17.0,14.9,14.17
ASYS,2025-02-14,09:43:00,5.71,5.48,-366.62,36732,,5.77,5.59,2025-02-14T14:43:05.719716+00:00,5.6818,5.75,10.0,5.77,5.59
CNVS,2025-02-14,09:59:00,4.2,4.09,-622.89,145734,,4.22,4.17,2025-02-14T14:59:08.551058+00:00,4.177,4.22,38.0,4.22,4.17
FLD,2025-02-19,10:20:00,12.16,11.76,6243.9,127864,,12.0,11.77,2025-02-19T15:20:00.805287+00:00,11.9299,12.33,42.0,12.0,11.77
INSG,2025-02-20,09:49:00,9.5,9.18,467.22,114681,,9.32,9.19,2025-02-20T14:49:00.201178+00:00,9.255,9.48,68.0,9.32,9.19
LE,2025-02-25,09:02:00,13.04,12.49,-241.45,80719,,12.98,12.62,2025-02-25T14:02:03.354935+00:00,12.9799,12.98,6.0,12.98,12.62
SCOR,2025-03-05,09:53:00,7.19,6.99,-161.36,20471,,7.19,7.01,2025-03-05T14:53:04.727559+00:00,7.1,7.3,42.0,7.19,7.01
KLXE,2025-03-07,09:52:00,5.27,5.03,-1571.83,174056,,5.19,5.1,2025-03-07T14:52:02.006598+00:00,5.15,5.24,114.0,5.19,5.1
YRD,2025-03-20,09:44:00,7.49,7.12,-1287.66,162917,,7.5,7.41,2025-03-20T13:44:00.771958+00:00,7.455,7.4831,14.0,7.5,7.41
ZYBT,2025-03-25,10:12:00,6.69,6.59,-205.03,83342,,6.7,6.6,2025-03-25T14:12:11.471671+00:00,6.65,6.7499,17.0,6.7,6.6
NTCL,2025-04-04,10:07:00,7.14,6.72,3660.05,105915,fetch:'No key NTCL was found.',,,,,,,,
ARTV,2025-04-07,10:17:00,3.17,3.07,-498.55,131242,,3.19,3.07,2025-04-07T14:17:28.787241+00:00,3.19,3.19,7.0,3.19,3.11
INSG,2025-04-07,10:19:00,7.51,7.26,-1104.63,111077,,7.57,7.22,2025-04-07T14:19:13.833772+00:00,7.4772,7.4772,6.0,7.57,7.22
UFI,2025-04-17,09:43:00,5.48,5.3,-462.16,59873,,5.4,5.34,2025-04-17T13:43:00.538435+00:00,5.4,5.45,6.0,5.4,5.34
RYM,2025-05-02,09:41:00,18.49,17.82,-536.84,18512,,19.0,18.1,2025-05-02T13:41:04.431937+00:00,18.4,18.64,22.0,19.0,18.1
GDEV,2025-05-05,10:05:00,14.43,13.88,248.87,27720,,15.51,14.3,2025-05-05T14:05:21.958360+00:00,14.7,15.08,19.0,15.51,14.3
LCFY,2025-05-07,09:49:00,5.43,5.19,-151.18,29392,,5.5,5.15,2025-05-07T13:49:04.717517+00:00,5.4,5.5,18.0,5.5,5.4
SOS,2025-05-12,09:58:00,7.01,6.79,27.93,10471,,7.0,6.68,2025-05-12T13:58:01.427577+00:00,6.9638,7.529,56.0,7.0,6.68
GENK,2025-05-14,09:49:00,4.42,4.27,-120.4,36558,,,,2025-05-14T13:49:25.205139+00:00,4.4488,4.4488,12.0,4.45,4.35
FKWL,2025-05-19,09:46:00,4.11,3.95,112.63,25502,,4.16,4.0,2025-05-19T13:46:35.713924+00:00,4.0858,4.0858,1.0,4.16,4.0
SAIH,2025-05-27,10:41:00,6.27,6.0,308.21,51643,,6.29,6.02,2025-05-27T14:41:10.073348+00:00,6.2373,6.2373,3.0,6.29,6.02
YSXT,2025-05-28,10:22:00,7.87,7.58,1600.9,59505,,7.88,7.61,2025-05-28T14:22:04.506715+00:00,7.81,7.88,11.0,7.88,7.78
DDC,2025-05-30,10:34:00,8.04,7.75,-995.54,157660,,8.0,7.87,2025-05-30T14:34:05.839016+00:00,8.0,8.1,28.0,8.0,7.87
TWAV,2025-06-09,09:58:00,3.94,3.81,1081.47,177228,,3.93,3.83,2025-06-09T13:58:03.400038+00:00,3.88,3.97,40.0,3.93,3.83
LGL,2025-06-23,09:53:00,8.34,7.85,504.25,18602,,8.5,8.3,2025-06-23T13:53:00.375632+00:00,8.3002,8.75,55.0,8.5,8.3
SPAI,2025-07-11,09:59:00,3.39,3.28,164.92,30833,,3.38,3.29,2025-07-11T13:59:05.300338+00:00,3.3687,3.3687,8.0,3.38,3.29
DOGZ,2025-08-13,10:28:00,10.45,9.99,-722.06,73416,,10.39,10.01,2025-08-13T14:28:10.913256+00:00,10.37,10.9999,65.0,10.39,10.01
NPCE,2025-08-13,09:48:00,8.56,8.35,1230.54,190941,,8.62,8.46,2025-08-13T13:48:01.749752+00:00,8.53,8.58,27.0,8.62,8.46
APLM,2025-09-16,09:58:00,11.87,11.24,-1160.64,48320,,11.79,11.3,2025-09-16T13:58:02.840197+00:00,11.6,11.87,26.0,11.79,11.3
RMCO,2025-10-20,10:31:00,3.92,3.77,652.0,114411,,3.86,3.74,2025-10-20T14:31:00.773827+00:00,3.86,3.95,10.0,3.86,3.74
DZZ,2025-10-24,10:27:00,3.67,3.59,-169.49,95215,,3.68,3.6,2025-10-24T14:27:28.616369+00:00,3.6,3.67,8.0,3.67,3.6
EVCM,2025-11-07,09:37:00,8.96,8.66,930.16,168489,,9.04,8.87,2025-11-07T14:37:12.975781+00:00,8.92,9.03,3.0,9.04,8.87
NEPH,2025-11-10,09:55:00,4.39,4.22,152.5,65385,,4.46,4.3,2025-11-10T14:55:45.459140+00:00,4.36,4.45,9.0,4.46,4.35
LGHL,2025-11-26,10:34:00,6.03,5.89,656.28,138817,,6.15,6.0,2025-11-26T15:34:11.922596+00:00,6.0173,6.09,6.0,6.15,6.0
ARMU,2026-01-21,09:46:00,15.37,15.04,168.83,20451,,15.37,15.25,2026-01-21T14:46:24.358125+00:00,15.3618,15.3618,6.0,15.38,15.28
EEIQ,2026-02-17,10:32:00,3.67,3.5,-628.97,179967,,3.6,3.5,2026-02-17T15:32:15.237114+00:00,3.5,3.65,17.0,3.53,3.5
PLYX,2026-02-17,08:47:00,3.87,3.78,944.17,169686,,3.81,3.8,2026-02-17T13:47:00.022658+00:00,3.81,5.0,902.0,3.81,3.8
MG,2026-03-05,09:56:00,14.94,14.28,-119.52,134778,,15.23,14.72,2026-03-05T14:56:12.145166+00:00,14.73,14.99,38.0,15.23,14.72
VRCA,2026-03-11,09:47:00,6.12,5.85,145.47,136751,,6.2,5.94,2026-03-11T13:47:05.919921+00:00,6.1999,6.2,27.0,6.2,5.94
VATE,2026-03-30,09:46:00,5.31,5.16,70.16,16195,,5.28,5.2,2026-03-30T13:46:00.724342+00:00,5.27,5.29,6.0,5.28,5.2
KMRK,2026-04-20,10:31:00,3.51,3.39,1769.32,80258,,3.5,3.4,2026-04-20T14:31:18.195794+00:00,3.45,3.5,11.0,3.5,3.4
MED,2026-05-05,09:45:00,12.18,11.89,5182.65,190724,,12.17,12.0,2026-05-05T13:45:00.944385+00:00,12.085,12.16,17.0,12.17,12.0
BVC,2026-06-09,10:39:00,10.04,9.64,119.19,11085,,10.22,9.7,2026-06-09T14:39:06.448808+00:00,10.0,10.01,13.0,9.99,9.7
WXM,2026-07-06,09:50:00,5.18,5.04,1187.4,152858,,5.14,5.0,2026-07-06T13:50:00.295546+00:00,5.07,5.18,28.0,5.14,5.0
XPON,2026-07-21,10:43:00,3.31,3.2,253.29,112052,,3.3,3.21,2026-07-21T14:43:16.121888+00:00,3.21,3.345,8.0,3.3,3.21
OPAD,2026-08-04,09:42:00,4.01,3.84,255.54,50731,,4.16,4.0,2026-08-04T13:42:22.172392+00:00,3.99,4.01,9.0,4.16,4.0
OESX,2026-08-06,09:58:00,19.81,19.05,-2047.56,69285,,19.93,19.5,2026-08-06T13:58:02.304313+00:00,19.715,19.85,32.0,19.93,19.5
