symbol,date,entry_price,stop_loss,pnl,avg_volume_20d,n_q_pre,n_q_bar,err,q_ts,bid,ask,spread,spread_bps,bar_med_spread_bps
WYHG,2025-01-10,4.52,4.37,139.63,109600.0,3.0,70.0,,2025-01-10T15:41:49.770725+00:00,4.44,4.5,0.05999999999999961,134.22818791946221,474.4480906399951
CTEV,2025-01-13,14.82,14.45,-3248.37,194708.0,10.0,14.0,,2025-01-13T14:35:59.994299+00:00,14.17,14.9,0.7300000000000004,502.2359821121434,502.2359821121434
ASYS,2025-02-14,5.71,5.48,-366.62,36732.0,50.0,3.0,,2025-02-14T14:42:59.440992+00:00,5.59,5.77,0.17999999999999972,316.90140845070374,282.1869488536158
CNVS,2025-02-14,4.2,4.09,-622.89,145734.0,39.0,28.0,,2025-02-14T14:58:59.483895+00:00,4.17,4.22,0.04999999999999982,119.18951132300315,119.76047904191573
FLD,2025-02-19,12.16,11.76,6243.9,127864.0,20.0,16.0,,2025-02-19T15:19:38.922074+00:00,11.77,12.0,0.23000000000000043,193.5212452671438,83.68200836820054
INSG,2025-02-20,9.5,9.18,467.22,114681.0,79.0,94.0,,2025-02-20T14:48:58.253388+00:00,9.19,9.32,0.13000000000000078,140.46461372231312,180.3713527851458
LE,2025-02-25,13.04,12.49,-241.45,80719.0,5.0,7.0,,2025-02-25T14:01:24.773766+00:00,12.62,12.98,0.3600000000000012,281.25000000000097,651.5906477577627
SCOR,2025-03-05,7.19,6.99,-161.36,20471.0,1.0,12.0,,2025-03-05T14:51:23.603780+00:00,7.01,7.19,0.1800000000000006,253.52112676056427,272.6164750542191
KLXE,2025-03-07,5.27,5.03,-1571.83,174056.0,140.0,81.0,,2025-03-07T14:51:59.864829+00:00,5.1,5.19,0.09000000000000075,174.92711370262538,76.6283524904215
YRD,2025-03-20,7.49,7.12,-1287.66,162917.0,82.0,14.0,,2025-03-20T13:43:59.993475+00:00,7.41,7.5,0.08999999999999986,120.72434607645857,134.2281879194626
ZYBT,2025-03-25,6.69,6.59,-205.03,83342.0,11.0,8.0,,2025-03-25T14:11:41.255362+00:00,6.6,6.7,0.10000000000000053,150.37593984962484,209.7379453985584
NTCL,2025-04-04,,,,,,,'No key NTCL was found.',,,,,,
ARTV,2025-04-07,3.17,3.07,-498.55,131242.0,39.0,12.0,,2025-04-07T14:16:47.369320+00:00,3.07,3.19,0.1200000000000001,383.38658146964895,253.9682539682542
INSG,2025-04-07,7.51,7.26,-1104.63,111077.0,34.0,12.0,,2025-04-07T14:18:55.812352+00:00,7.22,7.57,0.35000000000000053,473.29276538201566,466.68697809019585
UFI,2025-04-17,5.48,5.3,-462.16,59873.0,63.0,21.0,,2025-04-17T13:42:59.991743+00:00,5.34,5.4,0.0600000000000005,111.73184357541993,92.16589861751119
RYM,2025-05-02,18.49,17.82,-536.84,18512.0,37.0,42.0,,2025-05-02T13:40:55.552421+00:00,18.1,19.0,0.8999999999999986,485.17520215633346,479.65656659540787
GDEV,2025-05-05,14.43,13.88,248.87,27720.0,54.0,22.0,,2025-05-05T14:04:52.411343+00:00,14.3,15.51,1.209999999999999,811.8081180811802,811.8081180811802
LCFY,2025-05-07,5.43,5.19,-151.18,29392.0,54.0,30.0,,2025-05-07T13:48:58.479657+00:00,5.15,5.5,0.34999999999999964,657.2769953051636,528.8012269501012
SOS,2025-05-12,7.01,6.79,27.93,10471.0,51.0,78.0,,2025-05-12T13:57:59.993612+00:00,6.68,7.0,0.3200000000000003,467.8362573099419,244.14640797880668
GENK,2025-05-14,4.42,4.27,-120.4,36558.0,0.0,4.0,no_pre_quote,,,,,,215.7930038179759
FKWL,2025-05-19,4.11,3.95,112.63,25502.0,52.0,1.0,,2025-05-19T13:45:40.290874+00:00,4.0,4.16,0.16000000000000014,392.15686274509835,392.15686274509835
SAIH,2025-05-27,6.27,6.0,308.21,51643.0,13.0,0.0,,2025-05-27T14:40:54.286817+00:00,6.02,6.29,0.27000000000000046,438.6677497969139,
YSXT,2025-05-28,7.87,7.58,1600.9,59505.0,8.0,5.0,,2025-05-28T14:21:23.559946+00:00,7.61,7.88,0.2699999999999996,348.612007746933,179.2573623559535
DDC,2025-05-30,8.04,7.75,-995.54,157660.0,40.0,16.0,,2025-05-30T14:33:59.999564+00:00,7.87,8.0,0.1299999999999999,163.83112791430355,231.0511540860881
TWAV,2025-06-09,3.94,3.81,1081.47,177228.0,14.0,50.0,,2025-06-09T13:57:54.761874+00:00,3.83,3.93,0.10000000000000009,257.73195876288685,204.60893397960467
LGL,2025-06-23,8.34,7.85,504.25,18602.0,44.0,50.0,,2025-06-23T13:52:59.734719+00:00,8.3,8.5,0.1999999999999993,238.09523809523725,384.3913803145021
SPAI,2025-07-11,3.39,3.28,164.92,30833.0,24.0,2.0,,2025-07-11T13:58:51.172128+00:00,3.29,3.38,0.08999999999999986,269.86506746626645,240.19569162786982
DOGZ,2025-08-13,10.45,9.99,-722.06,73416.0,52.0,68.0,,2025-08-13T14:27:55.123373+00:00,10.01,10.39,0.3800000000000008,372.54901960784395,639.6989651928518
NPCE,2025-08-13,8.56,8.35,1230.54,190941.0,43.0,23.0,,2025-08-13T13:47:59.799034+00:00,8.46,8.62,0.15999999999999837,187.3536299765789,105.82010582010565
APLM,2025-09-16,11.87,11.24,-1160.64,48320.0,25.0,12.0,,2025-09-16T13:57:53.124044+00:00,11.3,11.79,0.48999999999999844,424.4261585101762,474.935247034451
RMCO,2025-10-20,3.92,3.77,652.0,114411.0,34.0,24.0,,2025-10-20T14:30:53.954016+00:00,3.74,3.86,0.11999999999999966,315.78947368420967,416.666666666667
DZZ,2025-10-24,3.67,3.59,-169.49,95215.0,31.0,9.0,,2025-10-24T14:26:59.731034+00:00,3.6,3.68,0.08000000000000007,219.78021978021997,192.57221458046726
EVCM,2025-11-07,8.96,8.66,930.16,168489.0,59.0,2.0,,2025-11-07T14:36:54.803515+00:00,8.87,9.04,0.16999999999999993,189.83807928531542,189.83807928531542
NEPH,2025-11-10,4.39,4.22,152.5,65385.0,18.0,17.0,,2025-11-10T14:54:53.357632+00:00,4.3,4.46,0.16000000000000014,365.2968036529684,297.8235967926687
LGHL,2025-11-26,6.03,5.89,656.28,138817.0,13.0,17.0,,2025-11-26T15:32:59.185099+00:00,6.0,6.15,0.15000000000000036,246.91358024691417,598.2215036378336
ARMU,2026-01-21,15.37,15.04,168.83,20451.0,327.0,142.0,,2026-01-21T14:45:59.996930+00:00,15.25,15.37,0.11999999999999922,78.38014369692961,52.28758169934645
EEIQ,2026-02-17,3.67,3.5,-628.97,179967.0,18.0,15.0,,2026-02-17T15:30:53.727925+00:00,3.5,3.6,0.10000000000000009,281.6901408450707,287.35632183907944
PLYX,2026-02-17,3.87,3.78,944.17,169686.0,313.0,602.0,,2026-02-17T13:46:56.992177+00:00,3.8,3.81,0.010000000000000231,26.281208935611645,25.477707006370014
MG,2026-03-05,14.94,14.28,-119.52,134778.0,19.0,35.0,,2026-03-05T14:55:59.994013+00:00,14.72,15.23,0.5099999999999998,340.56761268781287,320.2134756504339
VRCA,2026-03-11,6.12,5.85,145.47,136751.0,45.0,6.0,,2026-03-11T13:46:42.809673+00:00,5.94,6.2,0.2599999999999998,428.3360790774296,347.39454094292796
VATE,2026-03-30,5.31,5.16,70.16,16195.0,17.0,9.0,,2026-03-30T13:45:59.993216+00:00,5.2,5.28,0.08000000000000007,152.67175572519096,340.26465028355335
KMRK,2026-04-20,3.51,3.39,1769.32,80258.0,36.0,9.0,,2026-04-20T14:30:39.596062+00:00,3.4,3.5,0.10000000000000009,289.85507246376835,287.35632183907944
MED,2026-05-05,12.18,11.89,5182.65,190724.0,62.0,35.0,,2026-05-05T13:44:59.993774+00:00,12.0,12.17,0.16999999999999993,140.67025237898216,124.01818933443603
BVC,2026-06-09,10.04,9.64,119.19,11085.0,19.0,9.0,,2026-06-09T14:38:51.253673+00:00,9.7,10.22,0.5200000000000014,522.0883534136559,331.15905669844466
WXM,2026-07-06,5.18,5.04,1187.4,152858.0,4.0,10.0,,2026-07-06T13:49:56.314814+00:00,5.0,5.14,0.13999999999999968,276.1341222879678,235.29502227997824
XPON,2026-07-21,3.31,3.2,253.29,112052.0,45.0,24.0,,2026-07-21T14:42:33.161411+00:00,3.21,3.3,0.08999999999999986,276.49769585253415,1097.5170506698273
OPAD,2026-08-04,4.01,3.84,255.54,50731.0,51.0,31.0,,2026-08-04T13:41:59.991388+00:00,4.0,4.16,0.16000000000000014,392.15686274509835,506.3291139240499
OESX,2026-08-06,19.81,19.05,-2047.56,69285.0,31.0,20.0,,2026-08-06T13:57:59.289562+00:00,19.5,19.93,0.4299999999999997,218.1080395637838,344.46042534091424
