symbol,date,entry_time_et,entry_price,stop_loss,pnl,avg_volume_20d,err,ask_pre,bid_pre,t_fill,first_trade_px,bar_trade_hi,bar_n_trades,ask_fill,bid_fill
RPID,2025-02-24,10:31:00,3.04,2.99,-1063.71,583313,,3.05,3.0,2025-02-24T15:31:14.277724+00:00,3.025,3.04,2,3.05,3.0
MSW,2025-02-27,09:47:00,5.09,4.8,-5042.15,420612,,5.08,4.88,2025-02-27T14:47:04.017302+00:00,5.06,5.06,4,5.08,4.88
PMA,2025-02-27,09:47:00,5.09,4.8,-5042.15,420612,,5.08,4.88,2025-02-27T14:47:04.017302+00:00,5.06,5.06,4,5.08,4.88
PCLA,2025-02-28,10:10:00,5.28,5.12,-3088.98,1782161,,5.25,5.2,2025-02-28T15:10:06.675201+00:00,5.2387,5.25,6,5.25,5.2
STAK,2025-02-28,10:16:00,3.52,3.41,1380.33,869210,,3.6,3.5,2025-02-28T15:16:07.841716+00:00,3.5,3.5857,5,3.6,3.5
MAXN,2025-03-04,10:04:00,3.22,3.1,-1343.39,295043,,3.12,3.07,2025-03-04T15:04:19.326154+00:00,3.1076,3.35,79,3.12,3.07
EWCZ,2025-03-11,09:56:00,4.13,3.97,4064.51,423153,,4.03,4.02,2025-03-11T13:56:04.148330+00:00,4.02,4.1564,333,4.03,4.02
KBSX,2025-03-19,10:07:00,3.87,3.7,16561.72,2714018,,3.78,3.75,2025-03-19T14:07:00.184205+00:00,3.765,3.94,63,3.78,3.75
OM,2025-03-20,10:26:00,10.02,9.66,16321.75,1110199,,9.92,9.68,2025-03-20T14:26:01.160583+00:00,9.79,10.0876,63,9.9,9.68
TITN,2025-03-20,09:44:00,15.34,14.57,15668.38,230755,,15.61,15.05,2025-03-20T13:44:09.486667+00:00,15.3,15.5,57,15.62,15.25
WHLR,2025-03-31,10:44:00,3.51,3.42,-2577.08,2546969,,3.5,3.33,2025-03-31T14:44:03.902952+00:00,3.3442,3.4916,6,3.5,3.33
TNXP,2025-04-07,09:56:00,17.19,16.82,2819.4,1700591,,17.0,16.82,2025-04-07T13:56:00.658753+00:00,17.0,17.6,120,17.0,16.82
FATN,2025-04-16,10:05:00,7.99,7.84,6421.82,2650064,,7.9,7.85,2025-04-16T14:05:07.323628+00:00,7.9,8.1775,71,7.9,7.85
CPS,2025-05-02,09:52:00,19.79,18.99,19869.24,378777,,19.41,19.15,2025-05-02T13:52:00.813214+00:00,19.33,19.89,154,19.41,19.15
TSSI,2025-05-16,09:57:00,13.92,13.49,11441.55,947907,,13.76,13.67,2025-05-16T13:57:00.220487+00:00,13.75,13.88,689,13.76,13.67
RYET,2025-05-23,10:14:00,13.09,12.49,-7355.78,1187461,,13.2,12.85,2025-05-23T14:14:04.385931+00:00,13.025,13.1,70,13.2,12.85
FMST,2025-05-28,09:42:00,3.72,3.55,3635.28,832094,,3.7,3.68,2025-05-28T13:42:00.629434+00:00,3.69,3.7,77,3.7,3.68
NEGG,2025-06-09,10:25:00,13.57,13.1,5167.55,931289,,13.45,13.3,2025-06-09T14:25:00.264310+00:00,13.4345,13.89,143,13.45,13.3
AGIG,2025-06-16,09:52:00,11.33,10.82,-7038.36,2104276,,11.11,11.1,2025-06-16T13:52:00.282705+00:00,11.11,11.4,100,11.11,11.1
EGG,2025-07-09,09:57:00,7.19,6.96,5405.37,1142215,,7.15,7.11,2025-07-09T13:57:00.540099+00:00,7.138,7.2586,47,7.15,7.11
SDM,2025-08-07,10:18:00,10.74,10.37,6989.64,752520,,10.64,10.31,2025-08-07T14:18:04.967884+00:00,10.63,11.0,70,10.64,10.31
FABC,2025-09-11,09:53:00,4.84,4.69,1438.8,341498,,4.81,4.71,2025-09-11T13:53:15.089559+00:00,4.8055,5.04,29,4.81,4.75
SBLX,2025-09-11,09:53:00,4.84,4.69,1438.8,341498,,4.81,4.71,2025-09-11T13:53:15.089559+00:00,4.8055,5.04,29,4.81,4.75
AQMS,2025-10-13,09:39:00,6.83,6.61,5940.78,2592400,,6.75,6.7,2025-10-13T13:39:00.745691+00:00,6.7216,6.8968,73,6.75,6.7
IPDN,2025-10-13,09:57:00,3.62,3.46,7649.24,2643889,,3.57,3.5,2025-10-13T13:57:00.520858+00:00,3.5001,3.65,130,3.57,3.5
DFNS,2025-10-16,09:38:00,15.28,14.86,-4605.8,2763531,,15.24,14.91,2025-10-16T13:38:00.407401+00:00,15.24,15.25,225,15.24,14.91
DTCK,2025-11-05,09:45:00,4.49,4.39,1662.44,2274726,,4.47,4.46,2025-11-05T14:45:00.940979+00:00,4.4697,4.47,71,4.47,4.46
AREN,2025-11-14,09:46:00,3.86,3.65,4393.89,228795,,3.94,3.75,2025-11-14T14:46:06.066578+00:00,3.845,3.9399,4,3.94,3.75
PAAI,2025-11-14,09:46:00,3.86,3.65,2441.07,228795,,3.94,3.75,2025-11-14T14:46:06.066578+00:00,3.845,3.9399,4,3.94,3.75
VELO,2025-11-20,09:46:00,4.92,4.74,4799.2,578889,,4.9,4.8,2025-11-20T14:46:03.997522+00:00,4.9,4.9,4,4.9,4.8
PHGE,2025-12-08,08:58:00,3.2,3.09,-2303.4,681064,,3.37,3.1,2025-12-08T13:58:08.124449+00:00,3.15,3.34,14,3.37,3.1
KZIA,2025-12-23,10:36:00,8.12,7.76,10966.85,284764,,8.07,8.01,2025-12-23T15:36:19.776260+00:00,8.04,8.25,55,8.07,8.01
KXIN,2025-12-29,10:15:00,5.2,4.96,-280.58,1456492,,5.18,4.97,2025-12-29T15:15:20.880139+00:00,4.97,5.18,7,5.18,4.97
KXIN,2025-12-29,10:19:00,5.2,4.96,-4455.71,1456492,,5.16,4.98,2025-12-29T15:19:18.765461+00:00,5.16,5.2,7,5.16,4.98
VELO,2026-01-06,09:49:00,17.1,16.64,1530.5,1889690,,17.15,16.67,2026-01-06T14:49:05.667411+00:00,17.01,17.15,52,17.15,16.99
BNRG,2026-01-27,10:00:00,3.19,3.03,2300.03,926502,,3.15,3.12,2026-01-27T15:00:08.356943+00:00,3.135,3.25,25,3.15,3.12
BRNX,2026-01-27,10:00:00,3.19,3.03,2300.03,926502,,3.15,3.12,2026-01-27T15:00:08.356943+00:00,3.135,3.25,25,3.15,3.12
KPTI,2026-02-12,09:46:00,7.81,7.51,10396.54,415232,,7.77,7.67,2026-02-12T14:46:02.708356+00:00,7.706,7.9792,99,7.77,7.67
DBGI,2026-02-17,10:23:00,5.66,5.48,-3482.72,767334,,5.65,5.54,2026-02-17T15:23:11.634812+00:00,5.65,5.65,9,5.65,5.54
ADVB,2026-02-24,10:42:00,4.88,4.72,-2729.01,424841,,4.85,4.75,2026-02-24T15:42:03.471403+00:00,4.84,4.95,27,4.85,4.8
LAW,2026-02-25,10:02:00,3.1,2.96,-2627.33,494942,,3.04,3.02,2026-02-25T15:02:06.237833+00:00,3.03,3.1657,155,3.04,3.02
ANPA,2026-02-27,10:14:00,11.04,10.55,-6314.41,539950,,11.0,10.5,2026-02-27T15:14:05.395127+00:00,10.66,11.0,15,11.0,10.5
QCLS,2026-03-06,10:20:00,3.97,3.79,917.64,328015,,3.93,3.89,2026-03-06T15:20:05.886944+00:00,3.93,3.99,184,3.93,3.89
EDHL,2026-03-13,10:13:00,3.64,3.51,301.81,210545,,3.64,3.52,2026-03-13T14:13:00.184789+00:00,3.64,3.64,15,3.64,3.52
MKDW,2026-03-26,09:51:00,6.13,5.86,7506.13,370929,,6.1,6.05,2026-03-26T13:51:00.596026+00:00,6.0604,6.1708,73,6.1,6.05
GLND,2026-04-01,09:47:00,8.22,8.02,-4498.4,1453348,,8.12,8.08,2026-04-01T13:47:02.078049+00:00,8.11,8.3,78,8.12,8.08
TMCR,2026-04-09,09:57:00,11.56,11.21,9761.27,588449,,11.95,11.02,2026-04-09T13:57:05.349469+00:00,11.55,11.55,10,11.95,11.02
TRT,2026-05-15,10:45:00,18.47,17.82,4202.5,2740118,,18.2,17.96,2026-05-15T14:45:00.109340+00:00,17.9743,18.46,132,18.2,17.96
MLGO,2026-05-20,10:15:00,4.6,4.4,7216.38,607952,,4.57,4.5,2026-05-20T14:15:01.283722+00:00,4.535,4.63,91,4.57,4.5
LESL,2026-06-09,10:05:00,6.77,6.58,-4461.13,2755669,,6.85,6.67,2026-06-09T14:05:04.293070+00:00,6.75,6.7894,25,6.85,6.67
INDP,2026-06-11,10:25:00,3.24,3.12,-219.46,2664475,,3.22,3.19,2026-06-11T14:25:00.804164+00:00,3.22,3.3,160,3.22,3.19
CRE,2026-06-12,10:23:00,3.17,3.04,4349.4,504064,,3.19,3.1,2026-06-12T14:23:00.010041+00:00,3.145,3.18,10,3.19,3.1
ASBP,2026-06-16,09:57:00,6.14,5.87,6511.86,1056507,,6.09,5.84,2026-06-16T13:57:02.499903+00:00,5.84,6.5,361,6.09,5.84
RBNE,2026-07-16,10:39:00,4.8,4.69,-1856.05,387808,,4.73,4.7,2026-07-16T14:39:01.266630+00:00,4.7299,4.79,50,4.73,4.7
TJGC,2026-08-18,10:22:00,4.97,4.75,-5210.23,1223937,,4.89,4.7,2026-08-18T14:22:00.235972+00:00,4.7194,4.99,64,4.89,4.7
RDAC,2026-08-24,10:18:00,5.98,5.88,937.8,901995,,6.2,5.62,2026-08-24T14:18:05.706283+00:00,5.95,5.95,1,6.2,5.62
