date,n,booked,strict,signed
2025-01-06/2025-01-12,1,140.0,140.0,406.0
2025-01-13/2025-01-19,1,-3248.0,-3681.0,-3681.0
2025-02-10/2025-02-16,2,-990.0,-1875.0,-1875.0
2025-02-17/2025-02-23,2,6711.0,6711.0,8636.0
2025-02-24/2025-03-02,1,-241.0,-241.0,-23.0
2025-03-03/2025-03-09,2,-1733.0,-1733.0,-1067.0
2025-03-17/2025-03-23,1,-1288.0,-1342.0,-1342.0
2025-03-24/2025-03-30,1,-205.0,-405.0,-405.0
2025-04-07/2025-04-13,2,-1603.0,-2483.0,-2483.0
2025-04-14/2025-04-20,1,-462.0,-462.0,427.0
2025-04-28/2025-05-04,1,-537.0,-2059.0,-2059.0
2025-05-05/2025-05-11,2,98.0,-4413.0,-4413.0
2025-05-12/2025-05-18,2,-92.0,-492.0,-402.0
2025-05-19/2025-05-25,1,113.0,-512.0,-512.0
2025-05-26/2025-06-01,3,914.0,696.0,972.0
2025-06-09/2025-06-15,1,1081.0,1081.0,1235.0
2025-06-23/2025-06-29,1,504.0,-149.0,-149.0
2025-07-07/2025-07-13,1,165.0,165.0,347.0
2025-08-11/2025-08-17,2,508.0,-63.0,198.0
2025-09-15/2025-09-21,1,-1161.0,-1161.0,-907.0
2025-10-20/2025-10-26,2,483.0,483.0,1283.0
2025-11-03/2025-11-09,1,930.0,397.0,397.0
2025-11-10/2025-11-16,1,152.0,-671.0,-671.0
2025-11-24/2025-11-30,1,656.0,-1058.0,-1058.0
2026-01-19/2026-01-25,1,169.0,108.0,108.0
2026-02-16/2026-02-22,2,315.0,315.0,3296.0
2026-03-02/2026-03-08,1,-120.0,-998.0,-998.0
2026-03-09/2026-03-15,1,145.0,-447.0,-447.0
2026-03-30/2026-04-05,1,70.0,70.0,470.0
2026-04-20/2026-04-26,1,1769.0,1769.0,1936.0
2026-05-04/2026-05-10,1,5183.0,5183.0,5252.0
2026-06-08/2026-06-14,1,119.0,119.0,369.0
2026-07-06/2026-07-12,1,1187.0,1187.0,1759.0
2026-07-20/2026-07-26,1,253.0,253.0,435.0
2026-08-03/2026-08-09,2,-1792.0,-3873.0,-3873.0
