pb,hb,all_med,all_n,b0_med,b0_n,bps_median,source,bps_mean,n
$1-5,09:30-09:35,149.17348038787262,76,,,149.17348038787262,all,149.17348038787262,76.0
$1-5,09:35-10:00,62.01565294309949,62,,,62.01565294309949,all,62.01565294309949,62.0
$1-5,10:00-11:00,72.20216606498202,63,,,72.20216606498202,all,72.20216606498202,63.0
$1-5,11:00-13:00,85.10638297872349,63,,,85.10638297872349,all,85.10638297872349,63.0
$1-5,13:00+,82.64462809917363,57,,,82.64462809917363,all,82.64462809917363,57.0
$10-20,09:30-09:35,104.10641989589342,91,94.99248120300689,52.0,94.99248120300689,B0,94.99248120300689,52.0
$10-20,09:35-10:00,58.62422572114717,76,68.55718292302973,51.0,68.55718292302973,B0,68.55718292302973,51.0
$10-20,10:00-11:00,27.235587834770183,85,37.27171077152362,41.0,37.27171077152362,B0,37.27171077152362,41.0
$10-20,11:00-13:00,19.083969465648448,81,41.94513852659291,24.0,41.94513852659291,B0,41.94513852659291,24.0
$10-20,13:00+,21.842009464870305,91,33.84094754653058,13.0,33.84094754653058,B0,33.84094754653058,13.0
$20-50,09:30-09:35,68.02327710666927,88,62.61257310993396,62.0,62.61257310993396,B0,62.61257310993396,62.0
$20-50,09:35-10:00,50.04812319537979,85,49.43367639931469,40.0,49.43367639931469,B0,49.43367639931469,40.0
$20-50,10:00-11:00,46.401105714386375,84,43.6905773296163,38.0,43.6905773296163,B0,43.6905773296163,38.0
$20-50,11:00-13:00,19.175455417066427,87,51.09587199139376,27.0,51.09587199139376,B0,51.09587199139376,27.0
$20-50,13:00+,24.339678501689903,88,89.32814216655592,8.0,24.339678501689903,all,24.339678501689903,88.0
$200+,09:30-09:35,82.80093231870448,58,38.34782716263217,25.0,38.34782716263217,B0,38.34782716263217,25.0
$200+,09:35-10:00,46.17875986000062,91,40.873167676171285,26.0,40.873167676171285,B0,40.873167676171285,26.0
$200+,10:00-11:00,41.61070061863744,96,26.7797366659238,17.0,26.7797366659238,B0,26.7797366659238,17.0
$200+,11:00-13:00,25.98865338189784,82,20.445977735087656,14.0,20.445977735087656,B0,20.445977735087656,14.0
$200+,13:00+,24.818498238401872,96,49.23530209928403,11.0,49.23530209928403,B0,49.23530209928403,11.0
$5-10,09:30-09:35,110.29411764705812,83,114.63415778778517,60.0,114.63415778778517,B0,114.63415778778517,60.0
$5-10,09:35-10:00,67.79661016949248,79,84.59214501510608,51.0,84.59214501510608,B0,84.59214501510608,51.0
$5-10,10:00-11:00,38.14367450731119,71,45.6273764258559,31.0,45.6273764258559,B0,45.6273764258559,31.0
$5-10,11:00-13:00,33.647756062251176,74,40.95563139931775,23.0,40.95563139931775,B0,40.95563139931775,23.0
$5-10,13:00+,19.90049751243916,81,33.22259136212701,11.0,33.22259136212701,B0,33.22259136212701,11.0
$50-200,09:30-09:35,92.42908134510536,93,70.4059735016919,48.0,70.4059735016919,B0,70.4059735016919,48.0
$50-200,09:35-10:00,41.20400284411377,86,37.806196785635144,34.0,37.806196785635144,B0,37.806196785635144,34.0
$50-200,10:00-11:00,39.618193680682324,90,36.52855383822104,22.0,36.52855383822104,B0,36.52855383822104,22.0
$50-200,11:00-13:00,22.23704692016985,83,22.23704692016985,19.0,22.23704692016985,B0,22.23704692016985,19.0
$50-200,13:00+,30.249558860599304,95,48.384309659582016,9.0,30.249558860599304,all,30.249558860599304,95.0
