scan,cell,TRAIN_netR,TRAIN_t,TRAIN_tpw,VAL_netR,VAL_green,G1,G2,PASS,TRAIN_tot,VAL_tot,TRAIN_green
S1,B0,0.0543,1.81,21.2,0.051,77.3,False,True,False,6107.0,3083.0,58.5
S1,P1,0.0347,1.21,23.0,0.0414,63.6,False,True,False,4223.0,2590.0,62.3
S1,P3,0.0494,1.57,19.5,0.0481,63.6,False,True,False,5107.0,2810.0,52.8
S1,P4,0.0696,2.09,17.6,0.0303,63.6,True,True,True,6485.0,1648.0,56.6
S1,F2,0.0251,0.78,11.1,0.0694,68.2,False,True,False,1476.0,2781.0,49.1
S1,F3,0.0424,1.17,7.8,0.0358,68.2,False,True,False,1744.0,1017.0,43.4
S1,X2,0.0545,1.71,16.0,0.0132,50.0,False,False,False,4608.0,686.0,54.7
S1,X3,-0.0072,-0.2,11.0,0.0118,50.0,False,False,False,-419.0,482.0,45.3
S1,R2,0.0496,1.68,20.6,0.0447,72.7,False,True,False,5431.0,2648.0,56.6
S1,R3,0.0578,1.98,20.0,0.0231,68.2,False,True,False,6116.0,1327.0,58.5
S1,T1,0.0605,1.67,17.1,0.0526,68.2,False,True,False,5470.0,2654.0,52.8
S1,T2,0.0499,1.59,20.3,0.0563,81.8,False,True,False,5356.0,3282.0,56.6
S1,T4,0.0462,1.63,22.6,0.045,77.3,False,True,False,5532.0,2877.0,54.7
S1,A2,0.0347,1.11,17.6,0.0166,50.0,False,False,False,3244.0,901.0,50.9
S1,A3,0.0366,1.23,22.2,0.059,81.8,False,True,False,4303.0,3594.0,56.6
S1,L2,0.0544,1.81,21.2,0.0818,68.2,False,True,False,6100.0,4932.0,60.4
S1,L3,0.0235,0.82,22.1,0.0555,68.2,False,True,False,2755.0,3416.0,52.8
S1,K2,0.0226,0.99,32.1,0.0365,72.7,False,True,False,3838.0,3705.0,47.2
S1,V1,0.0304,0.92,15.8,0.0479,54.5,False,False,False,2546.0,2404.0,47.2
S1,G1c,0.0664,2.15,19.1,0.0441,68.2,True,True,True,6732.0,2501.0,56.6
S1,C1,0.0512,1.49,14.1,-0.0193,50.0,False,False,False,3816.0,-960.0,52.8
S1,C2,0.058,1.77,17.2,0.0311,63.6,False,True,False,5288.0,1667.0,50.9
S1,C3,0.0224,0.64,10.1,0.0735,68.2,False,True,False,1198.0,2794.0,47.2
S1,C6,0.0409,1.19,14.5,0.0575,59.1,False,True,False,3131.0,2743.0,49.1
S1,C4,-0.0152,-0.86,45.6,0.0205,59.1,False,True,False,-3666.0,2361.0,43.4
S1,C5,-0.0439,-2.49,58.2,0.0156,68.2,False,True,False,-13557.0,2092.0,30.2
S2,B0,-0.0553,-1.98,30.1,-0.0826,54.5,False,False,False,-8833.0,-6295.0,39.6
S2,P1,-0.0691,-2.54,30.8,-0.0875,36.4,False,False,False,-11265.0,-6691.0,34.0
S2,P3,-0.0593,-2.07,28.2,-0.0853,54.5,False,False,False,-8853.0,-6423.0,39.6
S2,P4,-0.0568,-1.92,26.1,-0.1013,45.5,False,False,False,-7867.0,-7334.0,35.8
S2,F2,0.0017,0.06,19.3,0.0242,59.1,False,True,False,172.0,1344.0,47.2
S2,F3,0.0219,0.68,13.9,0.0803,68.2,False,True,False,1608.0,3516.0,49.1
S2,X2,-0.0253,-0.87,23.9,-0.0743,40.9,False,False,False,-3203.0,-5029.0,41.5
S2,X3,-0.0101,-0.31,17.3,-0.0601,36.4,False,False,False,-926.0,-3436.0,45.3
S2,R2,-0.0445,-1.62,28.3,-0.0673,45.5,False,False,False,-6677.0,-4834.0,45.3
S2,R3,-0.0064,-0.23,25.7,-0.0577,45.5,False,False,False,-876.0,-3911.0,52.8
S2,T1,-0.073,-2.24,24.8,-0.0853,54.5,False,False,False,-9597.0,-5666.0,41.5
S2,T2,-0.0608,-2.1,28.9,-0.088,50.0,False,False,False,-9301.0,-6529.0,41.5
S2,T4,-0.0526,-1.99,31.9,-0.0826,50.0,False,False,False,-8901.0,-6640.0,41.5
S2,A2,-0.0474,-1.65,25.5,-0.0798,45.5,False,False,False,-6413.0,-5605.0,39.6
S2,A3,-0.0772,-2.82,31.2,-0.0789,50.0,False,False,False,-12786.0,-5999.0,37.7
S2,L2,-0.0465,-1.65,30.1,-0.0849,40.9,False,False,False,-7429.0,-6794.0,43.4
S2,L3,-0.0536,-1.93,29.8,-0.0769,40.9,False,False,False,-8464.0,-5856.0,43.4
S2,K2,-0.0445,-2.16,49.8,-0.0577,50.0,False,False,False,-11740.0,-7863.0,35.8
S2,V1,-0.045,-1.5,22.9,-0.0492,50.0,False,False,False,-5464.0,-3175.0,37.7
S2,G1c,-0.0325,-1.15,26.9,-0.0572,54.5,False,False,False,-4638.0,-4092.0,47.2
S2,C1,-0.0283,-0.92,21.5,-0.1048,40.9,False,False,False,-3221.0,-6935.0,43.4
S2,C2,-0.0621,-2.11,24.9,-0.069,40.9,False,False,False,-8180.0,-4731.0,39.6
S2,C3,0.0043,0.14,17.9,0.0175,59.1,False,True,False,406.0,916.0,50.9
S2,C6,-0.0395,-1.3,21.0,-0.0519,36.4,False,False,False,-4396.0,-3216.0,41.5
S2,C4,-0.0752,-4.3,60.7,-0.0694,31.8,False,False,False,-24173.0,-9970.0,32.1
S2,C5,-0.0858,-4.77,73.6,-0.089,27.3,False,False,False,-33465.0,-14335.0,24.5
