cell,scan,split,n,tpw,grossR,netR,t,WR,green,redstreak,worst,tot,mdd,greenmo,ex1,ex5
A2,S2,TRAIN,1352,25.5,0.0216,-0.0474,-1.65,43.2,39.6,9,-1401.0,-6413.0,-7698.0,50.0,-0.0686,-0.1531
A2,S2,VAL,702,31.9,-0.003,-0.0798,-1.9,42.5,45.5,3,-2320.0,-5605.0,-6249.0,0.0,-0.1005,-0.1863
A3,S2,TRAIN,1656,31.2,0.0049,-0.0772,-2.82,41.3,37.7,6,-1359.0,-12786.0,-13103.0,8.3,-0.0984,-0.1838
A3,S2,VAL,760,34.5,0.0048,-0.0789,-1.9,43.3,50.0,5,-2473.0,-5999.0,-7064.0,20.0,-0.1007,-0.1854
L2,S2,TRAIN,1597,30.1,0.037,-0.0465,-1.65,44.0,43.4,4,-1596.0,-7429.0,-8261.0,41.7,-0.0673,-0.1521
L2,S2,VAL,800,36.4,-0.0016,-0.0849,-2.09,42.1,40.9,5,-2128.0,-6794.0,-7367.0,40.0,-0.1057,-0.1918
L3,S2,TRAIN,1580,29.8,0.0248,-0.0536,-1.93,42.7,43.4,8,-1350.0,-8464.0,-11001.0,25.0,-0.0743,-0.1588
L3,S2,VAL,761,34.6,0.0044,-0.0769,-1.86,42.2,40.9,4,-2112.0,-5856.0,-8178.0,0.0,-0.0987,-0.1834
K2,S2,TRAIN,2638,49.8,0.0259,-0.0445,-2.16,43.8,35.8,6,-2386.0,-11740.0,-13834.0,50.0,-0.0646,-0.1494
K2,S2,VAL,1363,62.0,0.0147,-0.0577,-1.92,44.5,50.0,4,-3650.0,-7863.0,-9299.0,20.0,-0.0787,-0.163
V1,S2,TRAIN,1215,22.9,0.0206,-0.045,-1.5,43.3,37.7,8,-1384.0,-5464.0,-6849.0,50.0,-0.0651,-0.1502
V1,S2,VAL,646,29.4,0.023,-0.0492,-1.15,43.3,50.0,4,-1410.0,-3175.0,-4274.0,20.0,-0.068,-0.1531
G1c,S2,TRAIN,1428,26.9,0.0394,-0.0325,-1.15,42.8,47.2,6,-1995.0,-4638.0,-7354.0,33.3,-0.0523,-0.1361
G1c,S2,VAL,715,32.5,0.0227,-0.0572,-1.35,43.5,54.5,3,-2117.0,-4092.0,-5018.0,20.0,-0.0773,-0.1636
C1,S2,TRAIN,1138,21.5,0.0274,-0.0283,-0.92,44.2,43.4,7,-1341.0,-3221.0,-6164.0,41.7,-0.0478,-0.1325
C1,S2,VAL,662,30.1,-0.041,-0.1048,-2.47,41.4,40.9,4,-2368.0,-6935.0,-7792.0,20.0,-0.1269,-0.2126
C2,S2,TRAIN,1318,24.9,-0.0019,-0.0621,-2.11,42.4,39.6,8,-1526.0,-8180.0,-10246.0,41.7,-0.0823,-0.1683
C2,S2,VAL,686,31.2,-0.0025,-0.069,-1.62,43.1,40.9,5,-1501.0,-4731.0,-5795.0,20.0,-0.09,-0.1746
C3,S2,TRAIN,951,17.9,0.0464,0.0043,0.14,46.5,50.9,5,-1262.0,406.0,-2001.0,66.7,-0.0167,-0.0999
C3,S2,VAL,524,23.8,0.0625,0.0175,0.4,46.9,59.1,4,-1307.0,916.0,-1889.0,60.0,-0.0014,-0.0841
C6,S2,TRAIN,1112,21.0,0.0212,-0.0395,-1.3,43.2,41.5,7,-1509.0,-4396.0,-6363.0,41.7,-0.0596,-0.1449
C6,S2,VAL,620,28.2,0.0161,-0.0519,-1.21,43.5,36.4,4,-1410.0,-3216.0,-4056.0,20.0,-0.0716,-0.157
C4,S2,TRAIN,3215,60.7,-0.0035,-0.0752,-4.3,42.6,32.1,10,-2169.0,-24173.0,-25113.0,16.7,-0.0957,-0.181
C4,S2,VAL,1437,65.3,0.0057,-0.0694,-2.51,43.5,31.8,4,-2669.0,-9970.0,-12057.0,0.0,-0.0894,-0.1752
C5,S2,TRAIN,3901,73.6,0.0166,-0.0858,-4.77,41.7,24.5,11,-2754.0,-33465.0,-33299.0,8.3,-0.1066,-0.1922
C5,S2,VAL,1610,73.2,0.0044,-0.089,-3.25,41.9,27.3,10,-3662.0,-14335.0,-15559.0,20.0,-0.1096,-0.1947
