symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,_rp_position,_rp_pnl,_composite,_quintile,_q_rank,_sized_pnl,month,_anchor
SMST,2025-01-07,4.76425,-2191.252139999997,-4.382851445663005,stop,0,1,4.077253218884128,879413.0,1.958415098978716,50.45808244133554,2.0,0.6315789473684204,0.429184549356214,1.0,0.6042332236919158,7.126436781609208,36.09195402298852,0.0636942675159233,24044255.95,17.6686483218455,-45.65597667638484,14.897888249364168,1.1739609684199857,0.1389284100229384,-0.0753226319401322,0.3460091373286659,1.2950402815366315,1.0,7.0,3333.3333333333335,-146.0834759999998,0.3193928246432969,Q4,0,-146.0834759999998,2025-01,MSTR
ARQQ,2025-01-16,23.86137,9002.197091939994,18.00815063007697,scale_eod,1,1,7.428825622775792,109456.0,2.367766447603143,58.52490520314221,4.0,0.8862275449101809,4.982206405693955,1.0,3.333897672508748,9.179213210296265,25.88635259834872,0.0956848030018764,1294414.1,24.12943322500364,-57.416177306308015,18.30061229943164,1.0320507170000697,0.1582012184859707,-0.0858325759870731,0.2353318263099264,1.0145048394102745,3.0,16.0,3333.3333333333335,600.1464727959996,0.3274901844733177,Q4,0,600.1464727959996,2025-01,ARQQ
PDYN,2025-01-23,10.320869999999998,-2468.1723955799953,-4.936908163472921,stop,0,1,6.599999999999984,614192.0,2.958620841944104,43.00096187001729,3.0,0.8610606060606065,1.982999999999997,1.0,2.5504180506301166,5.152471083070455,25.657202944269187,0.0368852459016392,15734920.2,23.77533164655521,-33.11036789297658,20.947669532721765,1.958326614201704,0.0660283922086459,0.0165070980521661,-0.1055339357562331,0.5870477597970133,3.0,23.0,3333.3333333333335,-164.5448263719997,0.273952277594467,Q3,2,-164.5448263719997,2025-01,PDYN
NTRB,2025-01-23,8.49541,-918.38276702858,-1.8369313042488493,stop,1,1,6.500000000000005,123163.0,2.366486125007297,55.66966199688503,5.0,1.0,5.875000000000008,1.0,3.891165454198969,8.99182561307902,26.839237057220704,0.5736040609137056,319032.93333333335,9.903021011227516,-2.200488997555009,13.364142806332044,13.617625473984504,0.0660283922086459,0.0165070980521661,-0.1055339357562331,0.5870477597970133,3.0,23.0,3333.3333333333335,-61.22551780190534,0.15506691641180417,Q2,3,-61.22551780190534,2025-01,NTRB
LAES,2025-01-24,4.45,0.0,0.0,no_fill,0,0,3.409090909090917,1043018.0,1.9157996418985888,45.74568340393124,3.0,0.9319999999999988,0.9045454545454458,1.0,1.6308521322759066,8.10810810810811,15.970515970515956,0.1846153846153849,77679745.0,27.95571267071567,-60.0,23.04294784712256,0.325923997304574,0.080352896803924,0.0065594201472716,0.009840098400975,0.6091130582638482,4.0,24.0,3333.3333333333335,0.0,0.4291587045946619,Q5,1,0.0,2025-01,LAES
TNXP,2025-02-07,13.9417,3979.471563799994,7.959749259165958,scale_lock,1,1,5.522827687776141,298127.0,2.577324747969444,40.84600543720455,2.0,0.7733333333333334,1.104565537555231,1.0,2.2416948778991523,20.818505338078293,38.21174377224199,0.0966239813736905,113674660.25,21.41822705132717,-24.55555555555556,2177.4406731335075,0.0183023111344641,0.1499448005404738,0.0502562243569779,0.094009763821074,0.8076316014152966,4.0,7.0,3333.3333333333335,265.29810425333295,0.2901130606296432,Q4,0,265.29810425333295,2025-02,TNXP
BZAI,2025-02-12,3.74,0.0,0.0,no_fill,0,0,6.12299465240642,42322.0,2.168971458614428,129.3385841783524,1.0,0.4755458515283831,-3.2112299465240723,0.0,-0.9869858322050556,16.510903426791284,21.49532710280374,0.0,479970.9,24.48353831236813,-80.57142857142857,14.069277503393316,1.601405418536832,0.1985881881748334,0.0684211404635896,-1.0094001420759446,0.789295802300032,2.0,12.0,3333.3333333333335,0.0,0.25601609961645466,Q3,2,0.0,2025-02,BZAI
BKSY,2025-02-19,21.01285,-1049.842512782147,-2.100123104943616,stop,0,1,4.197169350902877,304616.0,2.0755089421233186,72.64108826185517,3.0,0.988372093023258,2.1961932650073344,1.0,2.1511668272739866,8.700265251989373,17.931034482758616,0.5118343195266275,2098334.6,10.66184776103057,-0.0487804878048856,8.75515310675867,1.961672366266085,0.0735477314450614,0.012686860739577,-0.2305843104547855,0.6429700152781618,2.0,19.0,3333.3333333333335,-69.98950085214314,0.273383789739213,Q3,2,-69.98950085214314,2025-02,BKSY
TUYA,2025-02-20,3.4152149999999994,6573.402660959997,13.147134631348242,scale_eod,1,1,4.447852760736197,691582.0,1.3149331728839582,39.32914924780964,4.0,0.5862068965517269,2.607361963190197,0.0,0.1513868513931112,6.535947712418292,14.37908496732026,0.0454545454545455,4935103.6,9.14296283773402,-11.891891891891902,8.16668513319633,2.1983726947495086,0.0873191071866555,-0.0474204889215867,-0.2267795669978605,0.4740886838609913,3.0,20.0,3333.3333333333335,438.2268440639998,0.3468966936111162,Q4,0,438.2268440639998,2025-02,TUYA
MLGO,2025-03-14,4.4331597,-950.7715989965981,-1.9016506375802302,tag_b1,0,1,3.744730679156918,272557.0,1.904833029954504,32.11699880859257,4.0,0.749843652282677,2.5737704918032915,1.0,1.009243669546097,7.556675062972275,14.85390428211587,0.1690690181448199,36144841.0,26.25122885445396,-63.535439795046976,102.16913249232458,0.0857603163892739,0.0,0.0,0.8505313554096795,1.85111715752684,4.0,14.0,3333.3333333333335,-63.38477326643988,0.3904257690032435,Q4,0,-63.38477326643988,2025-03,MLGO
