mode,picks,fills,total,mdd,red,worst,e25,e2026
frozen,1074,54,5766,-454,6,-187,3026,2740
8w,1101,64,5048,-633,6,-601,2615,2433
26w_zc,1107,67,7798,-223,4,-223,4228,3570
expanding_zc,1108,64,7944,-223,3,-223,3577,4367
