cell,TR_worst,TR_rail_scaled,TR_rail_flat15,VA_worst,VA_rail_scaled,VA_rail_flat15,pass_scaled,pass_flat15,TR_mdd,VA_mdd,TR_green_mo,VA_green_mo
G0,-418.3564857054276,-627.5347285581414,-627.5347285581414,-337.6383531424998,-506.4575297137497,-506.4575297137497,True,True,-559.9916696555719,-489.1654050560701,75.0,100.0
G1,-418.3564857054276,-695.5654006120536,-627.5347285581414,-367.85392063363344,-543.33791899647,-506.4575297137497,True,True,-792.2625391534053,-438.2146577187,66.66666666666666,100.0
G2,-418.3564857054276,-636.4363749969817,-627.5347285581414,-337.6383531424998,-511.2131038086869,-506.4575297137497,True,True,-600.9610949619787,-554.6262835027364,66.66666666666666,100.0
G3,-895.3730616863788,-1028.4132651999778,-627.5347285581414,-363.7217806423805,-925.5326218164856,-506.4575297137497,True,False,-2638.748236888041,-697.8461626630865,58.333333333333336,100.0
G4,-418.3564857054276,-703.6068862663047,-627.5347285581414,-367.85392063363344,-547.7734041749127,-506.4575297137497,True,True,-792.2625391534053,-438.2146577187,58.333333333333336,100.0
G5,-994.573863930474,-1190.663431859543,-627.5347285581414,-443.2435000473519,-1027.1487556467953,-506.4575297137497,True,False,-2916.488417572888,-543.8868881158135,58.333333333333336,100.0
G6,-895.3730616863788,-1002.5603220254335,-627.5347285581414,-376.90288064238047,-912.3664798405902,-506.4575297137497,True,False,-2420.6605712613755,-620.1001263430862,58.333333333333336,100.0
G7,-496.4063701737846,-662.4239813273471,-627.5347285581414,-337.6383531424998,-543.33791899647,-506.4575297137497,True,True,-780.4603463993299,-588.5152380703557,66.66666666666666,100.0
G8,-994.573863930474,-1134.2013913404876,-627.5347285581414,-438.2490486108776,-1003.3137521270127,-506.4575297137497,True,False,-2707.2198095905114,-536.3443735018791,50.0,100.0
G9,-496.4063701737846,-745.0303647432157,-627.5347285581414,-367.85392063363344,-582.0417228490008,-506.4575297137497,True,True,-812.5061247159965,-438.2146577187,41.66666666666667,100.0
