cell,label,pooled_green,TR_green,VA_green,TR_null_p95,VA_null_p95,TR_null_mean,VA_null_mean,TR_flat,VA_flat,TR_pk,VA_pk,TR_streak,VA_streak,TR_worst,VA_worst,TR_mdd,VA_mdd,TR_pnl,VA_pnl,TR_Rpk,VA_Rpk,TR_Rex5,VA_Rex5,TR_t,VA_t,top5_TR,top5_VA,explore_bar,failed,flat1.5x_rail,null_clause,claim_bar
G8,G8 G4 + catalyst PARTIAL,52.0,47.16981132075472,63.63636363636363,58.490566037735846,68.18181818181819,52.074528301886794,59.43863636363637,1.8867924528301887,4.545454545454546,6.471698113207547,9.454545454545455,7,2,-994.5738639304741,-438.24904861087754,-2707.2198095905114,-536.3443735018791,6822.120887761439,9771.101884741824,0.15189350174264782,0.33930481832652054,-0.074031746388766,-0.03252844555558551,2.245214950716978,1.8991227683165428,57.41608366556565,87.68750477002853,False,3 streak,False,False,True
G5,G5 G4 + catalyst OFF,52.0,47.16981132075472,63.63636363636363,60.37735849056604,68.18181818181819,52.969811320754715,58.888636363636365,1.8867924528301887,4.545454545454546,7.132075471698113,9.909090909090908,7,2,-994.5738639304741,-443.24350004735186,-2916.4884175728876,-543.8868881158135,7059.09508979154,9530.837409561987,0.13068196861231007,0.3107872873580616,-0.08222371780338436,-0.04459844126719408,2.075581757184604,1.8199910634581509,55.48862264722389,89.8980337516963,False,3 streak,False,False,True
G3,G3 catalyst veto OFF,49.333333333333336,47.16981132075472,54.54545454545455,58.490566037735846,63.63636363636363,50.35849056603774,52.42727272727273,7.547169811320755,4.545454545454546,5.320754716981132,8.045454545454545,4,2,-895.3730616863788,-363.7217806423805,-2638.748236888041,-697.8461626630865,6515.078327993131,4287.206947665862,0.17482932041065807,0.14927599832261373,-0.057411044041221736,-0.08263297836730844,2.271524689804291,1.4993019472323756,59.45352129585299,111.6782533730356,True,,False,False,True
G6,G6 catalyst PARTIAL (min_cohort 2->1),48.0,45.283018867924525,54.54545454545455,56.60377358490566,63.63636363636363,49.2811320754717,53.04545454545455,7.547169811320755,4.545454545454546,5.056603773584905,7.818181818181818,4,2,-895.3730616863788,-376.90288064238047,-2420.6605712613755,-620.1001263430862,6228.45836379713,4410.01483298673,0.18709155070311642,0.16003380008242932,-0.04541040543965939,-0.07839495984437188,2.352369804566105,1.5642353006684004,62.189441671301225,108.56829328163565,True,,False,False,True
G9,G9 G4 + PDR OFF (defect cleanup),37.333333333333336,35.84905660377358,40.90909090909091,43.39622641509434,50.0,37.65849056603774,40.16136363636363,22.641509433962263,22.727272727272727,2.792452830188679,3.1818181818181817,4,2,-496.4063701737846,-367.85392063363344,-812.5061247159965,-438.2146577187,4271.361092315756,7882.776656727667,0.21015243437835318,0.7709532417606224,-0.025178816894193393,-0.009700593813237698,1.8775483875705175,1.5256185082076228,74.11223989094073,107.0152786707592,False,2 flat,True,False,False
G1,G1 Q1 filter OFF,37.333333333333336,35.84905660377358,40.90909090909091,45.283018867924525,50.0,38.368867924528296,41.25227272727272,28.30188679245283,22.727272727272727,2.4339622641509435,2.772727272727273,3,2,-418.3564857054276,-367.85392063363344,-792.2625391534053,-438.2146577187,5312.324634241904,8245.360414685287,0.30896382811613743,0.9400518141050229,0.06872961428419641,0.04800341307875677,2.471503270179954,1.6298600471078193,59.589757729425855,102.30935922662935,False,2 flat,True,False,True
G4,G4 Q1 + range-size OFF,37.333333333333336,35.84905660377358,40.90909090909091,45.283018867924525,50.0,38.094339622641506,40.92045454545455,28.30188679245283,22.727272727272727,2.490566037735849,2.8181818181818183,3,2,-418.3564857054276,-367.85392063363344,-792.2625391534053,-438.2146577187,5206.847945542278,8179.899536238619,0.28989154687407287,0.9047455436919452,0.05435490642454281,0.02564237231005763,2.361206612542044,1.5914976900571063,60.796885418087065,103.12810528807191,False,2 flat,True,False,True
G0,G0 shipped B+ (baseline),33.333333333333336,33.9622641509434,31.818181818181817,43.39622641509434,45.45454545454545,37.539622641509425,36.66136363636364,37.735849056603776,22.727272727272727,1.9811320754716981,2.409090909090909,3,3,-418.3564857054276,-337.6383531424998,-559.9916696555719,-489.1654050560701,5673.034098080109,3938.5797384232374,0.409805647559935,0.4689962235263979,0.15016344127864034,0.04911267003373636,2.776804301647233,1.6602156406957367,54.83757676372933,118.159669459896,,"1 green,2 flat",True,False,True
G2,G2 range-size veto OFF,33.333333333333336,33.9622641509434,31.818181818181817,43.39622641509434,45.45454545454545,37.5,36.63636363636364,37.735849056603776,22.727272727272727,2.0377358490566038,2.4545454545454546,3,3,-418.3564857054276,-337.6383531424998,-600.9610949619787,-554.6262835027364,5567.557409380482,3873.1188599765705,0.38369391994619506,0.437182646210987,0.13015226516648318,0.023660716670216173,2.657176230538258,1.5667943154133752,55.87646789462356,120.15672558945134,False,"1 green,2 flat",True,False,True
G7,G7 PDR veto OFF,33.333333333333336,33.9622641509434,31.818181818181817,43.39622641509434,45.45454545454545,36.697169811320755,35.91590909090909,30.18867924528302,22.727272727272727,2.207547169811321,2.772727272727273,4,3,-496.4063701737846,-337.6383531424998,-780.4603463993299,-588.5152380703557,4805.1243360524195,3641.4568589122855,0.3091066243688283,0.3726115255941322,0.07209065535085694,-0.06133193492659476,2.27399133377888,1.5023481842559365,64.74243351053389,127.8008495128909,False,"1 green,2 flat",True,False,True
