cell,split,weeks,picks,picks_per_wk,fills,green_wk_pct,flat_wk_pct,red_wk_pct,red_streak,worst_wk,green_mo_pct,worst_mo,mdd,pnl,totR,R_pick,R_pick_ex1,R_pick_ex5,wr_fills,t,top1_share,top5_share,top10_share,mde80_green_pp,null_mean,null_p5,null_p95,label,dump
G0,TRAIN,53,105,1.9811320754716981,84,37.735849056603776,35.84905660377358,26.41509433962264,3,-418.3564857054276,91.66666666666666,-25.331767305424883,-527.5301845790186,6661.704093012963,49.289746849346045,0.46942616046996233,0.36930629843655216,0.21339731860745717,44.047619047619044,3.1950664823166197,13.030499333162998,47.36571642439596,84.27678001000281,26.36520743137772,39.87830188679246,33.9622641509434,45.283018867924525,G0 shipped B+ (baseline),asis
G0,VAL,22,53,2.409090909090909,40,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,159.12033712478714,-489.1654050560701,6386.422373921438,44.47279888637708,0.8391094129505109,0.6206153154841201,0.2919267510223043,37.5,2.231507754624626,29.485183259451254,96.59349272809652,122.06310895709476,39.32182422339339,42.111363636363635,31.818181818181817,50.0,G0 shipped B+ (baseline),asis
G1,TRAIN,53,129,2.4339622641509435,95,39.62264150943396,26.41509433962264,33.9622641509434,3,-418.3564857054276,83.33333333333334,-64.59027191347107,-539.0154632544363,6300.994629174759,46.1164876825346,0.35749215257778755,0.27452983915081436,0.12004235080512156,40.0,2.864080068048269,13.776448933920696,50.88865059210468,92.56873997608209,26.603811457067643,40.6877358490566,33.9622641509434,47.16981132075472,G1 Q1 filter OFF,asis
G1,VAL,22,61,2.772727272727273,45,40.90909090909091,22.727272727272727,36.36363636363637,2,-367.85392063363344,100.0,130.9038777914538,-385.93701163363335,10693.203050183485,76.95915969988437,1.2616255688505633,0.7458893321696566,0.26099822096346553,37.77777777777778,2.062276444219844,38.606289386127045,90.01270905445094,110.48551633491404,41.508012496715594,46.06590909090909,36.36363636363637,54.54545454545455,G1 Q1 filter OFF,asis
G2,TRAIN,53,108,2.0377358490566038,86,37.735849056603776,35.84905660377358,26.41509433962264,3,-418.3564857054276,83.33333333333334,-25.331767305424883,-600.9610949619787,6556.2274043133375,47.69909720974194,0.4416583074976106,0.3438481047109504,0.19152632257386418,43.02325581395349,3.0699791233415277,13.240134209595212,48.12773680871697,85.63262616077446,26.36520743137772,39.96037735849056,33.9622641509434,45.283018867924525,G2 range-size veto OFF,asis
G2,VAL,22,54,2.4545454545454546,41,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,93.65945867812061,-554.6262835027364,6320.96149547477,43.22386193487129,0.8004418876828017,0.5853407444088387,0.26171373724724356,36.58536585365854,2.157413148842992,29.79053648754898,97.59383023857491,123.3272138474636,39.32182422339339,42.18863636363636,31.818181818181817,50.0,G2 range-size veto OFF,asis
G3,TRAIN,53,282,5.320754716981132,210,45.283018867924525,7.547169811320755,47.16981132075472,4,-895.3730616863788,58.333333333333336,-762.8428367268298,-2241.4668102920405,8307.021484515988,59.611552759432975,0.21138848496252827,0.14714256602244263,-0.01879799384037015,40.0,2.7433695024291014,10.449633590515793,47.029577741537615,80.60749351973901,27.07471193439481,53.89622641509434,47.16981132075472,62.264150943396224,G3 catalyst veto OFF,asis
G3,VAL,22,177,8.045454545454545,140,63.63636363636363,4.545454545454546,31.818181818181817,1,-363.7217806423805,100.0,219.85977514565033,-697.8461626630865,7293.4025526973965,51.10190185342363,0.2887113099063482,0.17089818647074687,-0.029175687568478485,35.714285714285715,2.2510470732932717,25.818516488945274,84.5814883624905,115.24666307598785,40.6114054292528,58.76590909090909,45.45454545454545,68.18181818181819,G3 catalyst veto OFF,asis
G4,TRAIN,53,132,2.490566037735849,97,39.62264150943396,26.41509433962264,33.9622641509434,3,-418.3564857054276,75.0,-64.59027191347107,-612.4463736373964,6195.5179404751325,44.525838042930474,0.3373169548706854,0.25595876871191764,0.10443613726896571,39.175257731958766,2.7503618506850267,14.010988520368576,51.75501340606433,94.14469282838309,26.603811457067643,40.39150943396227,33.9622641509434,47.16981132075472,G4 Q1 + range-size OFF,asis
G4,VAL,22,62,2.8181818181818183,46,40.90909090909091,22.727272727272727,36.36363636363637,2,-367.85392063363344,100.0,65.44299934478727,-385.93701163363335,10627.74217173682,75.71022274837857,1.221132624973848,0.7131872619454689,0.23496485592089209,36.95652173913043,2.0245038062033207,38.84408228474505,90.56713641172522,111.16604460122358,41.508012496715594,45.92045454545455,36.36363636363637,54.54545454545455,G4 Q1 + range-size OFF,asis
