cell,split,weeks,picks,picks_per_wk,fills,green_wk_pct,flat_wk_pct,red_wk_pct,red_streak,worst_wk,green_mo_pct,worst_mo,mdd,pnl,totR,R_pick,R_pick_ex1,R_pick_ex5,wr_fills,t,top1_share,top5_share,top10_share,mde80_green_pp,null_mean,null_p5,null_p95,label,dump
G0,TRAIN,53,105,1.9811320754716981,84,33.9622641509434,37.735849056603776,28.30188679245283,3,-418.3564857054276,75.0,-109.61016108739183,-559.9916696555719,5673.034098080109,43.02959299379317,0.409805647559935,0.30852810566419414,0.15016344127864034,40.476190476190474,2.776804301647233,15.301394146584036,54.83757676372933,95.00473936738499,25.75902967971626,37.539622641509425,32.075471698113205,43.39622641509434,G0 shipped B+ (baseline),meas
G0,VAL,22,53,2.409090909090909,40,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,159.12033712478714,-489.1654050560701,3938.5797384232374,24.85679984689909,0.4689962235263979,0.3050554443665195,0.04911267003373636,32.5,1.6602156406957367,47.81033940491424,118.159669459896,144.0630151903488,39.32182422339339,36.66136363636364,27.272727272727273,45.45454545454545,G0 shipped B+ (baseline),meas
G1,TRAIN,53,129,2.4339622641509435,95,35.84905660377358,28.30188679245283,35.84905660377358,3,-418.3564857054276,66.66666666666666,-194.1861221953921,-792.2625391534053,5312.324634241904,39.856333826981725,0.30896382811613743,0.22523728910709087,0.06872961428419641,36.84210526315789,2.471503270179954,16.34036635905294,59.589757729425855,105.87657193892468,26.084077612571903,38.368867924528296,32.075471698113205,45.283018867924525,G1 Q1 filter OFF,meas
G1,VAL,22,61,2.772727272727273,45,40.90909090909091,22.727272727272727,36.36363636363637,2,-367.85392063363344,100.0,130.9038777914538,-438.2146577187,8245.360414685287,57.3431606604064,0.9400518141050229,0.41895601484502354,0.04800341307875677,33.33333333333333,1.6298600471078193,50.06753745836797,102.30935922662935,120.25213852283075,41.508012496715594,41.25227272727272,31.818181818181817,50.0,G1 Q1 filter OFF,meas
G2,TRAIN,53,108,2.0377358490566038,86,33.9622641509434,37.735849056603776,28.30188679245283,3,-418.3564857054276,66.66666666666666,-109.61016108739183,-600.9610949619787,5567.557409380482,41.438943354189064,0.38369391994619506,0.28479004946988573,0.13015226516648318,39.53488372093023,2.657176230538258,15.591277172190617,55.87646789462356,96.80459244161813,25.75902967971626,37.5,32.075471698113205,43.39622641509434,G2 range-size veto OFF,meas
G2,VAL,22,54,2.4545454545454546,41,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,93.65945867812061,-554.6262835027364,3873.1188599765705,23.6078628953933,0.437182646210987,0.27573483312364566,0.023660716670216173,31.70731707317073,1.5667943154133752,48.61839795654307,120.15672558945134,146.49787243769205,39.32182422339339,36.63636363636364,27.272727272727273,45.45454545454545,G2 range-size veto OFF,meas
G3,TRAIN,53,282,5.320754716981132,210,47.16981132075472,7.547169811320755,45.283018867924525,4,-895.3730616863788,58.333333333333336,-1039.49960472683,-2638.748236888041,6515.078327993131,49.301868355805574,0.17482932041065807,0.11019029217431575,-0.057411044041221736,36.19047619047619,2.271524689804291,13.323758575359088,59.45352129585299,101.64960493742103,27.152401367926995,50.35849056603774,43.39622641509434,58.490566037735846,G3 catalyst veto OFF,meas
G3,VAL,22,177,8.045454545454545,140,54.54545454545455,4.545454545454546,40.90909090909091,2,-363.7217806423805,100.0,219.85977514565027,-697.8461626630865,4287.206947665862,26.42185170310263,0.14927599832261373,0.04997824485167777,-0.08263297836730844,32.857142857142854,1.4993019472323756,43.922496946375425,111.6782533730356,153.05833047269292,42.03679830482468,52.42727272727273,40.90909090909091,63.63636363636363,G3 catalyst veto OFF,meas
G4,TRAIN,53,132,2.490566037735849,97,35.84905660377358,28.30188679245283,35.84905660377358,3,-418.3564857054276,58.333333333333336,-194.1861221953921,-792.2625391534053,5206.847945542278,38.265684187377616,0.28989154687407287,0.2078037390538186,0.05435490642454281,36.08247422680412,2.361206612542044,16.67137808701539,60.796885418087065,108.02134557852105,26.084077612571903,38.094339622641506,32.075471698113205,45.283018867924525,G4 Q1 + range-size OFF,meas
G4,VAL,22,62,2.8181818181818183,46,40.90909090909091,22.727272727272727,36.36363636363637,2,-367.85392063363344,100.0,65.44299934478727,-438.2146577187,8179.899536238619,56.0942237089006,0.9047455436919452,0.39161350719992816,0.02564237231005763,32.608695652173914,1.5914976900571063,50.468210470202216,103.12810528807191,121.21447437890345,41.508012496715594,40.92045454545455,31.818181818181817,50.0,G4 Q1 + range-size OFF,meas
G5,TRAIN,53,378,7.132075471698113,273,47.16981132075472,1.8867924528301887,50.943396226415096,7,-994.5738639304741,58.333333333333336,-1311.5412979970624,-2916.4884175728876,7059.09508979154,49.39778413545321,0.13068196861231007,0.0674988473098765,-0.08222371780338436,34.798534798534796,2.075581757184604,12.29694877850102,55.48862264722389,95.41626531371625,27.152401367926995,52.969811320754715,45.283018867924525,60.37735849056604,G5 G4 + catalyst OFF,meas
G5,VAL,22,218,9.909090909090908,164,63.63636363636363,4.545454545454546,31.818181818181817,2,-443.24350004735186,100.0,141.81825797565284,-543.8868881158135,9530.837409561987,67.75162864405743,0.3107872873580616,0.08311706986182997,-0.04459844126719408,34.146341463414636,1.8199910634581509,43.31465050550814,89.8980337516963,112.16209596515353,40.6114054292528,58.888636363636365,50.0,68.18181818181819,G5 G4 + catalyst OFF,meas
