date,pnl_R,symbol
2025-01-06,0.0205331796166113,FUBO
2025-01-15,2.496800303579747,RGTI
2025-01-15,4.544697228569858,SOFI
2025-01-17,0.0613282061220537,INTC
2025-01-17,-1.0705796782205026,MARA
2025-01-21,-0.1676418431655221,RKLB
2025-01-28,0.7428008548468044,NBIS
2025-02-05,0.9129916475909096,BBAI
2025-02-10,-1.039123000526427,CLF
2025-02-12,-1.0169193709386892,AIFF
2025-02-18,-1.0896998725058422,GRAB
2025-02-19,-0.8406879871523224,JTAI
2025-02-20,-1.0322689993858336,QBTS
2025-02-20,-1.0257963657267393,U
2025-02-21,-0.5420406952973317,MLGO
2025-02-28,-1.0458767776940143,AES
2025-03-07,-1.0455338600266126,GAP
2025-03-11,-0.7502671032623938,HSAI
2025-03-11,-1.361894129654193,XPEV
2025-03-13,3.82300120513979,INTC
2025-03-14,0.1709454779623939,QBTS
2025-03-18,0.9047275540130124,ADTX
2025-03-18,-0.8028993720845182,TME
2025-03-24,0.1894606111223057,MLGO
2025-03-24,-1.0440430270237742,OKLO
2025-03-31,-1.0125518756460894,MLGO
2025-04-16,1.6919337248151505,HTZ
2025-04-21,-1.011347523105273,MLGO
2025-05-06,0.8111535178714682,PONY
2025-05-06,-0.4906982874706625,WRD
2025-05-07,0.509547441014515,GPUS
2025-05-07,-0.1341288062061329,OSCR
2025-05-08,-0.6443366097614412,ASST
2025-05-08,0.1077582884502303,QBTS
2025-05-09,0.0897424688037482,LYFT
2025-05-16,-1.2008569216819969,ACHR
2025-05-16,-0.9012264302376184,QUBT
2025-05-20,1.1282830637823518,QBTS
2025-05-21,-1.0596849999999989,XPEV
2025-05-22,1.0796945362174188,NVTS
2025-05-23,0.7614264160574953,SMR
2025-05-28,-1.033409486018804,JOBY
2025-05-29,-1.05859574727273,AI
2025-05-30,-0.0511719954388855,U
2025-06-02,1.238155383004082,APLD
2025-06-06,-0.626415041727894,RKLB
2025-06-17,-1.0093916658855229,APPS
2025-06-23,-1.035690823679682,ZETA
2025-06-24,0.160687326516517,NKTR
2025-06-30,-1.059965663126757,JOBY
