date,symbol,pnl_R,pnl_R_gross,close_d,low_d,R_raw,entry_paid,exit_price,exit_day,exit_kind,hold_days,asset_class,close_d1,R_d1,close_d2,R_d2,close_d3,R_d3
2025-01-06,FUBO,0.02053317961661131,0.024875716901540598,5.059999942779541,3.049999952316284,2.009999990463257,5.068728442680835,5.110000133514404,2025-01-10,time,3,stock,5.460000038146973,0.19900502351507038,5.349999904632568,0.14427858867113194,5.110000133514404,0.024875716901540598
2025-01-15,RGTI,2.496800303579747,2.512396583481573,10.9399995803833,9.729999542236328,1.2100000381469727,10.958871079659462,13.979999542236328,2025-01-21,time,3,stock,11.239999771118164,0.24793403411316567,9.829999923706055,-0.917355059242089,13.979999542236328,2.512396583481573
2025-01-15,SOFI,4.544697228569858,4.596148626343396,15.510000228881836,14.989999771118164,0.5200004577636719,15.536754979276656,17.899999618530273,2025-01-21,time,3,stock,16.299999237060547,1.5192275244837325,16.5,1.903844037706782,17.899999618530273,4.596148626343396
2025-01-17,INTC,0.06132820612205374,0.11428579213680616,21.489999771118164,20.790000915527344,0.6999988555908203,21.527070020723343,21.56999969482422,2025-01-23,time,3,stock,21.770000457763672,0.4000016348729295,21.860000610351562,0.5285734916253634,21.56999969482422,0.11428579213680616
2025-01-17,MARA,-1.0705796782205026,-1.0,19.90999984741211,18.959999084472656,0.9500007629394531,19.944344597148895,18.927293086051943,2025-01-21,stop,3,stock,19.559999465942383,-0.36842115830177846,19.690000534057617,-0.23157803860470533,19.950000762939453,0.042106193055650366
2025-01-21,RKLB,-0.1676418431655221,-0.15826084302819293,31.270000457763672,25.520000457763672,5.75,31.323941208553315,30.360000610351562,2025-01-24,time,3,stock,29.6200008392334,-0.2869564553965693,31.56999969482422,0.05217378035835598,30.360000610351562,-0.15826084302819293
2025-01-28,NBIS,0.7428008548468044,0.7581121408670054,30.09000015258789,26.700000762939453,3.3899993896484375,30.141905402851105,32.65999984741211,2025-01-31,time,3,stock,29.729999542236328,-0.10619488943002336,31.799999237060547,0.504424599512979,32.65999984741211,0.7581121408670054
2025-02-05,BBAI,0.9129916475909096,0.9200000762939453,7.110000133514404,5.360000133514404,1.75,7.122264883744717,8.720000267028809,2025-02-10,time,3,stock,6.769999980926514,-0.19428580147879465,8.59000015258789,0.8457142966134208,8.720000267028809,0.9200000762939453
2025-02-10,CLF,-1.039123000526427,-1.0,11.84000015258789,10.84000015258789,1.0,11.860424152851104,10.821301152324677,2025-02-12,stop,3,stock,11.300000190734863,-0.5399999618530273,10.5600004196167,-1.2799997329711914,11.390000343322754,-0.4499998092651367
2025-02-12,AIFF,-1.0169193709386892,-1.0,12.970000267028809,10.569999694824219,2.40000057220459,12.992373517489433,10.551766445350648,2025-02-14,stop,3,stock,15.460000038146973,1.0374996572733743,9.010000228881836,-1.6499996225040063,8.369999885559082,-1.916666368643514
2025-02-18,GRAB,-1.0896998725058422,-1.0,5.300000190734863,5.099999904632568,0.20000028610229492,5.30914269106388,5.091202404797078,2025-02-19,stop,3,stock,5.340000152587891,0.19999952316352393,4.784999847412109,-2.5749980330495363,4.900000095367432,-1.9999976158176196
2025-02-19,JTAI,-0.8406879871523224,-0.8372548986608728,10.149999618530273,5.050000190734863,5.09999942779541,10.167508367872237,5.880000114440918,2025-02-24,time,3,stock,7.349999904632568,-0.5490196133429898,6.590000152587891,-0.6980391892869825,5.880000114440918,-0.8372548986608728
2025-02-20,QBTS,-1.0322689993858336,-1.0,7.389999866485596,6.639999866485596,0.75,7.402747616255283,6.628545866715908,2025-02-24,stop,3,stock,7.25,-0.18666648864746094,6.409999847412109,-1.3066666920979817,5.920000076293945,-1.959999720255534
2025-02-20,U,-1.0257963657267393,-1.0,28.0,24.489999771118164,3.510000228881836,28.048299999999998,24.447754521512987,2025-02-25,stop,3,stock,28.34000015258789,0.09686613402193506,27.280000686645508,-0.20512799612661534,25.649999618530273,-0.6695157345383863
2025-02-21,MLGO,-0.5420406952973317,-0.539083552408516,6.360000133514404,2.6500000953674316,3.7100000381469727,6.370971133744717,4.360000133514404,2025-02-26,time,3,stock,4.559999942779541,-0.4851752485786783,4.550000190734863,-0.4878705995064029,4.360000133514404,-0.539083552408516
2025-02-28,AES,-1.0458767776940143,-1.0,11.59000015258789,10.75,0.8400001525878906,11.609992902851104,10.73145625,2025-03-04,stop,3,stock,11.1899995803833,-0.47619107088523666,10.819999694824219,-0.9166670451087869,10.960000038146973,-0.75
2025-03-07,GAP,-1.0455338600266126,-1.0,23.149999618530273,21.459999084472656,1.6900005340576172,23.18993336787224,21.422980586051942,2025-03-11,stop,3,stock,22.360000610351562,-0.4674548867046556,21.6200008392334,-0.9053244353854818,21.030000686645508,-1.254436841386518
2025-03-11,HSAI,-0.7502671032623938,-0.7430556452384666,24.079999923706055,18.31999969482422,5.760000228881836,24.121537923574447,19.799999237060547,2025-03-14,time,3,stock,22.549999237060547,-0.26562510865429606,20.559999465942383,-0.6111111663005948,19.799999237060547,-0.7430556452384666
