symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
NVDS,2024-07-02,41.11,0.0,0.0,no_fill,0,0,1.095713589868484,68449.0,0.4889975934901178,113.2822637200753,2.0,0.639030895754616,-0.27374573794447377,1.0,-0.029089813959460052,3.1399145943230344,6.028636021100222,0.1000000000000009,0.0,0.0,0.0,0.0,0.0,0.19128195696157388,0.17105021151369318,-0.30072981992884923,0.7977075419506016,1.0,2.0
GDXU,2024-07-03,36.3086,1021.4758125000025,2.043076571390805,eod,1,1,3.4285714285714364,98000.0,0.848750946113742,30.582061990953,4.0,1.0,3.4285714285714364,1.0,1.201807219117327,4.5088085995819585,6.1510898775754015,0.5,0.0,0.0,0.0,0.0,0.0,0.14398192024496562,0.11846613691041974,-0.058286734303553,0.9797713208361524,2.0,3.0
JNUG,2024-07-03,39.427929999999996,877.3418800000001,1.7548727513719338,eod,1,1,2.3165018219677265,120580.0,0.6018086238922259,36.476253536477685,5.0,1.0,2.3165018219677265,1.0,0.8397590491154281,3.0579399141630916,4.399141630901289,0.5975609756097583,0.0,0.0,0.0,0.0,0.0,0.14398192024496562,0.11846613691041974,-0.058286734303553,0.9797713208361524,2.0,3.0
GDXU,2024-07-05,40.31056999999999,-13.776151999990986,-0.027560513284711017,eod,0,1,2.838148811045767,108283.0,0.9379675512555686,14.564877627024513,3.0,0.9099099099099149,2.5057530043467247,1.0,1.1693989800834819,4.993288590604025,8.45637583892617,0.7142857142857146,0.0,0.0,0.0,0.0,0.0,0.07611867263535038,0.03805933631767519,0.05621441265004632,0.7230277528188687,4.0,5.0
JNUG,2024-07-05,42.236329999999995,-872.9002099999926,-1.7470031131966102,stop,0,1,1.3646157529327274,134683.0,0.5415088483277215,64.98053779774185,2.0,0.9649122807017614,0.7661000718218823,1.0,0.386503254043359,4.0089641434263115,5.727091633466129,0.7565217391304335,0.0,0.0,0.0,0.0,0.0,0.07611867263535038,0.03805933631767519,0.05621441265004632,0.7230277528188687,4.0,5.0
NUGT,2024-07-05,42.71777,-1035.034649999999,-2.0709063230594644,stop,0,1,1.7068512771544604,120760.0,0.564895513768466,45.235986131253064,3.0,0.9860139860139789,1.6471711625686267,1.0,0.8689197508662911,3.508771929824565,5.930318754633059,0.7083333333333319,0.0,0.0,0.0,0.0,0.0,0.07611867263535038,0.03805933631767519,0.05621441265004632,0.7230277528188687,4.0,5.0
STM,2024-07-05,42.6,0.0,0.0,no_fill,0,0,0.4931892907468315,162635.0,0.17195608849123176,95.33607598898318,1.0,0.19047619047618564,-0.3522780648191606,1.0,-0.15353399792467187,3.5505836575875507,1.7996108949416219,0.7567567567567555,0.0,0.0,0.0,0.0,0.0,0.07611867263535038,0.03805933631767519,0.05621441265004632,0.7230277528188687,4.0,5.0
INTC,2024-07-08,33.46008,1412.5471199999945,2.8256955751450574,target,1,1,1.6348773841961828,4075260.0,0.5976744979497824,65.07702316010186,3.0,0.7777777777777821,0.6357856494096301,0.0,0.4669464264094824,3.154278575890062,3.2123672704559785,0.6888975306241504,0.0,0.0,0.0,0.0,0.0,0.14736065101542659,0.08281722598299054,0.14423770373576883,0.753840530295731,0.0,8.0
PLAY,2024-07-08,39.815,0.0,0.0,no_fill,0,0,1.7594936708860767,61705.0,0.6567687036309401,125.08778824592794,2.0,0.46762589928057946,-0.13924050632911322,0.0,0.274210411014304,4.304198574069191,1.8721943490889972,0.5345557122707985,0.0,0.0,0.0,0.0,0.0,0.14736065101542659,0.08281722598299054,0.14423770373576883,0.753840530295731,0.0,8.0
INTC,2024-07-09,35.22,0.0,0.0,no_fill,0,0,1.1994859345994622,6254844.0,0.6428562838394312,70.13890402272894,3.0,0.6904761904762026,0.21419391689276837,0.0,0.2844190761042034,3.01559282141806,3.736393056781415,0.9212598425196841,44018419.2,2.39770488638341,2.7134056908184134,2.2559781433858834,1.8700339198005547,0.09707690648257356,0.06651565814547236,0.1764875378187614,0.5520736027676336,1.0,9.0
