,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
entered,1.0,-0.22,0.03,-0.19,-0.1,0.18,0.4,0.3,0.19,0.37,0.02,-0.0,0.01,0.04,-0.0,0.03,0.05,0.03,-0.14,0.02,-0.13,-0.02,0.0,0.03
range_size_pct,-0.22,1.0,0.04,0.91,-0.12,0.01,0.02,0.08,0.02,-0.06,0.06,0.37,0.07,-0.03,0.4,-0.13,-0.01,0.1,0.02,0.09,-0.07,0.04,-0.06,-0.06
range_total_volume,0.03,0.04,1.0,0.11,-0.28,0.09,0.02,0.04,0.03,0.04,0.01,0.15,0.06,0.76,0.09,-0.06,0.0,0.08,-0.07,0.1,-0.13,-0.05,-0.08,0.05
range_avg_bar_range_pct,-0.19,0.91,0.11,1.0,-0.16,0.02,-0.01,0.06,0.02,-0.07,0.07,0.43,0.11,0.04,0.48,-0.13,0.01,0.12,-0.0,0.1,-0.1,0.0,-0.1,-0.06
range_volume_stddev_pct,-0.1,-0.12,-0.28,-0.16,1.0,-0.19,-0.12,-0.14,-0.07,-0.14,-0.08,-0.16,-0.04,-0.3,-0.24,0.13,-0.09,0.09,0.08,-0.13,0.25,-0.02,0.04,-0.04
bars_green_in_range,0.18,0.01,0.09,0.02,-0.19,1.0,0.55,0.5,0.41,0.47,0.0,0.01,-0.04,0.04,-0.01,0.05,0.01,-0.02,0.06,-0.02,0.01,-0.05,0.04,0.08
range_close_position,0.4,0.02,0.02,-0.01,-0.12,0.55,1.0,0.7,0.44,0.81,0.01,0.03,0.05,-0.0,-0.02,0.04,0.04,-0.04,-0.09,0.09,-0.11,-0.02,0.01,-0.04
range_return_pct,0.3,0.08,0.04,0.06,-0.14,0.5,0.7,1.0,0.21,0.82,-0.01,0.01,0.09,-0.0,-0.01,0.05,0.02,-0.04,-0.04,0.04,-0.06,-0.05,-0.01,-0.08
last_bar_green,0.19,0.02,0.03,0.02,-0.07,0.41,0.44,0.21,1.0,0.34,-0.05,-0.01,-0.02,0.04,-0.0,-0.04,0.03,-0.0,-0.1,0.02,-0.13,0.02,0.08,0.04
range_vwap_distance_pct,0.37,-0.06,0.04,-0.07,-0.14,0.47,0.81,0.82,0.34,1.0,-0.01,0.0,0.06,0.02,-0.03,0.04,0.04,0.0,-0.09,0.1,-0.08,0.01,0.02,-0.07
gap_pct,0.02,0.06,0.01,0.07,-0.08,0.0,0.01,-0.01,-0.05,-0.01,1.0,0.05,-0.04,0.02,0.04,0.17,-0.0,-0.14,0.03,-0.01,0.04,0.02,0.06,0.03
prev_day_range_pct,-0.0,0.37,0.15,0.43,-0.16,0.01,0.03,0.01,-0.01,0.0,0.05,1.0,-0.07,0.18,0.69,-0.34,0.07,0.29,0.04,0.24,-0.13,0.14,-0.02,-0.02
prev_day_close_position,0.01,0.07,0.06,0.11,-0.04,-0.04,0.05,0.09,-0.02,0.06,-0.04,-0.07,1.0,-0.02,-0.01,0.23,0.03,0.04,-0.08,-0.08,-0.01,-0.1,-0.07,-0.24
avg_daily_volume_20d,0.04,-0.03,0.76,0.04,-0.3,0.04,-0.0,-0.0,0.04,0.02,0.02,0.18,-0.02,1.0,0.2,-0.18,0.12,-0.04,-0.06,0.08,-0.13,0.01,-0.02,0.04
avg_daily_range_pct_20d,-0.0,0.4,0.09,0.48,-0.24,-0.01,-0.02,-0.01,-0.0,-0.03,0.04,0.69,-0.01,0.2,1.0,-0.42,0.12,-0.12,-0.08,0.19,-0.2,0.03,-0.12,0.05
price_vs_20d_high_pct,0.03,-0.13,-0.06,-0.13,0.13,0.05,0.04,0.05,-0.04,0.04,0.17,-0.34,0.23,-0.18,-0.42,1.0,-0.03,-0.04,-0.11,-0.16,0.01,-0.41,0.05,0.02
return_volatility_20d,0.05,-0.01,0.0,0.01,-0.09,0.01,0.04,0.02,0.03,0.04,-0.0,0.07,0.03,0.12,0.12,-0.03,1.0,-0.12,-0.05,-0.01,-0.09,-0.04,-0.06,0.01
prev_day_volume_vs_20d,0.03,0.1,0.08,0.12,0.09,-0.02,-0.04,-0.04,-0.0,0.0,-0.14,0.29,0.04,-0.04,-0.12,-0.04,-0.12,1.0,0.01,0.04,-0.01,0.09,0.0,0.0
spy_range_pct_5min,-0.14,0.02,-0.07,-0.0,0.08,0.06,-0.09,-0.04,-0.1,-0.09,0.03,0.04,-0.08,-0.06,-0.08,-0.11,-0.05,0.01,1.0,-0.19,0.43,0.38,0.05,-0.03
spy_return_5min_pct,0.02,0.09,0.1,0.1,-0.13,-0.02,0.09,0.04,0.02,0.1,-0.01,0.24,-0.08,0.08,0.19,-0.16,-0.01,0.04,-0.19,1.0,-0.33,0.17,-0.05,-0.13
spy_gap_pct,-0.13,-0.07,-0.13,-0.1,0.25,0.01,-0.11,-0.06,-0.13,-0.08,0.04,-0.13,-0.01,-0.13,-0.2,0.01,-0.09,-0.01,0.43,-0.33,1.0,0.15,0.13,-0.12
spy_3d_range_pct,-0.02,0.04,-0.05,0.0,-0.02,-0.05,-0.02,-0.05,0.02,0.01,0.02,0.14,-0.1,0.01,0.03,-0.41,-0.04,0.09,0.38,0.17,0.15,1.0,0.07,-0.1
day_of_week,0.0,-0.06,-0.08,-0.1,0.04,0.04,0.01,-0.01,0.08,0.02,0.06,-0.02,-0.07,-0.02,-0.12,0.05,-0.06,0.0,0.05,-0.05,0.13,0.07,1.0,-0.05
days_since_month_start,0.03,-0.06,0.05,-0.06,-0.04,0.08,-0.04,-0.08,0.04,-0.07,0.03,-0.02,-0.24,0.04,0.05,0.02,0.01,0.0,-0.03,-0.13,-0.12,-0.1,-0.05,1.0
