cell,fam,split,n,net_bps,t,n_hold,net_bps_ex_hold,n_sigw,pct_sigw,net_bps_ex_sigw,t_ex_sigw,share_of_total_net
K1_h2_n10,K1,TRAIN,48,-394.77,-2.135,0,-394.77,6,12.5,-162.197,-1.24351,64.0493
K1_h2_n10,K1,VAL,161,-125.754,-2.01358,0,-125.754,0,0,-125.754,-2.01358,-0
K1_h2_n20,K1,TRAIN,48,-394.77,-2.135,0,-394.77,6,12.5,-162.197,-1.24351,64.0493
K1_h2_n20,K1,VAL,165,-131.15,-2.14982,0,-131.15,0,0,-131.15,-2.14982,-0
K1_h5_n10,K1,TRAIN,48,-428.009,-1.74596,0,-428.009,6,12.5,-155.81,-0.753593,68.1469
K1_h5_n10,K1,VAL,149,-139.062,-1.51008,0,-139.062,0,0,-139.062,-1.51008,-0
K1_h5_n20,K1,TRAIN,48,-428.009,-1.74596,0,-428.009,6,12.5,-155.81,-0.753593,68.1469
K1_h5_n20,K1,VAL,163,-126.488,-1.48149,0,-126.488,0,0,-126.488,-1.48149,-0
K2_h10_n10,K2,TRAIN,809,-101.782,-2.4915,4,-94.881,33,4.07911,-77.3326,-2.02457,27.1203
K2_h10_n10,K2,VAL,322,-144.497,-2.72569,0,-144.497,9,2.79503,-143.357,-2.74626,3.56212
K2_h10_n20,K2,TRAIN,1216,-90.9725,-2.80955,4,-86.3535,38,3.125,-72.0956,-2.33892,23.2266
K2_h10_n20,K2,VAL,525,-107.408,-2.57004,1,-94.9518,13,2.47619,-95.6127,-2.41786,13.1863
K2_h5_n10,K2,TRAIN,1162,-94.8791,-3.20121,4,-83.7061,44,3.78657,-79.7152,-2.85938,19.1638
K2_h5_n10,K2,VAL,491,-100.67,-2.56375,1,-87.3358,14,2.85132,-101.975,-2.95098,1.59237
K2_h5_n20,K2,TRAIN,1410,-80.3581,-2.95878,4,-71.1145,46,3.26241,-65.9139,-2.54403,20.6507
K2_h5_n20,K2,VAL,648,-91.6537,-2.78139,1,-81.541,17,2.62346,-90.63,-3.03678,3.71113
K3_h1_n10,K3,TRAIN,10366,7.59775,0.109491,0,7.59775,175,1.68821,8.6605,0.122707,-12.0633
K3_h1_n10,K3,VAL,3237,-67.8806,-8.47883,0,-67.8806,17,0.525178,-67.4075,-8.40874,1.21852
K3_h1_n20,K3,TRAIN,16186,-15.8879,-0.357203,0,-15.8879,178,1.09972,-15.6434,-0.347865,2.62172
K3_h1_n20,K3,VAL,5369,-72.4816,-12.6531,0,-72.4816,19,0.353883,-72.3758,-12.6293,0.499374
K3_h3_n10,K3,TRAIN,4013,-40.7409,-3.0052,0,-40.7409,102,2.54174,-40.439,-2.97238,3.26392
K3_h3_n10,K3,VAL,1168,-67.8231,-2.56031,0,-67.8231,10,0.856164,-69.2882,-2.59517,-1.28552
K3_h3_n20,K3,TRAIN,7628,-38.4168,-4.11666,1,-37.7447,114,1.49449,-37.8471,-4.06414,2.95542
K3_h3_n20,K3,VAL,2286,-57.4876,-2.81238,1,-55.563,14,0.612423,-55.3625,-2.70669,4.28645
K4_h1_n10,K4,TRAIN,12471,-85.3456,-17.7581,4,-86.9867,520,4.16967,-85.6455,-19.0288,3.83299
K4_h1_n10,K4,VAL,3520,-82.4169,-6.90812,0,-82.4169,69,1.96023,-86.2422,-7.18443,-2.59013
K4_h1_n20,K4,TRAIN,24929,-79.4871,-25.1611,9,-79.7832,604,2.42288,-78.7599,-26.424,3.31554
K4_h1_n20,K4,VAL,7040,-69.3194,-9.74626,0,-69.3194,94,1.33523,-70.9756,-9.95751,-1.02212
K4_h2_n10,K4,TRAIN,6236,-75.8943,-7.91037,3,-75.8455,265,4.24952,-73.4632,-7.97798,7.3167
K4_h2_n10,K4,VAL,1760,-104.681,-4.5127,0,-104.681,36,2.04545,-111.302,-4.76951,-4.15005
K4_h2_n20,K4,TRAIN,12470,-74.9369,-11.9552,6,-74.8932,307,2.46191,-72.5854,-11.9223,5.52259
K4_h2_n20,K4,VAL,3520,-79.451,-5.58417,0,-79.451,51,1.44886,-82.9919,-5.82403,-2.94331
K5_h2_n10,K5,TRAIN,3482,-57.319,-4.66965,0,-57.319,108,3.10167,-57.6896,-4.8534,2.47514
K5_h2_n10,K5,VAL,1251,-103.639,-4.83057,0,-103.639,29,2.31815,-102.972,-4.85344,2.94628
K5_h2_n20,K5,TRAIN,4612,-57.8052,-5.65934,0,-57.8052,120,2.60191,-59.3926,-5.98299,-0.0727516
K5_h2_n20,K5,VAL,1623,-96.5896,-5.33103,0,-96.5896,31,1.91004,-96.1126,-5.35317,2.39443
K5_h5_n10,K5,TRAIN,2279,-29.8313,-1.3117,0,-29.8313,84,3.68583,-23.7508,-1.05496,23.3174
K5_h5_n10,K5,VAL,789,-76.2577,-1.72591,0,-76.2577,23,2.91508,-73.3387,-1.65824,6.63131
K5_h5_n20,K5,TRAIN,3438,-40.5431,-2.31804,0,-40.5431,98,2.85049,-38.1382,-2.20208,8.6133
K5_h5_n20,K5,VAL,1219,-91.5602,-2.78244,0,-91.5602,26,2.1329,-89.3243,-2.71468,4.52286
