universe,fam,train,val,test,train_per_week
primary,K1,48,167,231,0.9230769230769231
primary,K2,1830,938,1234,35.19230769230769
primary,K3,20661,7278,7271,397.3269230769231
primary,K4,74720,25064,25176,1436.923076923077
primary,K5,7261,2526,3763,139.6346153846154
secondary,K1,48,170,237,0.9230769230769231
secondary,K2,1830,949,1250,35.19230769230769
secondary,K3,20661,7331,7365,397.3269230769231
secondary,K4,74720,25305,25548,1436.923076923077
secondary,K5,7261,2556,3827,139.6346153846154
