cell,split,p_adj
K1_h5_n10,TRAIN,1.0
K1_h5_n20,TRAIN,1.0
K1_h2_n10,TRAIN,1.0
K1_h2_n20,TRAIN,1.0
K2_h10_n10,TRAIN,1.0
K2_h10_n20,TRAIN,1.0
K2_h5_n10,TRAIN,1.0
K2_h5_n20,TRAIN,1.0
K3_h3_n10,TRAIN,1.0
K3_h3_n20,TRAIN,1.0
K3_h1_n10,TRAIN,0.9812
K3_h1_n20,TRAIN,0.9974
K4_h1_n10,TRAIN,1.0
K4_h1_n20,TRAIN,1.0
K4_h2_n10,TRAIN,1.0
K4_h2_n20,TRAIN,1.0
K5_h5_n10,TRAIN,0.9998
K5_h5_n20,TRAIN,1.0
K5_h2_n10,TRAIN,1.0
K5_h2_n20,TRAIN,1.0
K1_h5_n10,VAL,1.0
K1_h5_n20,VAL,1.0
K1_h2_n10,VAL,1.0
K1_h2_n20,VAL,1.0
K2_h10_n10,VAL,1.0
K2_h10_n20,VAL,1.0
K2_h5_n10,VAL,1.0
K2_h5_n20,VAL,1.0
K3_h3_n10,VAL,1.0
K3_h3_n20,VAL,1.0
K3_h1_n10,VAL,1.0
K3_h1_n20,VAL,1.0
K4_h1_n10,VAL,1.0
K4_h1_n20,VAL,1.0
K4_h2_n10,VAL,1.0
K4_h2_n20,VAL,1.0
K5_h5_n10,VAL,1.0
K5_h5_n20,VAL,1.0
K5_h2_n10,VAL,1.0
K5_h2_n20,VAL,1.0
