split,n,n_weeks,trades_per_week,gross_bps,net_bps,net_daily_bps,net_auction_bps,med_net_bps,t_trade,wr,sd_trade_bps,mde_trade_bps,wk_mean_bps,wk_green,t_week,mde_week_bps,stop_rate,trunc_rate,span_days,entry_days,net_R,t_R,net_bps_no_top1,net_bps_no_top5,net_bps_wincap,pos_usd_med,pos_usd_p25,book_usd,usd_per_month,usd_worst_month,pct_book_per_month,n_months,cell,fam,hold,slots,universe
TRAIN,48,40,1.2,-369.17,-428.009,-380.295,-379.17,-114.825,-1.74596,45.8333,1698.4,490.285,-51.3611,45,-1.61575,63.5755,25,0,1230,43,-0.25477,-1.46139,-493.35,-608.957,-431.712,169532,124605,1.69532e+06,-11609.8,-167395,-0.684814,30,K1_h5_n10,K1,5,10,primary
VAL,149,48,3.10417,-91.414,-139.062,-100.595,-101.414,-75.2921,-1.51008,45.6376,1124.09,184.179,-43.1672,39.5833,-1.51837,56.86,17.4497,0,371,96,-0.0261518,-0.253553,-201.642,-285.43,-172.943,432600,201816,4.326e+06,-56022.4,-252650,-1.29502,16,K1_h5_n10,K1,5,10,primary
TRAIN,48,40,1.2,-369.17,-428.009,-380.295,-379.17,-114.825,-1.74596,45.8333,1698.4,490.285,-25.6805,45,-1.61575,31.7877,25,0,1230,43,-0.25477,-1.46139,-493.35,-608.957,-431.712,169532,124605,3.39063e+06,-11609.8,-167395,-0.342407,30,K1_h5_n20,K1,5,20,primary
VAL,163,48,3.39583,-78.0816,-126.488,-87.3945,-88.0816,-88.8552,-1.48149,44.7853,1090.04,170.758,-21.4766,41.6667,-1.55148,27.6852,18.4049,0,371,95,-0.0410162,-0.39298,-183.47,-270.812,-157.466,407131,194946,8.14262e+06,-52462.7,-237775,-0.644298,16,K1_h5_n20,K1,5,20,primary
TRAIN,48,40,1.2,-335.932,-394.77,-347.057,-345.932,-232.056,-2.135,35.4167,1281.06,369.809,-47.3724,37.5,-2.05508,46.1028,12.5,0,1230,43,-0.238266,-2.67187,-446.075,-523.901,-406.595,169532,124605,1.69532e+06,-10708.2,-120456,-0.631632,30,K1_h2_n10,K1,2,10,primary
VAL,161,45,3.57778,-77.7546,-125.754,-86.9969,-87.7546,-55.1714,-2.01358,42.8571,792.442,124.906,-44.9921,33.3333,-1.63097,55.1721,6.21118,0,371,96,-0.0734909,-1.27455,-159.211,-223.028,-141.922,412003,206022,4.12003e+06,-55610.6,-185663,-1.34976,15,K1_h2_n10,K1,2,10,primary
TRAIN,48,40,1.2,-335.932,-394.77,-347.057,-345.932,-232.056,-2.135,35.4167,1281.06,369.809,-23.6862,37.5,-2.05508,23.0514,12.5,0,1230,43,-0.238266,-2.67187,-446.075,-523.901,-406.595,169532,124605,3.39063e+06,-10708.2,-120456,-0.315816,30,K1_h2_n20,K1,2,20,primary
VAL,165,45,3.66667,-82.7657,-131.15,-92.0748,-92.7657,-70.2693,-2.14982,41.8182,783.627,122.01,-24.0442,33.3333,-1.83396,26.2211,6.66667,0,371,96,-0.116723,-1.77156,-163.852,-233.966,-146.926,407561,196123,8.15122e+06,-58796.9,-183661,-0.721326,15,K1_h2_n20,K1,2,20,primary
TRAIN,809,221,3.66063,-51.3125,-101.782,-60.9837,-61.3125,-111.573,-2.4915,43.6341,1161.94,81.7031,-37.2585,42.9864,-1.90456,39.1255,33.0037,0,1247,526,-0.145402,-2.4915,-154.403,-263.92,-125.306,341128,178824,3.41128e+06,-44585.7,-448891,-1.30701,63,K2_h10_n10,K2,10,10,primary
VAL,322,76,4.23684,-95.3175,-144.497,-104.765,-105.318,-119.765,-2.72569,40.9938,951.286,106.026,-61.2211,39.4737,-2.27017,53.9353,31.0559,0,371,198,-0.206424,-2.72569,-193.253,-290.428,-161.144,365455,187761,3.65455e+06,-89494.2,-396337,-2.44885,19,K2_h10_n10,K2,10,10,primary
TRAIN,1216,223,5.45291,-40.9587,-90.9725,-50.5508,-50.9587,-115.954,-2.80954,43.3388,1129.12,64.7596,-24.8033,37.2197,-1.87976,26.3898,32.648,0,1247,595,-0.129961,-2.80954,-143.975,-251.763,-116.055,359715,179721,7.1943e+06,-63162.8,-775087,-0.877956,63,K2_h10_n20,K2,10,20,primary
VAL,525,76,6.90789,-58.9939,-107.408,-68.3082,-68.9939,-72.918,-2.57004,44,957.585,83.5849,-37.0982,39.4737,-2.08579,35.5723,29.1429,0,371,240,-0.15344,-2.57004,-149.778,-242.195,-123.649,397490,208874,7.94981e+06,-117970,-474731,-1.48393,19,K2_h10_n20,K2,10,20,primary
TRAIN,1162,220,5.28182,-44.2908,-94.8791,-53.9827,-54.2908,-111.256,-3.20121,42.4269,1010.32,59.2771,-50.1134,36.8182,-2.63975,37.9684,21.8589,0,1247,608,-0.135542,-3.20121,-142.092,-235.622,-118.244,337674,177269,3.37674e+06,-61030.2,-703726,-1.80737,61,K2_h5_n10,K2,5,10,primary
VAL,491,74,6.63514,-51.779,-100.67,-61.1761,-61.779,-80.3806,-2.56375,41.9552,870.096,78.5338,-66.7961,35.1351,-2.21368,60.3486,20.7739,0,371,240,-0.143815,-2.56375,-139.712,-208.76,-121.954,390984,193886,3.90984e+06,-101716,-405963,-2.60153,19,K2_h5_n10,K2,5,10,primary
TRAIN,1410,220,6.40909,-30.0784,-80.3581,-39.7167,-40.0784,-107.325,-2.95878,42.4823,1019.83,54.3185,-25.7511,35.4545,-2.3728,21.7053,21.4894,0,1247,620,-0.114797,-2.95878,-132.115,-226.988,-106.622,348396,181145,6.96793e+06,-64713.1,-626340,-0.928729,61,K2_h5_n20,K2,5,20,primary
VAL,648,74,8.75676,-42.8632,-91.6537,-52.2428,-52.8632,-76.8627,-2.78139,42.9012,838.833,65.9049,-40.1295,33.7838,-2.01209,39.8882,20.3704,0,372,250,-0.130934,-2.78139,-130.049,-196.747,-112.576,389646,200062,7.79291e+06,-121798,-660128,-1.56294,19,K2_h5_n20,K2,5,20,primary
TRAIN,4013,261,15.3755,12.3499,-40.7409,2.22332,2.34991,-72.6237,-3.0052,44.7296,858.8,27.1136,-62.641,40.2299,-1.64243,76.2784,0,0,1258,1107,,,-81.105,-156.134,-65.1775,283033,160683,2.83033e+06,-75858.8,-968073,-2.68021,61,K3_h3_n10,K3,3,10,primary
VAL,1168,76,15.3684,-17.7875,-67.8231,-27.3834,-27.7875,-103.045,-2.56031,40.411,905.33,52.9804,-104.233,40.7895,-1.62549,128.248,0,0,374,277,,,-114.768,-192.29,-96.0156,349000,179625,3.49e+06,-145510,-585509,-4.16933,19,K3_h3_n10,K3,3,10,primary
TRAIN,7628,261,29.2261,14.3965,-38.4168,4.31809,4.39649,-68.929,-4.11666,45.0184,815.045,18.6641,-56.1386,42.5287,-1.64387,68.3008,0,0,1258,1196,,,-76.7193,-148.535,-61.8655,289900,162338,5.79799e+06,-139268,-1.91703e+06,-2.402,61,K3_h3_n20,K3,3,20,primary
VAL,2286,76,30.0789,-7.10504,-57.4876,-16.7612,-17.105,-90.9115,-2.81239,42.0822,977.321,40.8817,-86.4583,40.7895,-1.83146,94.4146,0,0,374,335,,,-105.327,-177.174,-89.1902,345022,179258,6.90045e+06,-238640,-1.07657e+06,-3.45833,19,K3_h3_n20,K3,3,20,primary
