symbol,bar_date,ratio
ACGL,2018-06-21,0.33127698951264656
ACHV,2018-05-24,10.39
AFMD,2018-08-27,2.4
ALT,2018-09-14,21.84
ALT,2018-09-19,3.7126168224299065
ALT,2018-10-05,1.931111111111111
ANY,2018-11-06,7.211093990755007
ANY,2018-11-20,2.217857142857143
ASNS,2018-06-28,0.22539857064321053
ASNS,2018-11-27,3.4482758620689657
ASTC,2018-06-19,3.241025641025641
ASTC,2018-09-21,1.9206349206349207
ASTC,2018-09-24,0.547107438016529
ATAI,2018-08-27,0.3047337278106509
AVGR,2018-05-23,1.821011673151751
AXON,2018-06-06,2.7857142857142856
AYTU,2018-08-13,16.249999999999996
BLNK,2018-05-07,2.8187919463087248
BOXL,2018-05-14,1.8721804511278193
CARV,2018-05-17,3.243835616438356
CASH,2018-10-05,0.3313815871433911
CBIO,2018-06-18,0.37346534653465346
CFBK,2018-08-21,5.494163424124514
CHCI,2018-05-24,2.618811881188119
CLRB,2018-07-17,9.733333333333333
CLSD,2018-11-05,0.3705035971223022
CODX,2018-05-29,2.0370370370370368
CRIS,2018-05-30,5.079572705471986
EXPO,2018-06-08,0.4843222383019778
GERN,2018-09-27,0.36601307189542487
GEVO,2018-06-04,17.083333333333332
GEVO,2018-06-18,4.316239316239317
GLBS,2018-10-15,13.87270282384581
GNPX,2018-07-27,0.45415472779369626
GRNQ,2018-10-01,2.3828125
IBIO,2018-06-11,8.58974358974359
IDEX,2018-11-14,0.5214723926380368
IZEA,2018-07-12,2.5761624799572425
JAGX,2018-06-01,12.162162162162163
JCTCF,2018-05-29,0.49541284403669716
LMFA,2018-08-14,2.1285367825383994
LMFA,2018-10-16,6.579352850539291
MBOT,2018-09-05,12.384740553245344
MDGL,2018-05-31,2.468675142804496
MNKD,2018-09-04,2.1363636363636362
NEON,2018-10-01,10.057080728458821
NSPR,2018-06-28,0.5453837164004675
NSYS,2018-08-01,2.25609756097561
RGLS,2018-10-04,10.784313725490197
RSLS,2018-06-04,13.333333333333332
RSLS,2018-08-02,0.4818181818181818
RSLS,2018-08-07,0.5178679588128408
RSLS,2018-08-08,0.40350877192982454
RSLS,2018-11-08,104.10256410256409
SEED,2018-07-10,9.065621443924643
SMMT,2018-06-27,0.2110671936758893
SNES,2018-05-21,4.91128010139417
STAF,2018-07-09,3.868613138686131
TNXP,2018-07-27,0.34177215189873417
TRVN,2018-10-09,0.3771043771043771
TTNP,2018-09-21,0.4488879820444807
VKTX,2018-05-31,2.0673469387755103
VKTX,2018-09-18,1.915303176130895
VTVT,2018-10-02,3.2475093802561776
ZBIO,2018-05-24,1.9769307923771313
ADIL,2018-11-29,1.9285714285714288
ADIL,2018-12-13,2.1674876847290645
ADMA,2018-12-19,0.5486284289276808
BTAI,2018-12-27,1.817427385892116
REFR,2018-11-28,1.9347826086956523
TNXP,2018-11-28,9.263715110683348
TNXP,2018-11-29,1.877922077922078
VTVT,2018-12-28,2.196261682242991
ABIO,2019-04-04,15.137362637362637
ABIO,2019-05-01,1.8875968992248062
ACET,2019-02-20,0.3397087378640776
ACHV,2019-02-22,1.867403314917127
ACIU,2019-01-30,0.3569431500465983
AQB,2019-03-08,1.8502202643171808
ATAI,2019-04-09,2.784313725490196
ATOS,2019-03-14,4.039735099337748
AVGR,2019-06-24,9.088607594936708
AXSM,2019-01-07,2.6806083650190113
BCRX,2019-05-21,0.48173207036535864
BLIN,2019-05-02,42.85714285714286
BPTH,2019-01-18,13.703703703703704
BPTH,2019-03-01,2.84
BPTH,2019-03-06,2.701271186440678
BPTH,2019-03-07,2.8627450980392157
CAPR,2019-06-05,8.864541832669321
CAPR,2019-07-15,2.0496894409937885
