fam,n,net_bps,t,n_contam,pct,net_bps_clean,t_clean,share_total_net_pct
K1,830,-195.435,-5.08141,24,2.89157,-136.398,-3.91732,32.2261
K2,6583,-95.4362,-7.56885,214,3.2508,-82.214,-6.92536,16.6549
K3,50253,-28.9427,-1.42044,629,1.25167,-28.5141,-1.38221,2.7141
K4,71946,-79.1655,-34.0816,1946,2.70481,-79.0184,-35.0628,2.88554
K5,18693,-60.5441,-9.31539,519,2.77644,-59.5651,-9.29405,4.34865
