cell,split,obs,mu,p5,p95,outside
R1/R2 B2 shipped (pop.csv),TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
R1/R2 B2 shipped (pop.csv),VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
R3b B2 rebuilt (this pass),TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
R3b B2 rebuilt (this pass),VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
F5-0 first break only (=B2),TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
F5-0 first break only (=B2),VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
"F5-a 2nd, prev STOPPED",TRAIN,39.62264150943396,41.0433962264151,35.84905660377358,47.16981132075472,inside
"F5-a 2nd, prev STOPPED",VAL,47.82608695652174,39.83695652173913,30.434782608695656,47.82608695652174,inside
"F5-b 2nd, prev back<5 bars",TRAIN,30.18867924528302,33.05377358490566,26.41509433962264,39.62264150943396,inside
"F5-b 2nd, prev back<5 bars",VAL,34.78260869565217,35.98913043478261,26.08695652173913,47.82608695652174,inside
"F5-c 2nd, prev back<15 bars",TRAIN,30.18867924528302,33.25660377358491,26.41509433962264,39.62264150943396,inside
"F5-c 2nd, prev back<15 bars",VAL,39.130434782608695,36.528260869565216,26.08695652173913,47.82608695652174,inside
"F5-d 2nd, stopped OR back15",TRAIN,30.18867924528302,33.25660377358491,26.41509433962264,39.62264150943396,inside
"F5-d 2nd, stopped OR back15",VAL,39.130434782608695,36.528260869565216,26.08695652173913,47.82608695652174,inside
F5-e ANY re-break [ctrl],TRAIN,37.735849056603776,32.592452830188684,26.41509433962264,39.62264150943396,inside
F5-e ANY re-break [ctrl],VAL,39.130434782608695,28.080434782608695,17.391304347826086,39.130434782608695,inside
F5-f 3rd+ break [ctrl],TRAIN,33.9622641509434,35.87452830188679,30.18867924528302,43.39622641509434,inside
F5-f 3rd+ break [ctrl],VAL,52.17391304347826,46.321739130434786,34.78260869565217,56.52173913043478,inside
F6 shelf>=2% of ADV,TRAIN,32.075471698113205,29.502830188679248,22.641509433962266,35.84905660377358,inside
F6 shelf>=2% of ADV,VAL,39.130434782608695,43.778260869565216,34.78260869565217,52.17391304347826,inside
F6 shelf>=5% of ADV,TRAIN,26.41509433962264,32.08018867924529,24.528301886792452,39.62264150943396,inside
F6 shelf>=5% of ADV,VAL,30.434782608695656,33.09782608695653,21.73913043478261,43.47826086956522,inside
F6 shelf>=10% of ADV,TRAIN,37.735849056603776,39.21415094339623,32.075471698113205,45.28301886792453,inside
F6 shelf>=10% of ADV,VAL,34.78260869565217,30.68695652173913,21.73913043478261,39.130434782608695,inside
F6 shelf>=20% of ADV,TRAIN,39.62264150943396,35.99905660377358,30.18867924528302,41.509433962264154,inside
F6 shelf>=20% of ADV,VAL,26.08695652173913,28.26086956521739,21.73913043478261,34.78260869565217,inside
F6-e shelf>=5% AND age>=20,TRAIN,30.18867924528302,29.2811320754717,22.641509433962266,35.84905660377358,inside
F6-e shelf>=5% AND age>=20,VAL,21.73913043478261,29.42826086956522,21.73913043478261,39.130434782608695,inside
F6-f age>=20 alone [arm],TRAIN,37.735849056603776,36.64528301886792,30.18867924528302,43.39622641509434,inside
F6-f age>=20 alone [arm],VAL,43.47826086956522,31.839130434782607,21.73913043478261,43.47826086956522,inside
F6 shelf_bars>=5,TRAIN,33.9622641509434,37.49245283018868,30.18867924528302,45.28301886792453,inside
F6 shelf_bars>=5,VAL,17.391304347826086,28.960869565217394,17.391304347826086,39.130434782608695,inside
F6 shelf_bars>=10,TRAIN,24.528301886792452,29.505660377358492,24.528301886792452,35.84905660377358,inside
F6 shelf_bars>=10,VAL,39.130434782608695,28.74565217391304,21.73913043478261,39.130434782608695,inside
F6 shelf_bars>=20,TRAIN,13.20754716981132,12.361320754716983,11.320754716981133,13.20754716981132,inside
F6 shelf_bars>=20,VAL,8.695652173913043,9.710869565217392,8.695652173913043,13.043478260869565,inside
F9-b exp5_n>=3,TRAIN,39.62264150943396,43.570754716981135,35.84905660377358,50.943396226415096,inside
F9-b exp5_n>=3,VAL,39.130434782608695,37.55434782608696,26.08695652173913,47.82608695652174,inside
F9-b exp5_n>=6,TRAIN,39.62264150943396,43.113207547169814,35.84905660377358,49.056603773584904,inside
F9-b exp5_n>=6,VAL,30.434782608695656,29.74347826086957,21.73913043478261,39.130434782608695,inside
F9-c add30_ratio>=1.0,TRAIN,47.16981132075472,52.1877358490566,45.28301886792453,58.490566037735846,inside
F9-c add30_ratio>=1.0,VAL,43.47826086956522,33.26086956521739,21.73913043478261,43.47826086956522,inside
F9-c add30_ratio>=2.0,TRAIN,28.30188679245283,34.04811320754717,28.30188679245283,39.62264150943396,inside
F9-c add30_ratio>=2.0,VAL,26.08695652173913,27.026086956521738,21.73913043478261,34.78260869565217,inside
F9-d rng_own>=0.5,TRAIN,33.9622641509434,30.39811320754717,24.528301886792452,37.735849056603776,inside
F9-d rng_own>=0.5,VAL,52.17391304347826,45.43913043478261,34.78260869565217,56.52173913043478,inside
F9-d rng_own>=1.0,TRAIN,35.84905660377358,35.90943396226416,28.30188679245283,43.39622641509434,inside
F9-d rng_own>=1.0,VAL,34.78260869565217,35.8304347826087,26.08695652173913,43.47826086956522,inside
F9-d rng_own>=1.5,TRAIN,28.30188679245283,31.671698113207547,24.528301886792452,37.735849056603776,inside
F9-d rng_own>=1.5,VAL,34.78260869565217,35.821739130434786,26.08695652173913,47.82608695652174,inside
