day,spy_gap_pct,spy_pm_ret_pct,spy_r5_pct,spy_prev_c2c_pct,spy_pm_last_m,qqq_gap_pct,qqq_pm_ret_pct,qqq_r5_pct,qqq_prev_c2c_pct,qqq_pm_last_m,spy_vol20,qqq_vol20,dow,qqq_imb_signed,qqq_imb_ratio,qqq_imb_side,qqq_imb_last_m,qqq_imb_last_s,spy_ret_0930_1000,breadth_by_1000
2025-01-02,0.5767819661780527,0.563130322008143,-0.2646804323113594,-0.3774033966305712,569,0.6093386279611313,0.6064044130592139,-0.36844407718856775,-0.8456659619450413,569,14.39751445558597,,3,0.0,0.0,N,569.0,59.0,0.1238442615997703,
2025-01-03,0.5046358069040968,0.4943720277806207,0.09173999625551321,-0.24402313953686416,569,0.6233216378854101,0.6037203285179427,0.16941657738385185,-0.20343889986501607,569,14.382687243632992,,4,0.0,0.0,N,569.0,59.0,-0.0034027494215327,
2025-01-06,0.7434064912903215,0.7400273708753513,0.09559427776009155,1.247049163502001,569,1.0529157667386713,1.0490589324282817,0.21945727262318027,1.6445498559303662,569,14.989397974636182,,0,0.0,0.0,N,569.0,59.0,0.2296846446594225,
2025-01-07,0.34094726234463746,0.33926771918038057,-0.07532263194013344,0.5964147532397268,569,0.20780904445969473,0.22496758941510375,-0.1921576834535088,1.1493366244986092,569,15.195520373678889,,1,1488.0,0.013466916456246097,B,569.0,59.0,-0.4133199464524839,
2025-01-08,-0.0033972007066118692,-0.0033972007066118692,-0.07898759979616532,-1.1219348337252133,569,-0.013588275259623916,-0.017470639619532324,0.07377494758096237,-1.7863951803553713,569,15.591535350372032,,2,0.0,0.0,N,569.0,59.0,-0.0272118099254981,
2025-01-10,-0.600590410912416,-0.6090733263207748,-0.11947839147948836,0.11890202473161526,569,-0.7413157384048019,-0.7393751212885546,-0.15640885274106342,0.029117732699202037,569,15.568202766050204,,4,0.0,0.0,N,569.0,59.0,-0.6324353890332146,77.0
2025-01-13,-0.8165234018363221,-0.8165234018363221,0.11810271462564526,-1.511655525771094,569,-1.1849135466571958,-1.1849135466571958,0.0,-1.5699592470405532,569,16.350470801889657,,0,0.0,0.0,N,569.0,59.0,0.2596004410602814,95.0
2025-01-14,0.47804106338344976,0.47976063555388304,-0.06161007667031537,0.17743019069438315,569,0.6249999999999867,0.6289556962025156,-0.009827816652252519,-0.31742276374676637,569,16.014454964487648,,1,5171.0,0.03928674537691267,B,569.0,59.0,-0.2415169318785159,98.0
2025-01-15,1.401604287260172,1.396451330321713,0.05589904294061032,0.11177219107887382,569,1.5699861413581262,1.5838447832112523,0.06237452000859012,-0.09889240506328889,569,16.021727271514845,,2,0.0,0.0,N,569.0,59.0,0.3745572259037821,98.0
2025-01-16,0.23617530955835075,0.2344883430615008,-0.08583257598707705,1.818993799275126,569,0.47819100536270476,0.4762550093895923,-0.33333333333334103,2.262918234013056,569,17.510251203370593,,3,-200.0,-0.0016434799043494696,A,569.0,59.0,-0.338571933902676,73.0
