cell,TRAIN_g,TRAIN_d,TRAIN_t,TRAIN_tc,TRAIN_nk,TRAIN_dk,VAL_g,VAL_d,VAL_t,VAL_tc,VAL_nk,VAL_dk
A1 spy_gap>0 [B2],-0.01777480756254938,-0.019761827598327113,-0.5282171417803727,-0.08511070778376068,2014.0,143.0,0.034225731854200386,0.035683453993368405,0.6919954870525435,0.40274130514052264,1293.0,57.0
A2 |spy_gap|<=med [B2],-0.07612260342601873,-0.07947700257391932,-2.029027874068655,-0.3965413534995607,1582.0,121.0,-0.054655696394078246,-0.052916834919645134,-1.024012296976718,-0.6131722321628903,1123.0,46.0
A3 spy_r5>0 (0935) [B2],0.38803451756328133,0.388945305416567,10.673999334630025,2.0019052913751727,2368.0,124.0,0.18889535502694355,0.18989795378145402,3.692328639729358,2.3710559965444236,1341.0,52.0
A4 spy_r5 TOP terc [B2],0.3384647275220679,0.3391123748063002,9.12423607726848,1.4996892997104092,1772.0,81.0,0.16300797306217793,0.1636215805038563,3.1663370283006813,1.9793694739102397,1145.0,43.0
A5 qqq_gap>0 [B2],-0.0032614828526466395,-0.005340804656551415,-0.14267120738679415,-0.022894963140013675,2022.0,143.0,0.13800101648317778,0.14005012949848844,2.718354807577251,1.5323691432635589,1345.0,59.0
A6 qqq_r5>0 (0935) [B2],0.29958992517029165,0.3011355665453499,8.227430404236557,1.4271326284672414,2245.0,114.0,0.11050915281261878,0.11008422767110308,2.129814692387499,1.3233703953193903,1355.0,52.0
A7 qqq_imb not sell-side [B2],0.43638991799829774,0.43808918047267104,10.730883312326755,2.209788560097663,3478.0,200.0,-0.1065378498428446,-0.10900793466814906,-1.8962209838978807,-1.291299558346698,1724.0,74.0
A8 qqq_imb BUY [B2],0.5286788243235744,0.5343876975564287,13.47625350267041,2.3614942938788723,1171.0,37.0,-0.02009228037596916,-0.02028407915489707,-0.26396066981694094,-0.14950183294229952,312.0,15.0
A9 spy_pm_ret>0 [B2],-0.01777480756254938,-0.019761827598327113,-0.5282171417803727,-0.08511070778376068,2014.0,143.0,0.034225731854200386,0.035683453993368405,0.6919954870525435,0.40274130514052264,1293.0,57.0
A10 spy_vol20 BOT terc [B2],0.013226884397906062,0.011742775787628855,0.26818214742672913,0.06468527169588936,1137.0,81.0,0.02171569147082228,0.024219551730541494,0.46370673219988,0.2743893636114646,1050.0,40.0
A11 qqq_vol20 BOT terc [B2],-0.03814975018324817,-0.04048988564164203,-0.9405141573929883,-0.22377699052074984,1196.0,90.0,-0.08423697269519392,-0.0847157873645474,-1.208344997983201,-0.8103383659109297,391.0,20.0
A12 skip weekday 0 [B2],0.4157218033488337,0.41631420415693193,10.215589591800518,2.0717640046222434,3412.0,195.0,-0.17007655476949274,-0.16961926126675292,-2.571213678744881,-1.5709013205755602,1978.0,84.0
A13 spy_r5>0 AND qqq_r5>0 [B2],0.324944484704512,0.3257556980001155,8.862190815029068,1.4945561569431798,1958.0,94.0,0.1250892969043279,0.1243076186036239,2.3887803421427147,1.4596272879193228,1074.0,40.0
A14 gap>0 AND r5>0 [B2],0.02385084014577776,0.021501981121266556,0.47725075587219057,0.12220512954691001,1042.0,73.0,0.17369296835449577,0.1755164191430923,3.0614556183978623,2.2046319480898835,739.0,31.0
A1 spy_gap>0 [B0],-0.017548687552020423,-0.016804631911832922,-0.3525769662327402,-0.10821018462800089,1533.0,143.0,0.02639798823075515,0.027718511516202707,0.43440893821463844,0.27587593949575157,956.0,57.0
A2 |spy_gap|<=med [B0],-0.05463371943126836,-0.05580147487683655,-1.1189485002992985,-0.4183343406911131,1136.0,121.0,-0.07678771204521498,-0.07699477904710342,-1.2077138488320498,-0.7961821339536712,832.0,46.0
A3 spy_r5>0 (0935) [B0],0.2346986763473654,0.23563480365576792,4.9607578981215585,1.7697469124989507,1679.0,124.0,0.1653870532205204,0.16654863626448183,2.6044401241833133,1.8257316029705373,995.0,52.0
A4 spy_r5 TOP terc [B0],0.16039065827831564,0.1600295805625327,3.3215304868014814,0.970019260554265,1225.0,81.0,0.11612348676865349,0.11731551548730804,1.8399874151366173,1.2441664564824884,851.0,43.0
A5 qqq_gap>0 [B0],0.010548941027454881,0.011232569978770902,0.23568220113507216,0.07145324437748826,1539.0,143.0,0.12012561601378169,0.12099286992936058,1.896337095838994,1.164037148138073,990.0,59.0
A6 qqq_r5>0 (0935) [B0],0.15329630134493377,0.15407558005343075,3.2427709180397803,1.0800736383816905,1614.0,114.0,0.07930870142133986,0.07807184561015186,1.2160266435426559,0.8193452274849151,998.0,52.0
A7 qqq_imb not sell-side [B0],0.23941531183874823,0.2425051620094017,4.126765776983929,1.8112082329981225,2530.0,200.0,-0.10260540471273023,-0.10423262198192138,-1.4882117317219807,-1.0601387755371317,1225.0,74.0
A8 qqq_imb BUY [B0],0.3440258500323703,0.3483698753778988,6.646216025705308,1.9752093074491666,776.0,37.0,-0.05382047247501872,-0.054154634221374225,-0.5456516634284305,-0.3844318942692169,211.0,15.0
A9 spy_pm_ret>0 [B0],-0.017548687552020423,-0.016804631911832922,-0.3525769662327402,-0.10821018462800089,1533.0,143.0,0.02639798823075515,0.027718511516202707,0.43440893821463844,0.27587593949575157,956.0,57.0
A10 spy_vol20 BOT terc [B0],0.0006287486097710489,0.0012941310180125745,0.023727501878170028,0.010085417739148221,859.0,81.0,0.05055329977666801,0.05277018367140039,0.8150095366138704,0.558618480013267,746.0,40.0
A11 qqq_vol20 BOT terc [B0],-0.09776239388671334,-0.09905182417068038,-1.8705556714713167,-0.8076564926772204,921.0,90.0,-0.06241214522024348,-0.06290434559396285,-0.732194808352101,-0.5877156108379438,294.0,20.0
A12 skip weekday 0 [B0],0.2567294624309624,0.25989360822084534,4.680217708982689,2.1104347222899245,2436.0,195.0,-0.1525865472016513,-0.15306126732487374,-1.9429893995526422,-1.2883700584065352,1409.0,84.0
A13 spy_r5>0 AND qqq_r5>0 [B0],0.1652412745785531,0.16509378796321533,3.4707941174787256,1.0784429807329825,1377.0,94.0,0.09018659914853006,0.08989395744069766,1.4038738270332027,0.9311208749693206,795.0,40.0
A14 gap>0 AND r5>0 [B0],0.017714074772406007,0.016691774511032063,0.2974785085066425,0.13414293470309305,785.0,73.0,0.11519432368194168,0.11533666169108778,1.6383002308544574,1.2646784153823192,543.0,31.0
F5M-1 b1 ret>0 [B2],0.35268834258792653,0.35476819566068085,9.712838063507625,1.750375988277633,2224.0,119.0,0.06833674323655162,0.06836079193566813,1.3245712235761118,0.8117156744959027,1312.0,54.0
F5M-2 b1rng/ATR TOP [B2],0.0698884297982997,0.07250825993297239,1.9556738673771075,0.2995849251461871,2431.0,81.0,-0.068230782389643,-0.0699834903158553,-1.3560719131006111,-0.8195915343321976,1265.0,53.0
F5M-3 b1rng/ATR BOT [B2],0.01453767169962429,0.014303056386364171,0.3135009976698192,0.08025793412966788,1026.0,81.0,0.04939669187615013,0.04953992685051228,0.6701331158702382,0.41886147844824745,367.0,14.0
F5M-4 b1vol/20d TOP [B2],-0.34403932766759804,-0.3446953858059801,-9.271821794417942,-1.7394706235481812,1855.0,81.0,-0.028894850098848242,-0.028896541426086976,-0.49991600486546683,-0.33323282085254613,656.0,27.0
F5M-5 b1vol/20d BOT [B2],-0.09278707189273085,-0.09459633178848004,-2.0883374265650345,-0.534186774865177,1002.0,81.0,0.11456764522794133,0.11693672762189834,2.1667301456213974,1.2257614039973754,903.0,34.0
F5M-6 b1 closepos>=.5 [B2],0.3015374803906091,0.3025875941799163,8.250176580684435,1.4039914960810422,2103.0,110.0,-0.05706651430663912,-0.05893908879953637,-1.1413299484088877,-0.683792138234075,1132.0,48.0
F5M-7 gap-and-GO [B2],-0.3364802760593534,-0.3387364037337083,-9.271423200753082,-1.6693396080529754,2277.0,121.0,0.07144829350959565,0.07207464984590337,1.3986299906844506,0.8222427904972065,1296.0,55.0
F5M-8 gap-FADE [B2],0.3364802760593534,0.3387364037337083,9.271423200753082,1.6693396080529754,2298.0,121.0,-0.07144829350959565,-0.07207464984590337,-1.3986299906844506,-0.8222427904972065,1156.0,47.0
T SPY 0935 sgn [B2],0.38803451756328133,0.388945305416567,10.673999334630025,2.0019052913751727,2368.0,124.0,0.18889535502694355,0.18989795378145402,3.692328639729358,2.3710559965444236,1341.0,52.0
T SPY 0935 p20 [B2],0.7258854658006164,0.731427736097308,17.576732346007418,4.222148886944566,815.0,15.0,0.06516760611036213,0.06302335634367116,0.7629370162750573,0.39059196805132446,273.0,9.0
