cell,base,note,TRAIN_n,TRAIN_dnet,TRAIN_net,TRAIN_gross,TRAIN_cost,TRAIN_t,TRAIN_tc,TRAIN_lost_n,TRAIN_lost_R,TRAIN_cut_n,TRAIN_cut_R,TRAIN_mde,TRAIN_bk_n,TRAIN_bk_per_wk,TRAIN_bk_gross,TRAIN_bk_net,TRAIN_bk_green,TRAIN_bk_redstreak,TRAIN_bk_worst,TRAIN_bk_total,TRAIN_bk_mdd,H1_n,H1_dnet,H1_net,H1_gross,H1_cost,H1_t,H1_tc,H1_lost_n,H1_lost_R,H1_cut_n,H1_cut_R,H1_mde,H2_n,H2_dnet,H2_net,H2_gross,H2_cost,H2_t,H2_tc,H2_lost_n,H2_lost_R,H2_cut_n,H2_cut_R,H2_mde,VAL_n,VAL_dnet,VAL_net,VAL_gross,VAL_cost,VAL_t,VAL_tc,VAL_lost_n,VAL_lost_R,VAL_cut_n,VAL_cut_R,VAL_mde,VAL_bk_n,VAL_bk_per_wk,VAL_bk_gross,VAL_bk_net,VAL_bk_green,VAL_bk_redstreak,VAL_bk_worst,VAL_bk_total,VAL_bk_mdd
E1 a=0.4 s=-0.2,B0,,1688,0.01816526049190144,-0.06971800162077037,-0.004750962359286346,0.064967039261484,0.9130889534237315,0.8485742858197095,249,384.71267593646894,555,422.4670049138058,0.055743813028791965,1896,35.77358490566038,-0.012328189026795682,-0.07736268287611286,37.735849056603776,9,-1589.1042847908896,-14667.964673310998,-16447.842164790418,814,0.012707410119298417,-0.07476406031069484,-0.011113849255557973,0.06365021105513687,0.4291190294657594,0.3978603853648478,126,197.2753859326381,275,211.43802343279856,0.08297502722869875,874,0.023248430060893274,-0.06501835428255695,0.0011751130795753149,0.06619346736213227,0.8685409733578173,0.8103540891448604,123,187.4372900038309,280,211.02898148100718,0.07500175930535637,820,-0.08039167325233998,-0.13073167832452073,-0.05938280714772933,0.07134887117679144,-2.6888891653424944,-2.5426592362412612,158,234.5976319766117,226,173.01124382057372,0.08377343006786397,963,41.869565217391305,-0.05463877359790542,-0.1263025093047474,17.391304347826086,9,-1815.324412974936,-12162.931646047178,-12394.300479581329
E1 a=0.4 s=+0.0,B0,,1688,0.014642142753169631,-0.07324111935950217,-0.00664564527699344,0.06659547408250872,0.6383189340222026,0.5815556130250391,328,500.4415084280993,573,534.9976126403466,0.06427395743356448,1951,36.81132075471698,-0.019117777343180833,-0.08576418778464216,32.075471698113205,8,-1821.6154135740542,-16732.593036783688,-18071.25457826426,814,0.007921531781136606,-0.07954993864885666,-0.014335264067215468,0.06521467458164117,0.23271400801916203,0.20870698438298876,163,255.57666186804562,284,267.11706771151694,0.09537944122777992,874,0.02090138455092121,-0.067365399792529,0.0005160820630989372,0.06788148185562795,0.6750437350978743,0.6264636255177041,165,244.8648465600537,289,267.8805449288296,0.08675834833603754,820,-0.0771421008285933,-0.12748210590077405,-0.05460268480257915,0.07287942109819491,-2.3494285754498403,-2.1486779063098154,194,275.9080288199194,237,218.24134098690462,0.0920020164819576,1006,43.73913043478261,-0.06851219247337578,-0.141800960886634,21.73913043478261,6,-2036.4362467575945,-14265.176665195379,-14086.323461764467
E1 a=0.4 s=+0.1,B0,,1688,0.013655221445796761,-0.07422804066687505,-0.006817796032413831,0.06741024463446121,0.5632286794013189,0.49686002397529616,367,555.7664704852431,586,590.0319842223408,0.06793320704441551,1981,37.37735849056604,-0.020823417686003744,-0.08858876418197137,30.18867924528302,7,-1739.0902719389535,-17549.434184448524,-18034.96944195439,814,0.0030408340990546096,-0.08443063633093864,-0.018245413078623048,0.0661852232523156,0.08427379207003653,0.07107610651607026,181,286.55829747012217,293,294.9158420183078,0.1011039961091349,874,0.023540932315645875,-0.06472585202780436,0.003825316411080793,0.06855116843888516,0.7215977643330854,0.6725708002919829,186,269.20817301512096,293,295.11614220403305,0.09141061074295705,820,-0.08326564499889344,-0.13360565007107422,-0.059505801352832004,0.0740998487182422,-2.4022696918839346,-2.151819109503651,214,302.7340574507378,242,241.04681404651564,0.09712079292143516,1035,45.0,-0.06300153431293784,-0.1377718847978962,13.043478260869565,6,-1627.9948558154945,-14259.39007658226,-13998.00325015469
E1 a=0.4 s=-0.1,B0,,1688,0.01332817834598851,-0.07455508376668328,-0.008786101091687471,0.06576898267499581,0.6180691095538585,0.5772994938813693,289,447.7318663150444,563,478.67488111208803,0.060422944858734305,1924,36.301886792452834,-0.02067607700984324,-0.08650238494346484,33.9622641509434,6,-1660.0275410464983,-16643.05886312264,-17534.70228721121,814,0.007118910168361244,-0.08035256026163201,-0.015909220935903336,0.06444333932572867,0.22239305838574003,0.20981949343570078,145,229.16918945338688,280,239.42839440574625,0.08969338538053594,874,0.019111180973664266,-0.06915560336978595,-0.002151982609774751,0.0670036207600112,0.6567837598547422,0.6080918319306853,144,218.5626768616575,283,239.24648670634178,0.08153296771535667,820,-0.07233029906738563,-0.12267030413956641,-0.05076915421001754,0.07190114992954888,-2.3263989281263577,-2.1887487997792854,174,249.59926392642433,229,195.07607117931002,0.08711725901199632,985,42.82608695652174,-0.048541687416194274,-0.12074150037744853,17.391304347826086,9,-1626.808287248385,-11893.037787178679,-11913.493273655014
E1 a=0.3 s=-0.2,B0,,1688,0.012606825649084347,-0.07527643646358746,-0.00953358437679891,0.06574285208678854,0.5843860442184706,0.5379684250063996,286,453.8776681988111,635,483.5589312105867,0.06044690118494423,1931,36.43396226415094,-0.018438149203983782,-0.08421699652610473,37.735849056603776,9,-1661.4413377614424,-16262.302029190825,-17112.47252788744,814,0.016915664629689003,-0.07055580580030424,-0.006277633141692256,0.06427817265861198,0.535483324232357,0.4838949955625801,140,223.55714381966555,316,241.6564612365127,0.08851385308839564,874,0.008593787971496031,-0.07967299637195419,-0.012566014932149955,0.06710698143980423,0.2911325197193288,0.27327082088918775,146,230.32052437914555,319,241.90246997407394,0.08271076662732976,820,-0.0921517529004119,-0.14249175797259267,-0.07031892559095508,0.07217283238163757,-2.8747762020997625,-2.7687133220255418,178,268.38735535547374,259,197.83335007599072,0.08981889144565612,1000,43.47826086956522,-0.045239304547042995,-0.11778110244670631,21.73913043478261,9,-1886.098840012622,-11778.110244670632,-12277.023173388472
E1 a=0.3 s=-0.1,B0,,1688,0.008367489616587698,-0.0795157724960841,-0.0128406486973017,0.0666751237987824,0.35889869844871886,0.3280895195716062,330,523.5046985612214,643,547.6036369999883,0.06532680672016637,1967,37.113207547169814,-0.02762652300937643,-0.0943524365432396,28.30188679245283,11,-1611.468623520725,-18559.12426805523,-18841.657884168835,814,0.011849475641451427,-0.07562199478854184,-0.010485036126561919,0.06513695866197988,0.34688731422640023,0.3186721353548639,161,258.9434452911077,321,273.617936678271,0.09571474477638883,874,0.005124541533934286,-0.08314224280951593,-0.015034548734581075,0.06810769407493485,0.16072681206692702,0.1462426411242981,169,264.56125327011375,322,273.98570032171733,0.08933771032616988,820,-0.08963267182724434,-0.13997267689942514,-0.06709285918150512,0.07287981771792001,-2.6710025626092406,-2.4862588432149826,199,290.74269547780966,262,222.83406465407552,0.09402864301807157,1017,44.21739130434783,-0.045175642139930944,-0.11859996462698491,26.08695652173913,6,-1675.7219576366692,-12061.616402564367,-12186.240404948894
E1 a=0.5 s=-0.2,B0,,1688,0.010466856541754799,-0.077416405570917,-0.013025005901736065,0.06439139966918093,0.5676231665783708,0.5375720876096713,213,333.14537776468364,470,356.93312124236536,0.05166831404501469,1854,34.9811320754717,-0.013241209185328345,-0.07762823623971747,39.62264150943396,9,-2070.083249737987,-14392.274998843623,-16127.4518721427,814,0.0027566328635639094,-0.08471483756642932,-0.021433850206842922,0.06328098735958641,0.09914567100747751,0.09581004498969774,111,175.66403512241425,238,181.4261918482288,0.077906430056069,874,0.01764777424661451,-0.0706190100968357,-0.005193427796064464,0.06542558230077125,0.7214221530613896,0.6702017248379369,102,157.48134264226942,232,175.5069293941366,0.06854386606950505,820,-0.08135220278322862,-0.1316922078554094,-0.06088403104983561,0.07080817680557377,-2.9656478860801556,-2.8913025754556987,142,202.74489330937394,184,139.9275015536088,0.07686309398648737,944,41.04347826086956,-0.060589915068436015,-0.13145425318444137,26.08695652173913,9,-2025.1708589141306,-12409.281500611263,-13248.13242523587
E1 a=0.6 s=-0.2,B0,,1688,0.008338576242743041,-0.07954468586992876,-0.015667569771357595,0.06387711609857115,0.4924742984167624,0.4634929045840077,184,282.8203990493978,397,302.1474947151583,0.04744347209038175,1827,34.471698113207545,-0.01861942324385068,-0.08261639208916499,37.735849056603776,9,-1969.0045948230027,-15094.014834690446,-16419.40352955985,814,-0.009177592978568804,-0.09664906340856205,-0.03391935164176236,0.06272971176679967,-0.35707453407184425,-0.3486448941708667,97,153.30727551236924,196,148.9062340701594,0.07201750075174991,874,0.024652262451150184,-0.06361452189230005,0.0013312293619484347,0.06494575125424848,1.1064859776358924,1.0091656633833574,87,129.51312353702852,201,153.2412606449989,0.06242793924574551,820,-0.07920681706766074,-0.12954682213984153,-0.059242988786163055,0.07030383335367847,-3.1330615440139864,-2.9968465995366245,126,175.99211075103244,151,114.52037365147882,0.0708372619898317,923,40.130434782608695,-0.04635644335444913,-0.1164059567702466,26.08695652173913,9,-1963.4840838632451,-10744.269809893758,-11766.527406215477
E1 a=0.3 s=+0.1,B0,,1688,0.0034698536409892475,-0.08441340847168256,-0.015860292608458965,0.06855311586322359,0.13257188022045044,0.1140040650960064,420,651.5703266849008,666,670.5721062016344,0.0733377989803307,2028,38.264150943396224,-0.02626307433118782,-0.09542504439093392,28.30188679245283,7,-1836.876637357459,-19352.199002481408,-19515.404627334847,814,0.006899626378641867,-0.0805718440513514,-0.013621021226363687,0.0669508228249877,0.1797181191667003,0.1484302117353199,201,322.94169890754995,334,335.06349842347464,0.1075726432181394,874,0.0002755344093539881,-0.08799124993409625,-0.017945838266382942,0.0700454116677133,0.007706496245434342,0.006926000783697208,219,328.62862777735086,332,335.50860777815967,0.10018137820637603,820,-0.0917407663932557,-0.14208077146543646,-0.06690821446771343,0.07517255699772303,-2.4767103379420283,-2.188038976960448,236,342.7275502559851,277,274.9703280975601,0.10378994406245312,1068,46.43478260869565,-0.04741887874277467,-0.12343233740089059,13.043478260869565,6,-1883.8800563679802,-13182.573634415112,-12904.015133749162
E1 a=0.3 s=+0.0,B0,,1688,0.004238462948979874,-0.08364479916369193,-0.015973931255126635,0.06767086790856529,0.17057115765323275,0.15540983677342418,380,591.8320520832169,653,610.6420095643753,0.06962591651740792,1998,37.698113207547166,-0.027997348466337703,-0.09585312906489304,30.18867924528302,7,-1816.5914409847728,-19151.45518716563,-19846.705228771345,814,0.008021458904572502,-0.07945001152542078,-0.013439885768420172,0.06601012575700059,0.22008917446559134,0.19445928843289134,183,292.32432901129914,325,304.5935727899899,0.10212282319286022,874,0.0007151692329016158,-0.0875516151105486,-0.01833401480910726,0.06921760030144135,0.02106814304594479,0.019839184327656866,197,299.50772307191767,328,306.0484367743854,0.09511536855527666,820,-0.09302954173650395,-0.14336954680868472,-0.06936781898110612,0.07400172782757862,-2.631454531334582,-2.3856730570136055,220,318.93076395243065,270,249.1566660930238,0.09905881817136394,1040,45.21739130434783,-0.04964123671424046,-0.12379695873215844,17.391304347826086,6,-1768.1298225434007,-12874.883708144476,-12696.030504713564
E1 a=0.3 s=-0.3,B0,,1688,0.006708627730647837,-0.08117463438202398,-0.016231909472125113,0.06494272490989887,0.334459740105471,0.3125948129572308,256,402.4911952283488,623,420.86568547921377,0.05620280304992007,1893,35.716981132075475,-0.03066314907367106,-0.09591071708715453,30.18867924528302,9,-1887.7279020557216,-18155.898744598348,-18973.44001703193,814,0.003659555044531621,-0.08381191538546164,-0.02026667357838714,0.06354524180707449,0.12309230036887871,0.11428004553877275,126,203.74755879990252,311,210.4597973012801,0.08330393699726592,874,0.009548381925726325,-0.0787184024177239,-0.012474131460114484,0.06624427095760943,0.35221895248792395,0.33196885653061964,130,198.74363642844622,312,210.40588817793366,0.07596004123827625,820,-0.09668997177104251,-0.14702997684322328,-0.07560419779766785,0.07142577904555544,-3.1739421051751293,-3.1967898262567744,158,246.826704661807,256,171.93877617281947,0.08535924472620846,974,42.34782608695652,-0.0658720889456903,-0.13820359760621623,26.08695652173913,6,-1914.8857274652007,-13461.030406845459,-13682.40924037961
E1 a=0.5 s=-0.1,B0,,1688,0.005294090662282972,-0.08258917145038883,-0.017467334021264613,0.06512183742912421,0.26529428011914813,0.2515341952076544,252,388.1967054053399,476,404.4857990172575,0.05591542354043468,1875,35.37735849056604,-0.022771269869645047,-0.08787472925658016,35.84905660377358,7,-1891.3858802591176,-16476.511735608776,-18217.43802988262,814,0.00018146453180455617,-0.08729000589818871,-0.02332089989185815,0.06396910600633053,0.0060664352465742265,0.005860351374992611,127,201.37394588494334,242,205.60004416715554,0.08381588155968543,874,0.010055735593872715,-0.0782110487495775,-0.012015614777942954,0.06619543397163456,0.37735653539797703,0.35137546969932265,125,186.8227595203966,234,198.885754850102,0.07466724037074249,820,-0.07457137698690508,-0.12491138205908585,-0.0536047883032319,0.07130659375585394,-2.614001395876384,-2.5300827267273194,155,214.96664343676935,187,158.11823073321932,0.07993453968575816,963,41.869565217391305,-0.05689803919088942,-0.12847320284006836,30.434782608695656,4,-1866.6247331875797,-12371.96943349858,-12517.582322660804
E2 a=0.4 s=-0.2 N=6,B0,,1688,-0.0003670207390721246,-0.08825028285174391,-0.024956458243554865,0.06329382460818905,-0.022857362939673515,-0.021784586942971855,144,249.73512056177194,327,253.38257248646352,0.044991721643230925,1839,34.698113207547166,-0.04183691356348324,-0.10548782260196116,41.509433962264154,7,-2264.4455303886193,-19399.210576500656,-19722.47904986033,814,-0.004037992554898814,-0.09150946298489206,-0.029701051949827285,0.06180841103506478,-0.16891692438466216,-0.16332561114590027,73,129.02389108249932,166,128.05654558952463,0.06698236532569642,874,0.00305193928161772,-0.08521484506183251,-0.020537580352358347,0.06467726470947414,0.14129046615659044,0.13283861444131512,71,120.71122947927262,161,125.32602689693888,0.06052449326351076,820,-0.05362108412507081,-0.10396108919725157,-0.034622555693962886,0.06933853350328868,-2.253916848630459,-2.265839566375766,91,146.50895466578552,136,105.22597270183604,0.06666008012218469,931,40.47826086956522,-0.02359743174016676,-0.09317662082465358,30.434782608695656,4,-1547.002732512999,-8674.743398775248,-9573.658459309741
E2 a=0.4 s=-0.2 N=10,B0,,1688,0.00652775379903327,-0.08135550831363852,-0.0174945414431318,0.06386096687050671,0.3690502156102574,0.34062717321733643,177,300.9990927073657,408,317.2422601911714,0.049561727296773994,1866,35.20754716981132,-0.03389114910505366,-0.09800172962309876,33.9622641509434,9,-2011.110661720411,-18287.12274767023,-19696.011303196105,814,0.006719784781860294,-0.08075168564813295,-0.018386201967301476,0.062365483680831474,0.25692255939786274,0.240144178119735,86,151.55892309795237,206,159.80186549075364,0.07328603997601768,874,0.0063489057212058105,-0.08191787862224441,-0.01666409331192574,0.06525378531031867,0.26492056040439627,0.24156829105504776,91,149.4401696094134,202,157.4403947004178,0.06715082364186131,820,-0.05967243633245883,-0.11001244140463957,-0.04011868447040987,0.06989375693422972,-2.2932269012051996,-2.189012294266778,108,173.90703717613138,166,128.1172296154954,0.07291130525098802,942,40.95652173913044,-0.028601672528466612,-0.09892057481977984,21.73913043478261,9,-1546.316182182934,-9318.318148023258,-10105.588602526805
E2 a=0.4 s=+0.0 N=6,B0,,1688,-0.009733775859257025,-0.09761703797192882,-0.03330010780223958,0.06431693016968924,-0.5262822726015287,-0.5044000946025281,198,329.2995666563012,332,318.86293812593294,0.051823976176922366,1871,35.301886792452834,-0.03949808190134553,-0.10408510930977931,37.735849056603776,7,-2277.3206710305203,-19474.323951859707,-20215.208929156153,814,-0.013132100821531633,-0.10060357125152487,-0.037769416107773325,0.06283415514375155,-0.4781506216500747,-0.4480365711309679,99,168.8340028235266,168,161.2990089059838,0.07695513680385882,874,-0.006568745516818205,-0.09483552986026844,-0.029137617000518222,0.06569791285975021,-0.26328869864119314,-0.2589773560459383,99,160.4655638327746,164,157.5639292199491,0.06990662733764957,820,-0.043999917808566,-0.09433992288074676,-0.0242576273787183,0.07008229550202848,-1.714220102225278,-1.7267917489864055,109,164.57720549051655,140,131.79346474506764,0.07192061832640895,964,41.91304347826087,-0.018239777587327095,-0.08888949071163206,30.434782608695656,6,-1855.1550530865268,-8568.94690460133,-9063.635342338886
E2 a=0.4 s=+0.0 N=10,B0,,1688,-0.0004431759367009958,-0.08832643804937279,-0.023295159321668736,0.06503127872770406,-0.021806771699066252,-0.020338069034411363,240,392.7507025324161,415,399.2024270372515,0.056944649660791484,1902,35.886792452830186,-0.03367153710567143,-0.0986436398162855,35.84905660377358,7,-2002.8710702879307,-18762.020293057503,-20038.844081322677,814,-2.4684500735769844e-05,-0.08749615493072903,-0.02400592634163479,0.06349022858909421,-0.0008229962229300089,-0.0007672234712555854,117,197.4201617441464,208,201.0886484962404,0.08404166281029127,874,-0.0008329379834695203,-0.08909972232691975,-0.02263318637629987,0.06646653595061988,-0.030190181259782664,-0.028185615399730024,123,195.33054078826973,207,198.11377854101102,0.07730633379106772,820,-0.04513761683805821,-0.09547762191023898,-0.024750665506814006,0.07072695640342498,-1.616170648220289,-1.5492057441478386,129,193.53999656836663,171,160.35196455787923,0.07825634163045393,977,42.47826086956522,-0.02593051656631038,-0.09722804406745077,21.73913043478261,6,-1495.2955743010311,-9499.17990538994,-9835.842383008576
E3 a=0.4 d=0.3,B0,,1688,0.021510242442806644,-0.06637301966986515,0.005353583862073198,0.07172660353193835,0.7886736009308581,0.6786417936007569,547,692.7395736537874,620,747.550376652779,0.07642160109531568,2023,38.16981132075472,-0.009000284752741474,-0.08111201480155235,30.18867924528302,10,-1406.4399645252743,-16408.96059435404,-16408.960594354037,814,0.028428698087815025,-0.05904277234217822,0.010759840616728198,0.06980261295890643,0.7142778908067663,0.5903377362023636,259,339.7345101200044,308,371.70233117620586,0.11152131833744157,874,0.01506673798624277,-0.07320004635720746,0.0003184660150604109,0.07351851237226785,0.4023589929097948,0.3615075943426252,288,353.00506353378296,312,375.84804547657325,0.10492371385102085,820,-0.05455107972593714,-0.10489108479811793,-0.02684433280643724,0.07804675199168067,-1.4466270441539302,-1.2188759210972009,285,345.49082931454177,268,310.5859901183633,0.1056610451254715,1076,46.78260869565217,-0.0011547616535072715,-0.07891767040846925,21.73913043478261,8,-1326.3416672806927,-8491.541335951293,-9032.567416279886
E3 a=0.4 d=0.4,B0,,1688,0.021926513547553726,-0.06595674856511807,0.005097135404382269,0.07105388396950034,0.8278279706916682,0.7271630280849801,515,658.5236438214779,619,712.9015618238874,0.0742160124269692,2006,37.84905660377358,-0.011056959361769609,-0.08254598973999445,32.075471698113205,8,-1487.586229998491,-16558.725541842887,-16558.72554184289,814,0.03271679419251655,-0.054754676237476686,0.014431025189186913,0.06918570142666361,0.8502556985662975,0.6968283030586995,246,319.35236297082156,306,354.30852826900446,0.10781751593315943,874,0.011876984434281725,-0.0763897999091685,-0.003595983914646317,0.07279381599452218,0.3251989783149869,0.30857192403769806,269,339.17128085065633,313,358.59303355488294,0.10233522429035168,820,-0.054451070705308725,-0.1047910757774895,-0.02738045836926394,0.07741061740822555,-1.4671628973764101,-1.2316832176340387,271,335.2769101394806,265,299.9324479817843,0.10399111127271897,1061,46.130434782608695,-0.022443638413662287,-0.09970358567927151,21.73913043478261,8,-1641.7758857349843,-10578.550440570705,-10559.509839136635
