mode,picks,fills,total,mdd,red,worst,e25,e2026
frozen,1064,60,5669,-551,6,-185,3026,2643
20w_zc,1095,70,6377,-133,4,-133,2960,3417
26w_zc,1095,70,7641,-223,4,-223,4271,3370
39w_zc,1095,63,6735,-223,2,-223,3503,3232
