mode,picks,fills,total,mdd,red,worst,e25,e2026
frozen,1074,60,5669,-551,6,-185,3026,2643
26w_zc,1107,71,7588,-223,4,-223,4228,3359
26w_m,1074,60,4758,-603,7,-412,3561,1197
expanding_zc,1108,68,7733,-223,3,-223,3577,4156
expanding_m,1074,60,10491,-347,6,-277,3473,7017
