mode,picks,fills,total,mdd,red,worst,e25,e2026
frozen,1074,60,5669,-551,6,-185,3026,2643
20w_zc,1105,70,6279,-131,5,-131,2824,3455
26w_zc,1107,71,7588,-223,4,-223,4228,3359
39w_zc,1108,65,6834,-223,2,-223,3577,3257
52w_zc,1108,67,6989,-223,2,-223,3577,3412
expanding_zc,1108,68,7733,-223,3,-223,3577,4156
