mode,picks,fills,total,mdd,red,worst,e25,e2026
frozen,1074,60,5669,-551,6,-185,3026,2643
8w,1101,68,4368,-1254,7,-612,2615,1753
13w,1104,66,5834,-518,3,-518,3884,1950
26w,1107,71,8135,-106,3,-106,4928,3207
expanding,1108,68,11041,-161,4,-161,3766,7275
