mode,picks,fills,total,mdd,red,worst,e25,e2026
frozen,1070,60,5669,-551,6,-185,3026,2643
20w_zc,1100,69,6227,-136,5,-136,3262,2965
26w_zc,1102,72,7146,-223,3,-223,3862,3284
39w_zc,1101,65,6894,-223,2,-223,3664,3229
