cell,split,n,per_wk,gross,cost,net,clust_t,green,null_p95,worst,total,wk_dollar,mdd,ex5,h1,h2,imputed,mde,note
S 10:30 rng<=3%,TRAIN,23,0.4339622641509434,0.39548270335697233,0.3039956584869157,0.09148704487005664,0.18923532450816602,7.547169811320755,11.320754716981133,-186.89327175055274,210.4202032011302,3.9701925132288713,-403.2987970943768,-0.07510850421976344,-0.02680687678935946,0.5173451628439546,100.0,0.9665616685004356,executable
S 11:00 rng<=2%,TRAIN,66,1.2452830188679245,0.3870130912974083,0.26872749014502423,0.11828560115238416,0.11037522026725158,3.7735849056603774,3.7735849056603774,0.0,780.6849676057352,14.729905049164815,0.0,0.007927086759973402,0.03914324673646429,1.7802750438867012,100.0,0.5527288033665855,executable
S 11:00 rng<=3%,TRAIN,92,1.7358490566037736,0.21216683181041415,0.25893595106022504,-0.046769119249810934,-0.049056152611662074,5.660377358490567,7.547169811320755,-1220.408026499724,-430.2758970982603,-8.118413152797364,-1517.3551167875482,-0.156130656858478,-0.1570740248061245,1.2926475910768542,100.0,0.45681435854370683,executable
S 12:00 rng<=2%,TRAIN,53,1.0,0.0645181419969625,0.28355057272912326,-0.2190324307321607,-0.20788152485490974,1.8867924528301887,1.8867924528301887,-1334.9790135357164,-1160.871882880452,-21.903243073216075,-1334.9790135357164,-0.3434974476445733,-0.2190324307321607,,100.0,0.6122352977716176,executable
S 12:00 rng<=3%,TRAIN,83,1.5660377358490567,0.15885548417647477,0.26100046150079226,-0.10214497732431747,-0.09668825015987575,3.7735849056603774,5.660377358490567,-1052.9839137220324,-847.8033117918355,-15.996288901732745,-1052.9839137220324,-0.2287149809018362,-0.0851150326124051,-1.4986004437011333,100.0,0.49036810727564883,executable
S* 10:30 rng<=2%,TRAIN,32,0.6037735849056604,0.46161446833349085,0.3271979152533845,0.1344165530801063,0.26850110434099184,13.20754716981132,16.9811320754717,-310.59164343197307,430.13296985634,8.115716412383774,-596.2335271651424,0.02190731195430827,-0.058547778288656795,0.3825135505542302,100.0,0.8230166373496204,DIAGNOSTIC no-borrow
S* 10:30 rng<=2%,VAL,8,0.34782608695652173,0.41224984820936467,0.38540025421654694,0.026849593992817722,0.03893174233379715,13.043478260869565,17.391304347826086,-192.64506362889796,21.479675194254213,0.9338989214893136,-192.64506362889796,,,0.026849593992817722,100.0,1.8490800602467004,DIAGNOSTIC no-borrow
S* 10:30 rng<=3%,TRAIN,133,2.509433962264151,0.35979001673439254,0.311967595964678,0.047822420769714505,0.20396511267119768,33.9622641509434,45.28301886792453,-849.4553166503858,636.0381962372028,12.000720683720807,-1633.9354265312863,-0.053650128405874006,-0.14364124114466018,0.26055982289679747,100.0,0.3970009555175356,DIAGNOSTIC no-borrow
S* 10:30 rng<=3%,VAL,48,2.0869565217391304,0.7108680370698414,0.28133991456071733,0.4295281225091239,1.3690016513918275,43.47826086956522,60.86956521739131,-628.6051303534639,2061.7349880437946,89.64065165407803,-945.7476428667796,0.3330058805783623,,0.4295281225091239,100.0,0.6439665499226855,DIAGNOSTIC no-borrow
S* 11:00 rng<=2%,TRAIN,97,1.830188679245283,0.45336351065010483,0.26339610145153675,0.1899674091985681,0.18726785528845946,7.547169811320755,9.433962264150944,-136.61370195421318,1842.683869226111,34.767620174077564,-136.61370195421318,0.0983285235318939,0.003406037055143967,1.8130513468463583,100.0,0.4594276010482312,DIAGNOSTIC no-borrow
S* 11:00 rng<=2%,VAL,5,0.21739130434782608,0.6972567619047652,0.22598888349929974,0.4712678784054655,0.5825521953853607,8.695652173913043,13.043478260869565,-153.38011699937132,235.6339392027328,10.244953878379686,-297.264597160021,,,0.4712678784054655,100.0,2.23905426260545,DIAGNOSTIC no-borrow
S* 11:00 rng<=3%,TRAIN,182,3.4339622641509435,0.26687134262224743,0.24398084836733547,0.022890494254911953,0.03175928755439334,22.641509433962266,33.9622641509434,-1328.371808204503,416.60699543939825,7.860509347913174,-1913.0035304380772,-0.08604674771885323,-0.08705193083254453,0.5014634034591341,100.0,0.3253171358481778,DIAGNOSTIC no-borrow
S* 11:00 rng<=3%,VAL,21,0.9130434782608695,0.4584631512518144,0.23476625750226804,0.22369689374954632,0.6977987094680439,30.434782608695656,39.130434782608695,-237.48062510071927,469.76347687404734,20.4244989945238,-539.5919474015088,0.04612579210325631,,0.22369689374954632,100.0,1.0302869203942195,DIAGNOSTIC no-borrow
S* 12:00 rng<=2%,TRAIN,75,1.4150943396226414,0.09648728250764874,0.2819523308432402,-0.1854650483355915,-0.18401108797631274,5.660377358490567,5.660377358490567,-1979.6194645408953,-1390.9878625169356,-26.245054009753503,-1979.6194645408953,-0.30067214529388286,-0.2686488654661134,1.8109465627969337,100.0,0.5153811615736063,DIAGNOSTIC no-borrow
S* 12:00 rng<=3%,TRAIN,140,2.641509433962264,0.12381259306536414,0.25682057298008587,-0.13300797991472169,-0.15152666489129088,15.09433962264151,18.867924528301888,-2344.1021864200598,-1862.1117188061037,-35.13418337370007,-2466.2585198427746,-0.2397052026833155,-0.1576741383860698,0.10796141438229444,100.0,0.3757605832556668,DIAGNOSTIC no-borrow
S* 12:00 rng<=3%,VAL,8,0.34782608695652173,-0.502081892479211,0.33791087347548765,-0.8399927659546986,-2.710636275285358,4.3478260869565215,8.695652173913043,-309.28280051727063,-671.9942127637589,-29.217139685380822,-745.172850363642,,,-0.8399927659546986,100.0,1.3530170400636257,DIAGNOSTIC no-borrow
S* booked 11:00 rng<=2%,TRAIN,18,0.33962264150943394,1.1470269769092745,0.23273986047699483,0.9142871164322798,1.4920851237481307,7.547169811320755,9.433962264150944,-136.61370195421318,1645.7168095781035,31.051260558077423,-136.61370195421318,,0.023828683161486824,1.8047455497030727,100.0,0.9674990667838808,"12/day, 4 conc, DIAGNOSTIC no-borrow"
