obj,split,n,R,pct,stop_med,stop_p25,stop_p75,R_alt,note
O1 HOD B2 gross,TRAIN,1622,-0.03895918684147366,-0.12488421646732853,3.1656046385076095,1.7119113359071187,4.920108855931636,,
O1 HOD B2 net,TRAIN,1622,-0.10693921533680749,-0.36806579537312434,3.1656046385076095,1.7119113359071187,4.920108855931636,,
O1 HOD B2 gross,VAL,706,0.08272033029467893,0.3426379547863151,3.7189192395061186,2.0381537659300744,5.326332859888586,,
O1 HOD B2 net,VAL,706,0.012650779374544391,0.07204382276034843,3.7189192395061186,2.0381537659300744,5.326332859888586,,
O2 pond bound G3,TRAIN,14706,-0.003392542050614095,-0.04866866242110833,4.29113726823326,2.986065029860653,6.0311284046692535,,"arm u, pass 9"
O2 pond bound X0,TRAIN,14706,-0.05944634435869426,-0.2452624348841613,4.29113726823326,2.986065029860653,6.0311284046692535,,"arm u, pass 9"
O2 pond bound G3,VAL,7922,0.07222766382780149,0.21977546454780328,3.898536585365849,2.828467153284676,5.765699596033787,,"arm u, pass 9"
O2 pond bound X0,VAL,7922,0.008469744295915842,-0.0029544889192690666,3.898536585365849,2.828467153284676,5.765699596033787,,"arm u, pass 9"
O8 stop 0-1.5%,TR+VA,810,0.3161549217170915,0.38758595864884693,1.2585034013605356,1.1604439959636752,1.3681852128454155,,"G3, arm u"
O8 stop 1.5-3%,TR+VA,5307,0.023976728673805032,0.03484739848438689,2.5145067698259167,2.2182773246804266,2.776025236593057,,"G3, arm u"
O8 stop 3-6%,TR+VA,10954,0.010389772061374047,0.023437707174588394,4.241881177365038,3.608857803698482,5.011261261261264,,"G3, arm u"
O8 stop >=6%,TR+VA,5557,0.004527133457709871,0.048537604090377925,7.71898197242842,6.799999999999998,9.76514215080346,,"G3, arm u"
O3 margin G3,TRAIN,1605,0.1829128132998339,0.614798364980517,3.1648559282002915,1.7155994550408666,4.92690694339107,,"paired, sig - own controls"
O3 margin X0,TRAIN,1605,0.12282434254740798,0.5019609752448543,3.1648559282002915,1.7155994550408666,4.92690694339107,,"paired, sig - own controls"
O3 margin G3,VAL,705,0.2452033368579443,1.092280305056484,3.72290292177191,2.028614136237446,5.333733613529483,,"paired, sig - own controls"
O3 margin X0,VAL,705,0.2400480083908385,0.9956779109768119,3.72290292177191,2.028614136237446,5.333733613529483,,"paired, sig - own controls"
O4 margin wrapper,TRAIN,621,0.3935687382314755,1.2630126162281707,2.606088560885615,1.5764820687972685,4.44394819115677,,G3
O4 margin wrapper,VAL,276,0.3565802028886404,1.7766770574523005,3.526421389016119,2.3460903634305,5.300598139829319,,G3
O4 margin stock,TRAIN,976,0.04136990291829978,0.18999068348877404,3.5513778180163493,1.89728207749667,5.157648160721358,,G3
O4 margin stock,VAL,427,0.17450493430756736,0.6543410284024769,3.7817360095706487,1.8758106837072295,5.341677253268532,,G3
O5 ORB book_G3,TRAIN,210,0.23477080169431222,0.9308005714027865,4.185666359510453,3.5098054715908997,5.521431110659694,,fills only; stop% = range_size_pct
O5 ORB book_G3,VAL,140,0.18872751216501876,0.9187682580328909,4.123724988893763,3.492024173885979,5.404272271781349,,fills only; stop% = range_size_pct
O6 BF P1,TRAIN,34,0.9117300655883264,3.6288235294117643,3.6256754783116634,3.0991735537189973,4.552750334538628,1.6511841176470592,R_price = pnl_pct/stop%
O6 BF P1,VAL,15,0.5555210176809248,2.3946666666666667,3.841229193341867,3.2294502693622187,4.477267414679752,0.8926986666666668,R_price = pnl_pct/stop%
O7 mirror S-base,TRAIN,21857,0.12585902177064653,0.4567153956108715,3.1042901161412644,1.698797108065181,4.878048780487803,,"gross, short R"
O7 mirror S-base,VAL,9582,0.09406903507010257,0.33640351671563873,3.51401869158879,1.8145833333333232,5.103969754253317,,"gross, short R"
O7 mirror S-nm3,TRAIN,9329,0.18693504127477334,0.6279464524395612,4.207957426719141,2.6808549506759247,5.529075309818871,,"gross, short R"
O7 mirror S-nm3,VAL,4150,0.12844426816402654,0.4208860088794657,4.438526409232135,3.112259598662143,5.95171252105558,,"gross, short R"
