symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry
WYHG,2025-01-10,10:42:00,4.52,4.37,4.77,2192,10:44:00,4.51,pp+stop,81.19,0.82,True,4.61,1096,96.05,34.02,109600,8.05,-2.19,False,-0.14,2,7.61,6.82,3.00,1.00,0.30,0.30,0.30,0.30,0.20,3.600,1.272,0.20,0.00,23.52,17.680,1.272,
CTEV,2025-01-13,09:36:00,14.82,14.45,15.22,7788,09:38:00,14.41,stop,-3219.17,-2.79,False,,0,0.00,19.2,194708,4.28,5.53,False,0.02,2,15.40,5.55,2.30,2.00,0.00,0.30,0.30,0.30,0.20,2.300,1.356,0.20,0.00,15.40,0.568,1.356,
CPIX,2025-02-05,09:39:00,4.44,4.24,4.88,20000,09:43:00,4.67,pp+trail_stop,3720.60,4.19,True,4.59,10000,1462.00,67.45,1357654,5.40,6.12,False,-0.01,3,14.58,5.59,1.50,2.00,0.00,0.00,0.00,0.30,0.00,1.500,1.328,0.20,0.00,16.62,1.392,1.328,
JG,2025-02-10,09:37:00,12.86,12.49,13.61,15552,09:42:00,13.36,pp+trail_stop,6997.65,3.50,True,13.26,10000,4001.00,49.48,2271962,3.26,4.68,False,-0.06,3,10.67,3.61,1.70,2.00,0.00,0.30,0.00,0.00,0.20,1.700,0.983,0.20,0.00,15.83,0.727,0.983,
ASYS,2025-02-14,09:43:00,5.71,5.48,6.02,1468,09:46:00,5.69,pp+stop,3.76,0.04,True,5.73,734,16.33,18.45,36732,4.32,4.90,False,0.05,3,5.83,5.47,2.00,2.00,0.30,0.00,0.30,0.00,0.20,2.000,0.899,0.20,0.00,15.88,8.823,0.899,
CNVS,2025-02-14,09:59:00,4.2,4.09,4.39,5245,10:01:00,4.08,stop,-641.31,-2.91,False,,0,0.00,28.15,145734,0.17,2.68,False,0.05,3,6.89,0.84,1.90,1.80,0.30,0.30,0.30,0.00,0.00,1.900,0.899,0.00,0.00,28.42,1.211,0.899,
INLF,2025-02-14,09:46:00,10.36,9.90,11.39,11638,10:12:00,11.36,pp+trail_stop,9007.78,7.47,True,10.91,5819,3184.04,288.89,292884,8.51,-2.89,False,0.05,2,7.49,5.76,1.20,2.00,0.30,-0.30,0.00,0.00,0.00,1.200,0.899,0.20,0.00,17.83,2.610,0.899,
FLD,2025-02-19,10:20:00,12.16,11.76,13.01,13529,10:23:00,12.12,pp+stop,1799.32,1.09,True,12.46,6764,2046.11,36.59,127864,3.19,-6.76,False,-0.02,3,13.74,3.64,2.30,1.00,0.00,0.30,0.30,-0.50,0.00,2.300,0.648,0.20,0.00,36.59,1.216,0.648,
INSG,2025-02-20,09:49:00,9.5,9.18,10.17,2293,09:53:00,9.47,pp+stop,299.70,1.38,True,9.79,1146,332.39,43.49,114681,1.25,-8.63,False,0.00,3,7.88,1.74,2.10,1.00,0.30,0.00,0.30,-0.50,0.00,2.100,0.476,0.00,0.00,23.29,1.380,0.476,
RPID,2025-02-24,10:31:00,3.04,2.99,3.13,18000,10:38:00,3.03,pp+stop,15.30,0.03,True,3.05,9000,97.38,20.41,583313,5.03,-1.56,False,0.02,2,7.36,5.54,3.00,1.80,0.30,0.30,0.30,0.00,0.20,3.300,1.059,0.20,0.00,20.41,2.142,1.059,
LE,2025-02-25,09:02:00,13.04,12.49,14.24,3228,09:58:00,13.0,pp+stop,758.76,1.80,True,13.55,1614,821.90,11.6,80719,7.98,0.89,False,0.00,2,8.23,7.62,2.30,2.00,0.30,0.00,0.30,0.30,0.20,2.300,1.224,0.20,0.00,15.38,1.486,1.224,
MSW,2025-02-27,09:47:00,5.09,4.80,5.59,16824,10:04:00,4.79,stop,-5121.23,-5.98,False,,0,0.00,24.41,420612,3.39,7.20,False,0.05,2,5.78,5.14,1.80,2.00,0.30,-0.30,0.30,0.30,0.00,1.800,1.271,0.20,0.00,17.78,0.147,1.271,
PMA,2025-02-27,09:47:00,5.09,4.80,5.59,16824,10:04:00,4.79,stop,-5121.23,-5.98,False,,0,0.00,24.41,420612,3.39,7.20,False,0.05,2,5.78,5.14,1.80,2.00,0.30,-0.30,0.30,0.30,0.00,1.800,1.271,0.20,0.00,17.78,0.147,1.271,
PCLA,2025-02-28,10:10:00,5.28,5.12,5.60,18000,10:16:00,5.1,stop,-3156.48,-3.32,False,,0,0.00,30.12,1782161,1.12,9.95,False,,2,5.00,1.62,1.90,1.80,0.30,0.00,0.30,0.30,0.00,1.900,1.668,0.00,0.00,41.89,0.393,1.668,
STAK,2025-02-28,10:16:00,3.52,3.41,3.62,18000,10:40:00,3.59,pp+trail_stop,393.16,0.62,True,3.49,9000,-274.50,44.6,869210,6.86,-0.83,False,,2,8.44,8.75,3.00,1.80,0.30,0.30,0.30,0.30,0.00,3.400,1.668,0.20,0.00,29.50,1.195,1.668,
MAXN,2025-03-04,10:04:00,3.22,3.10,3.47,10620,11:16:00,3.21,pp+stop,215.05,0.63,True,3.27,5310,266.35,26.49,295043,9.16,0.29,False,,3,6.73,9.53,2.10,1.80,0.30,0.00,0.30,0.30,0.00,2.100,2.468,0.20,0.00,28.73,2.319,2.468,
SCOR,2025-03-05,09:53:00,7.19,6.99,7.59,736,10:11:00,6.97,stop,-162.63,-3.07,False,,0,0.00,12.31,20471,7.10,10.68,False,,2,5.58,6.51,2.30,1.80,0.30,0.00,0.30,0.30,0.20,2.300,2.471,0.20,0.00,25.26,5.007,2.471,
KLXE,2025-03-07,09:52:00,5.27,5.03,5.79,6265,09:55:00,5.01,stop,-1598.14,-4.84,False,,0,0.00,29.02,174056,7.26,-0.49,False,,2,6.50,6.00,2.50,1.80,0.30,-0.30,0.00,0.30,0.00,2.500,2.040,0.20,0.00,27.80,2.459,2.040,
EWCZ,2025-03-11,09:56:00,4.13,3.97,4.48,15233,12:28:00,4.4,pp+trail_stop,2882.21,4.58,True,4.24,7616,854.78,67.26,423153,8.44,-46.77,False,,2,49.63,6.14,3.00,1.80,0.00,0.30,0.30,0.30,0.20,3.300,2.118,0.20,0.00,51.08,3.756,2.118,
