symbol,date,close_raw,close_adj,cum_factor,rel_err,ohlc_err,last_f
RZV,2018-10-19,70.4002,63.76,0.90568002563578,8.864449708380627e-07,1.20436125e-05,1.0
THC,2017-05-01,15.35,15.35,1.0,0.0,0.0,1.0
PNRG,2016-12-21,49.5,49.5,1.0,0.0,0.0,1.0
SM,2021-06-16,22.48,20.32,0.9039139097385341,7.587441511783235e-07,0.0003078106,1.0
HSCS,2024-08-09,3.25,3.25,1.0,0.0,0.0,1.0
COLD,2020-06-16,36.28,28.69,0.7907936257329243,3.052558804760192e-07,5.6906745e-05,1.0
GLXG,2026-09-03,1.03,1.03,1.0,0.0,0.0,1.0
FWONK,2017-03-16,34.3,33.72,0.9830920548814243,1.6462540926723177e-06,0.00015897151,1.0
GDIV,2024-06-27,14.4,13.99,0.9715288846343866,1.1291642889701437e-06,0.00012264156,1.0
CFA,2016-05-19,36.35,31.51,0.866849217866767,1.0308515250298926e-06,4.21499e-05,1.0
IBKR,2018-05-18,77.6,18.42,0.23737292091548984,7.504046968531735e-06,0.00027282358,1.0
LB,2021-12-09,79.92,78.93,0.987610904632717,1.7561801354149422e-06,0.0,1.0
SIGI,2022-05-31,79.3,74.1,0.9344236312007325,2.721569130115098e-06,6.6147564e-05,1.0
CDLX,2019-07-23,28.25,282.5,10.000467631103009,4.676311030086246e-05,0.0,1.0
AOD,2018-10-26,7.87,3.743,0.4755993691965188,8.829647003543747e-06,0.00012294305,1.0
ATTO,2022-04-28,24.95,24.95,1.0,0.0,0.0,1.0
SRG,2026-04-29,2.55,2.55,1.0,0.0,0.0,1.0
TECL,2018-04-16,120.89,10.99,0.0909107974446533,1.8787669037945482e-05,0.000497967,1.0
NFG,2022-11-18,63.84,56.68,0.8878423474921849,2.553031050251116e-06,4.820228e-05,1.0
PJUL,2026-07-20,48.7,48.7,1.0,0.0,0.0,1.0
ATRO,2024-12-18,15.7,13.02,0.8292991725291793,2.770531255656438e-07,0.00039551983,1.0
UNL,2019-06-05,9.437,9.437,1.0,0.0,0.0,1.0
RFDA,2020-06-01,31.83,27.43,0.8617646493876928,1.1513274732472893e-06,0.00017540428,1.0
GMOI,2025-11-28,32.5,32.04,0.9858463608071967,1.8135787705992462e-07,4.8731075e-05,1.0
TSCO,2016-01-12,84.66,14.27,0.1685586022604928,1.2013096299020958e-05,0.00032806915,1.0
RHI,2024-08-21,62.7,54.71,0.8725672206199859,6.157171292842849e-07,5.806305e-05,1.0
MSEX,2023-08-08,80.97,74.99,0.9261463174613481,9.41347213506454e-07,0.000104581355,1.0
MCI,2019-03-20,15.82,8.811,0.5569518187771367,2.5272062790530155e-06,2.9965353e-05,1.0
CPOP,2024-12-24,1.0899,163.49,150.00644972234085,1.2395724237524911e-05,3.0618365e-05,1.0
BNY,2018-04-19,55.24,30.3,0.5485115096252962,7.3440497173015795e-06,0.00021233213,1.0
HYGH,2020-06-08,83.53,55.81,0.6681367528331678,9.66179394128382e-06,0.0,1.0
ENVA,2021-12-30,40.55,40.55,1.0,0.0,0.0,1.0
BNGO,2019-10-21,1.08,648.0,600.0023402366925,3.94013107235182e-06,0.0,1.0
SINT,2021-11-03,1.26,25200.0,20000.01213287487,5.990748950497372e-07,0.0,1.0
CLOX,2025-10-17,25.4947,24.4,0.9570614713733788,2.0589141642711732e-07,0.00030678534,1.0
IHG,2018-07-20,65.38,57.35,0.8771781447109989,1.6352599863088157e-06,7.929804e-05,1.0
EWW,2018-05-25,46.0,36.28,0.7886916004027298,5.10365979967487e-06,0.00016996525,1.0
ENSG,2016-12-23,22.74,21.95,0.9652579282010048,1.6262677617135292e-06,0.00037599495,1.0
EQLT,2017-07-28,33.9099,31.55,0.93040568335681,1.1073222513373064e-06,0.00013542919,1.0
TRVG,2021-03-26,4.37,10.31,2.3592612689680648,2.807392929499487e-06,0.0002778034,1.0
KBA,2016-12-20,26.93,17.97,0.6672819391841393,5.369365109831188e-06,0.00019168941,1.0
ABT,2017-10-25,55.49,47.33,0.8529420910579186,5.150361427687732e-06,0.00015415721,1.0
PBA,2016-10-07,30.1,16.97,0.563783845050714,6.2087369355067995e-06,0.0004266934,1.0
PDI,2017-04-03,28.89,9.205,0.3186218476487198,1.6229881591640795e-06,8.8390516e-05,1.0
VALQ,2018-08-30,41.8399,35.17,0.8405819998806269,3.7115836313900436e-06,0.0,1.0
YCS,2017-10-20,75.605,18.9,0.249982475896326,3.898900289116567e-06,0.00033112572,1.0
ELTK,2021-08-19,5.94,5.605,0.943603631633302,1.0003250207977118e-06,4.636465e-05,1.0
QTUM,2022-09-21,38.3562,37.1,0.9672473170890602,1.7735013326342481e-06,7.715181e-05,1.0
AIVC,2021-11-23,51.0317,50.84,0.9962434173127823,9.479807710242292e-08,7.8077355e-05,1.0
LTC,2019-03-12,44.79,28.23,0.6302718975207792,4.274716664184675e-06,0.00021836058,1.0
XOP,2019-05-07,29.44,99.4,3.376375227875444,4.8992549859015255e-06,7.449789e-05,1.0
LFWD,2016-11-23,2.65,5565.0,2100.0839302985155,4.000279796526152e-05,0.0,1.0
SMDV,2023-06-12,60.4,55.29,0.9153941965477232,3.4372809009829892e-06,5.6518442e-05,1.0
AGGM,2017-10-02,114.15,89.59,0.7848407498009174,4.727654439891678e-06,8.726027e-05,1.0
LCII,2022-08-30,120.57,101.72,0.84365626645303,3.592527726734122e-06,3.8998875e-05,1.0
ZSTK,2024-08-19,0.9306,36.29,38.99665026800362,7.752457408799137e-06,9.361556e-05,1.0
GIAX,2024-12-09,19.74,12.78,0.6474157623715413,9.962393537502535e-07,0.00033300053,1.0
TXG,2023-05-08,54.48,54.48,1.0,0.0,0.0,1.0
QSR,2017-12-29,61.48,46.31,0.7532504519062649,3.5399460090810192e-06,0.0001311178,1.0
AIA,2020-05-22,57.65,50.61,0.8778823121633915,1.6592489414843706e-06,6.619843e-05,1.0
FUSB,2020-12-01,8.6,7.73,0.8988352676640677,2.1182773634932127e-06,5.066318e-05,1.0
CNSP,2021-07-06,1.82,1.638e+06,900003.1836705506,3.5662316530715487e-06,0.0,1.0
UWM,2025-09-15,45.44,44.96,0.9894366475498108,1.8269713200422916e-08,6.307232e-05,1.0
LAD,2026-03-03,271.96,270.36,0.9941164192956724,3.4196835174689474e-07,2.7820228e-05,1.0
VCLN,2021-10-29,28.208,26.65,0.9447646381576905,2.946806292352479e-06,0.00017368463,1.0
EFFE,2026-05-15,26.6411,26.6411,1.0,0.0,0.0,1.0
WK,2021-01-08,95.34,95.34,1.0,0.0,0.0,1.0
INKM,2016-02-24,28.985,18.6,0.6417095897394559,2.5554409770309692e-06,0.000388812,1.0
IFRX,2018-01-29,22.84,22.84,1.0,0.0,0.0,1.0
AB,2019-05-22,28.66,15.39,0.5369835989785244,3.2799567454600423e-06,0.0004665273,1.0
IBLC,2023-04-14,18.4877,16.8,0.9087115693950822,7.620259318037285e-07,0.00036311967,1.0
RYLD,2021-06-08,25.37,13.45,0.5301507998915688,5.4699700239714015e-06,0.0005302151,1.0
HXL,2026-02-04,82.54,82.06,0.9941837502720273,8.518272030224058e-07,7.554115e-05,1.0
JANW,2025-10-13,36.135,36.135,1.0,0.0,0.0,1.0
MGPI,2025-02-21,32.19,31.04,0.9642732893198382,1.4515640549727736e-06,0.0001247385,1.0
ADT,2022-10-10,8.1,7.267,0.8971602217700912,2.834439242582318e-07,7.626967e-05,1.0
ABX,2022-01-13,9.88,9.586,0.9702413841297465,1.6123791946855458e-06,0.0,1.0
FVCB,2022-06-03,20.51,16.06,0.7830328642996052,2.9639257027501733e-07,0.000105045954,1.0
NMI,2023-10-02,8.57,7.485,0.8733937237051259,2.1627120639022132e-06,0.00011540183,1.0
FINV,2026-03-02,5.73,5.389,0.9404885514376619,9.673198217315373e-08,9.6838914e-05,1.0
WTS,2021-03-26,118.89,114.0,0.9588669056047746,2.755946440819962e-06,2.5113193e-05,1.0
RARE,2023-01-26,44.14,44.14,1.0,0.0,0.0,1.0
LUCD,2022-04-20,2.19,2.19,1.0,0.0,0.0,1.0
UPS,2020-12-07,167.47,130.06,0.7766153773810133,1.6866106623384557e-06,3.0699648e-05,1.0
DGT,2022-12-01,104.1874,94.16,0.9037560558090044,9.806667366820096e-08,2.0313257e-05,1.0
ILOW,2026-01-20,43.1,43.1,1.0,0.0,0.0,1.0
ADT,2023-11-21,5.96,5.456,0.9154356234906864,6.415508272009044e-07,0.00012553333,1.0
MEGX,2026-06-12,22.2787,22.2787,1.0,0.0,0.0,1.0
JSI,2024-07-18,51.99,45.59,0.8768985227518258,9.75715623339232e-07,5.7232464e-05,1.0
PHG,2016-07-15,25.75,18.75,0.7281545229373081,1.121832763525769e-06,0.00019203663,1.0
AFK,2024-08-23,16.78,16.61,0.9898667333960871,2.17605516842702e-06,0.00036640637,1.0
SEI,2018-06-22,14.56,10.78,0.7403824741348272,2.838487199924428e-06,0.0003720135,1.0
HISF,2017-08-01,51.4,34.6,0.6731485365225091,4.701437229840859e-06,0.00010545785,1.0
HRZN,2025-02-12,9.56,6.971,0.7291834064285185,9.357502807529633e-07,2.3950277e-05,1.0
EVUS,2025-12-22,32.21,31.84,0.988511669046984,1.262487242696315e-06,4.7212772e-05,1.0
APIE,2024-05-10,28.71,27.1,0.9439223310599534,3.276411330281574e-07,0.00022372532,1.0
PAA,2022-12-30,11.76,8.788,0.7472776722411935,1.6511398072326688e-06,6.939315e-05,1.0
SNGX,2020-04-02,1.47,352.8,240.00504925914143,2.1092644065096355e-05,6.357829e-08,1.0
GRMN,2019-03-04,84.74,71.33,0.8417517691505422,5.788389935995611e-07,7.442161e-05,1.0
