split,picks,sd_R,mde_R_per_pick,mde_$_book,picks_per_week
TRAIN,105,1.5499690543425482,0.4235321756962413,5806.011799702589,2.625
VAL,53,2.811272644170056,1.081242388286819,8010.005866945865,2.9444444444444446
TEST,57,1.0213166938003972,0.37877476216980893,3046.136479846365,3.5625
