cell,causal,TRAIN_picks,TRAIN_R,TRAIN_t,TRAIN_$,TRAIN_wk_green,VAL_picks,VAL_R,VAL_t,VAL_$,VAL_wk_green,TEST_picks,TEST_R,TEST_t,TEST_$,TEST_wk_green,picks,fills,pnl,mdd,worst_month,red_months,n_months,pnl_ex_top5,pnl_cap3R
baseline,yes,105,0.48595251365194675,3.21266509678671,6661.704093012963,50.0,53,0.8620805895639252,2.2324556241303033,6386.422373921438,38.88888888888889,57,0.17165841825529554,1.2689429685374591,1380.4905240380333,37.5,215,162,14428.616990972434,-575.549996003142,-147.98746599999902,2,21,4403.3087318312955,8583.264437738304
comp_ofi_range,yes,103,0.4189057559587453,2.7125177118075023,5425.234107772604,43.58974358974359,52,0.7255027232480012,1.8993378431911099,5178.412144460832,38.88888888888889,60,0.18896193540159203,1.4347357234918416,1903.5558349502476,40.0,215,159,12507.202087183685,-915.4487556324912,-252.26272653875805,6,21,2598.032391984225,6961.321437670221
veto_ofi_range,yes,98,0.5399625951104591,3.3684852198589716,6961.646813619629,51.35135135135135,52,0.8786590624401546,2.2341026144605087,6386.422373921438,38.88888888888889,56,0.17472374715271152,1.2690664841176464,1380.4905240380333,37.5,206,157,14728.5597115791,-575.549996003142,-147.98746599999902,2,21,4703.25145243796,8883.207158344969
comp_tai_range,yes,101,0.37293642195334986,2.401326117959858,4429.912209162729,40.0,59,1.0952550519255653,1.7471402021123628,9230.353261835746,47.368421052631575,47,0.06923952810302937,0.4674936164717383,424.57283139088224,35.714285714285715,207,156,14084.838302389358,-976.8336607457718,-399.9994053396907,7,21,1112.389935067244,5402.0792575512405
veto_tai_range,yes,79,0.4679559093091935,2.776037166229914,5205.815214115819,44.11764705882353,40,0.7588280752398155,1.781463198798838,4578.513746096483,29.411764705882355,39,0.20800016243029804,1.1977043593231202,1154.5587827000304,35.714285714285715,158,120,10938.887742912335,-838.497531276159,-504.94989794282344,6,21,3472.681469535194,6914.29919522119
comp_ofi_break60,DIAGNOSTIC,106,0.44324274453542073,2.969514287939211,6396.485514501441,55.00000000000001,52,0.9584560020103358,2.4423275022075543,6998.669792421536,47.05882352941176,57,0.2884658353957988,1.5829382296304333,3875.061658835612,50.0,215,160,17270.216965758587,-507.86165675332995,-266.44531872961556,2,21,5142.736508429292,9789.62260023897
veto_ofi_break60,DIAGNOSTIC,95,0.537098490062042,3.2857614015242103,6819.558668923865,51.28205128205128,52,0.8811212924697404,2.24102348258479,6421.3761914214365,41.17647058823529,56,0.1796533513998158,1.306820788100288,1411.6300321847002,37.5,203,150,14652.564892530003,-532.9232560031414,-147.98746599999902,1,21,4627.256633388863,8807.212339295873
comp_tai_break60,DIAGNOSTIC,107,0.36855538897971246,2.4049990703874733,5345.282798262831,47.368421052631575,47,1.398043698667601,1.7850922111186294,9341.9244578336,47.368421052631575,59,0.1636018758103645,1.0583155358339074,878.4295459503685,31.25,213,160,15565.636802046802,-1090.481626438937,-676.7908910159962,4,21,1821.3519945530084,6031.762007380685
veto_tai_break60,DIAGNOSTIC,88,0.46742008414398595,2.827336008818314,5450.705080619199,43.24324324324324,42,0.9356087849093738,2.0565672440183316,5778.790361763602,43.75,48,0.08099158668456323,0.5599784845750024,333.9232909877003,26.666666666666668,178,125,11563.418733370501,-790.9667540866612,-510.29300528654403,5,21,2840.7076771606953,6345.030344944372
comp_spread_at_break_bps,yes,108,0.4276704706726199,2.8744797562168887,6183.454995013292,51.21951219512195,51,0.8732164331277096,2.1904899831083933,6308.086720189483,44.44444444444444,56,0.20102189135329201,1.559383971989432,1564.1532591013668,43.75,215,160,14055.69497430414,-832.1031860338571,-436.203677907116,3,21,4030.3867151630016,8210.34242107001
veto_spread_at_break_bps,yes,90,0.42739737614070444,2.600724580038207,4745.662188714788,44.73684210526316,41,0.9476504571127952,2.033372301029931,5795.0170776566265,38.88888888888889,47,0.21431673263997125,1.4698797004638273,1560.9327977080309,37.5,178,125,12101.612064079443,-976.9873793468337,-496.38960739599617,4,21,3687.697603813651,6889.487653320661
hold_ofi_break60,yes,105,0.45823791392079755,3.0814397364031207,6414.90625498115,47.5,53,0.8732893666321057,2.266666886950695,6349.843246822312,44.44444444444444,57,0.1966104574284073,1.482623869517805,1621.5622877140613,37.5,215,162,14386.311789517524,-729.0347792911689,-225.50494445476835,2,21,4361.003530376384,8566.216859883396
hold_tai_break60,yes,105,0.412607886816626,2.811011701035512,5560.380357108003,47.5,53,0.869625619861455,2.2572571564366437,6349.029285117781,44.44444444444444,57,0.17993173364562262,1.3331448511821482,1451.048862651071,37.5,215,162,13360.458504876855,-748.4334061533355,-244.90357131693537,2,21,3335.150245735716,7586.827312040726
