day,spy_gap,spy_prev_ret,spy_vs_sma5,spy_vs_sma20,spy_vol20,spy_co,iwm_gap,iwm_prev_ret,iwm_vs_sma5,iwm_vs_sma20,iwm_vol20,iwm_co,qqq_gap,qqq_prev_ret,qqq_vs_sma5,qqq_vs_sma20,qqq_vol20,qqq_co,regime,iwm_o945,iwm_o1000,spy_o945,spy_o1000
2024-10-01,,,,,,-0.8336239972096204,,,,,,,,,,,,,,,,,
2024-10-02,-0.16003657978965746,,,,,0.20256821264377223,,,,,,,,,,,,,unknown,,,,
2024-10-03,-0.2636852652673771,0.04220744961485057,,,,0.08107727016357646,,,,,,,,,,,,,unknown,,,,
2024-10-04,0.7977880314184116,-0.1828217839187074,,,,0.11007250808072744,,,,,,,,,,,,,unknown,,,,
2024-10-07,-0.2932039512723028,0.9087386847944634,,,,-0.6126378435147961,,,,,,,,,,,,,unknown,,,,
2024-10-08,0.4614300810144467,-0.9040455164229244,-0.2487632111535909,,,0.4821009081028116,,,,,,,,,,,,,unknown,,,,
2024-10-09,-0.0017446830783196532,0.9457555477280666,0.5339170639472757,,,0.6943959801800625,,,,,,,,,,,,,unknown,,,,
2024-10-10,-0.23737741275946522,0.6926391820925692,0.9370704219440418,,,0.06252496656651285,,,,,,,,,,,,,unknown,,,,
2024-10-11,-0.01388575495114841,-0.17500086634092415,0.4683979603937072,,,0.6127940282961708,,,,,,,,,,,,,unknown,,,,
2024-10-14,0.28296352531143043,0.5988231822678936,0.8379091244406611,,,0.5333608616358676,,,,,,,,,,,,,unknown,,,,
2024-10-15,0.04620755750273098,0.8178336036440248,1.081533660399825,,,-0.8227988846884249,,,,,,,,,,,,,unknown,,,,
2024-10-16,0.0,-0.7769715224534623,0.06731217314761562,,,0.434647624961193,,,,,,,,,,,,,unknown,,,,
2024-10-17,0.6199553494762089,0.434647624961193,0.32355768733782764,,,-0.6076018501134928,,,,,,,,,,,,,unknown,,,,
2024-10-18,0.29535502704558514,0.008586639189434031,0.11759325798654796,,,0.0890304244354212,,,,,,,,,,,,,unknown,,,,
2024-10-21,-0.12658444379821665,0.38464840731518013,0.329861945396015,,,-0.03768091119294992,,,,,,,,,,,,,unknown,,,,
2024-10-22,-0.4420608947449667,-0.164217656819321,0.18883147649049192,,,0.3906720592031787,,,,,,,,,,,,,unknown,,,,
2024-10-23,-0.3531509291641033,-0.05311584394221969,0.014059440571445592,,,-0.5625709665210032,,,,,,,,,,,,,unknown,,,,
2024-10-24,0.34429661412826995,-0.9137351710896358,-0.7531216945753205,,,-0.1275906065726473,,,,,,,,,,,,,unknown,,,,
2024-10-25,0.39189282508114154,0.21626671741725723,-0.43214142060048477,,,-0.42475623806985663,,,,,,,,,,,,,unknown,,,,
2024-10-28,0.6113567283780208,-0.03452800220979935,-0.27624499693444937,,,-0.30038792955473514,,,,,,,,,,,,,unknown,,,,
2024-10-29,-0.16872406728303257,0.30913235700471553,0.12860206452858236,0.5810646184376989,,0.3311201172716993,,,,,,,,,,,,,unknown,,,,
2024-10-30,-0.08250683259707348,0.16183737065922355,0.34427207843052976,0.6292680564300213,8.783818884303166,-0.22019990022191793,,,,,,,,,,,,,C1,,,,
2024-10-31,-0.7672281512387746,-0.3025250528559398,-0.028956630551313367,0.22818800064627887,8.906522408302624,-1.202307318090201,,,,,,,,,,,,,C1,,,,
2024-11-01,0.4712999437253895,-1.9603110291201875,-1.6292482761245397,-1.7435576663058283,11.506711977816426,-0.049009311769254715,,,,,,,,,,,,,C1,,,,
2024-11-04,0.02451667133651636,0.42205965109736177,-0.9398776667163933,-1.3123159996785594,11.125767258743897,-0.23985433663643585,,,,,,,,,,,,,C1,,,,
2024-11-05,0.16321229883646815,-0.21539646959932712,-0.7738735820734366,-1.5419864739241285,10.654130808222522,1.044258331289205,,,,,,,,,,,,,C1,,,,
2024-11-06,2.1675047685104865,1.2091749881539604,0.6035866303816917,-0.381837952498687,10.993399072337729,0.31228784792938225,,,,,,,,,,,,,C1,,,,
2024-11-07,0.3451543042772176,2.4865614704352224,2.7098980616773627,1.9728073663897172,13.885015429213663,0.42658663249477424,,,,,,,,,,,,,C1,,,,
2024-11-08,0.09402125551953855,0.7732133188955048,2.54286894841953,2.588878870163347,14.022652052442371,0.3388295284902032,,,,,,,,,,,,,C1,,,,
2024-11-11,0.27081696450959036,0.4331693557865224,2.0331928974704594,2.868394352633663,13.967699771656195,-0.1750554342208277,,,,,,,,,,,,,C1,,,,
