strategy,day,sym,fill_m,fill_et,fill,stop_pct,slip_bps,exit,hold_min,pnl,R,gap_pct,pdr_pct,open_to_fill_pct,mfe_R,mfe_min,mae_R,close_R,hi_after_exit_R,stopbar_close_above_stop,recover_above_fill_60m,vol_break_vs_prior5,or5_range_pct,spy_open_to_fill,spy_open_to_1030,spy_open_to_close
bull_flag,2026-03-16,CYN,643.0,10:43,2.8,1.43,36.0,stop_loss,37.0,-500.0,-1.25,8.4,16.0,8.5,1.5,6.0,1.25,-11.5,3.7,True,True,0.8,4.3,-0.03,0.2,0.09
bull_flag,2026-03-16,ARTL,651.0,10:51,4.35,1.38,116.0,stop_loss,3.0,-1400.0,-2.33,2.9,8.0,12.4,0.0,1.0,1.17,4.17,6.5,True,True,0.4,4.7,0.03,0.2,0.09
bull_flag,2026-03-17,RFIL,,,,,,never_reconciled,,,,-4.2,18.7,,,,,,,,,,,,0.04,-0.24
bull_flag,2026-03-17,BGLC,,,,,,never_reconciled,,,,-0.4,0.8,,,,,,,,,,,,0.04,-0.24
bull_flag,2026-03-17,BIAF,884.0,14:44,2.77,1.44,-36.0,stop_loss,1.0,-476.0,-0.95,16.8,23.4,24.2,1.75,1.0,3.75,-1.5,5.25,False,True,2.4,11.7,-0.22,0.04,-0.24
bull_flag,2026-03-18,ACXP,,,,,,never_reconciled,,,,-0.6,19.3,,,,,,,,,,,,-0.31,-1.02
bull_flag,2026-03-18,LONA,,,,,,never_reconciled,,,,-0.2,42.9,,,,,,,,,,,,-0.31,-1.02
bull_flag,2026-03-18,SVCO,846.0,14:06,5.65,1.06,0.0,stop_loss,2.0,-700.0,-1.17,-0.4,5.1,14.1,-0.58,2.0,1.13,6.67,7.83,True,True,0.6,2.9,-0.26,-0.31,-1.02
bull_flag,2026-03-19,ACXP,630.0,10:30,6.62,3.47,30.0,stop_loss,2.0,-3428.0,-1.71,-3.8,21.0,32.1,0.13,1.0,1.57,0.0,4.0,True,True,2.5,9.9,-0.07,-0.07,0.42
bull_flag,2026-03-20,BDMD,681.0,11:21,2.189915,3.19,45.0,unknown_exit,1.0,0.0,0.0,-1.8,23.4,30.4,0.14,2.0,0.7,-2.57,0.57,,,0.9,5.4,-0.67,-0.62,-1.21
bull_flag,2026-03-24,FEED,668.0,11:08,2.28,4.0,0.0,force_close,277.0,-700.0,-0.77,53.8,20.0,3.6,2.74,18.0,3.4,-0.33,0.33,,,0.6,16.0,0.55,0.22,0.29
bull_flag,2026-03-24,CVV,685.0,11:25,5.094694,3.82,31.0,force_close,260.0,-47.0,-0.03,8.8,14.3,25.5,1.31,68.0,0.69,0.28,0.62,,,2.0,4.7,0.84,0.22,0.29
bull_flag,2026-03-25,MKDW,599.0,09:59,3.69,4.61,138.0,force_close,56.0,3200.0,2.67,6.5,62.7,12.8,3.0,44.0,0.65,9.12,10.82,,,2.2,3.7,-0.33,-0.09,-0.29
bull_flag,2026-03-26,NDLS,589.0,09:49,8.75,4.66,69.0,force_close,20.0,3797.0,1.27,23.8,13.8,16.7,2.28,19.0,0.2,1.3,2.94,,,1.3,13.4,0.21,0.29,-1.07
bull_flag,2026-03-26,SUNE,593.0,09:53,3.1,3.87,32.0,force_close,16.0,-1300.0,-1.18,-1.1,19.1,17.4,-0.17,1.0,1.25,0.29,3.0,,,2.8,1.6,0.38,0.29,-1.07
bull_flag,2026-03-26,MKDW,589.0,09:49,6.2,5.48,166.0,force_close,20.0,4800.0,2.01,0.4,70.2,18.1,1.88,20.0,0.79,4.41,4.41,,,1.2,3.1,0.21,0.29,-1.07
bull_flag,2026-03-26,EEIQ,647.0,10:47,8.053904,4.64,67.0,stop_loss_timeout,1.0,-3738.0,-1.25,75.5,33.7,67.8,-0.49,1.0,1.35,0.98,4.67,True,True,2.1,22.3,0.09,0.29,-1.07
bull_flag,2026-03-27,SST,855.0,14:15,3.25,3.95,31.0,trail_stop,5.0,3205.0,2.71,2.9,17.0,130.5,3.43,6.0,-0.08,1.11,11.68,True,True,3.8,5.7,-1.08,-0.52,-1.31
bull_flag,2026-03-30,EEIQ,596.0,09:56,10.08,3.47,10.0,stop_loss,2.0,-3176.0,-1.06,50.6,29.5,-4.1,-0.34,2.0,1.09,-4.97,0.71,True,True,1.1,11.9,-0.77,-0.61,-1.27
bull_flag,2026-03-31,POLA,592.0,09:52,2.555204,4.12,59.0,trail_stop,7.0,1248.0,1.38,17.4,28.2,11.6,2.23,5.0,0.57,-5.47,3.18,True,True,1.2,5.4,0.41,0.53,1.77
bull_flag,2026-03-31,MASK,681.0,11:21,2.73,4.35,37.0,take_profit,1.0,4900.0,4.5,31.5,15.6,67.5,2.69,1.0,-1.94,-3.87,4.97,,,1.9,11.8,0.33,0.53,1.77
bull_flag,2026-04-01,AGPU,685.0,11:25,3.455902,4.16,17.0,force_close,167.0,-968.0,-0.7,14.2,12.4,86.8,4.96,11.0,2.47,0.72,1.7,,,2.7,3.4,0.43,0.22,0.2
bull_flag,2026-04-13,OPTX,581.0,09:41,11.4698,3.49,61.0,stop_loss,37.0,-327.0,-1.09,10.6,10.8,10.9,1.83,26.0,1.05,0.55,1.0,True,True,0.8,10.2,-0.03,0.32,1.27
bull_flag,2026-04-13,AGCC,608.0,10:08,14.231282,5.21,163.0,force_close,338.0,152.0,1.52,0.0,6.6,-3.9,1.31,258.0,0.68,1.16,1.38,,,0.3,11.2,0.3,0.32,1.27
bull_flag,2026-04-14,APLX,629.0,10:29,18.098785,1.54,16.0,thin_liquidity_reject,0.0,-59.0,-0.39,10.0,18.2,14.5,,,,0.33,2.52,,,0.3,3.5,0.48,0.47,0.98
bull_flag,2026-05-05,INTT,585.0,09:45,17.01,4.17,18.0,stop_loss,32.0,-219.0,-1.09,-13.3,6.7,5.8,1.12,1.0,1.07,-1.31,0.25,False,False,0.8,9.0,0.1,0.19,0.27
bull_flag,2026-05-07,PN,601.0,10:01,6.973279,5.01,106.0,stop_loss_bracket_sl_race,6.0,-221.0,-1.31,-11.8,25.0,-3.4,0.94,2.0,1.1,2.02,2.37,True,True,0.2,15.2,-0.11,-0.06,-0.47
bull_flag,2026-05-11,GVH,633.0,10:33,4.85,3.3,62.0,trail_stop,2.0,-148.0,-1.46,1.4,8.7,9.5,0.94,1.0,1.56,0.0,0.19,True,False,1.0,9.7,0.23,0.28,0.38
bull_flag,2026-05-15,RCEL,598.0,09:58,5.2,4.23,136.0,trail_stop,37.0,96.0,1.7,6.9,9.2,11.6,1.77,32.0,0.73,-2.91,1.27,True,True,0.1,17.4,-0.35,-0.04,-0.37
bull_flag,2026-05-18,AGPU,597.0,09:57,5.04,4.56,100.0,stop_loss,20.0,-136.0,-1.3,-9.1,18.2,-5.3,0.7,2.0,1.04,-1.65,0.13,True,False,0.0,19.1,0.14,-0.09,-0.17
bull_flag,2026-05-18,ONDL,643.0,10:43,14.99,1.33,7.0,stop_loss,3.0,-145.0,-1.29,0.1,32.9,-16.6,-0.22,1.0,3.3,-0.77,1.32,False,True,0.8,5.9,-0.17,-0.09,-0.17
orb,2026-05-19,WAY,586.0,09:46,19.88,3.27,-10.0,tag_bb,0.0,5.0,0.18,5.4,4.9,1.7,0.28,1.0,-0.18,-0.45,0.78,,,7.0,3.1,-0.22,-0.27,-0.13
orb,2026-05-19,CORD,586.0,09:46,6.996241,4.66,-34.0,tag_bb,0.0,-3.0,-0.07,10.2,15.5,0.8,-0.07,1.0,0.4,-0.6,1.18,,,0.5,4.9,-0.22,-0.27,-0.13
orb,2026-05-19,PURR,586.0,09:46,7.58,5.01,-26.0,tag_bb,0.0,-1.0,-0.01,6.9,6.2,2.3,0.36,1.0,0.08,0.54,0.95,,,1.3,5.3,-0.22,-0.27,-0.13
orb,2026-05-19,LMRI,586.0,09:46,7.29,5.9,0.0,force_close,358.0,-265.0,-0.65,7.1,11.6,0.6,0.02,2.0,0.84,-0.72,-0.4,,,66.5,6.0,-0.22,-0.27,-0.13
orb,2026-05-20,GLWG,631.0,10:31,26.23,2.78,-23.0,tag_bb,1.0,-3.0,-0.12,5.3,13.3,2.1,-0.03,1.0,0.23,-0.81,0.37,,,2.7,2.8,0.4,0.38,0.76
orb,2026-05-20,QUIK,607.0,10:07,20.0417,4.6,-4.0,force_close,337.0,20.0,0.48,7.1,11.1,4.6,0.68,338.0,0.67,0.43,0.68,,,5.3,4.5,-0.07,0.38,0.76
orb,2026-05-21,IREG,579.0,09:39,21.18,5.57,0.0,force_close,366.0,681.0,1.77,4.3,18.0,4.2,1.88,358.0,0.3,1.94,1.97,,,0.2,5.6,-0.13,0.04,0.55
orb,2026-05-21,YANG,575.0,09:35,29.7797,0.94,-27.0,stop_loss,19.0,-54.0,-0.8,5.5,3.0,0.8,0.43,8.0,1.29,-3.15,0.25,False,True,1.3,0.9,-0.06,0.04,0.55
orb,2026-05-21,GRRR,575.0,09:35,14.24,2.18,-28.0,tag_bb,1.0,-8.0,-0.33,5.7,7.8,0.5,-0.19,1.0,0.42,0.03,1.82,,,1.3,2.2,-0.06,0.04,0.55
bull_flag,2026-05-21,IONZ,628.0,10:28,3.139793,4.61,63.0,stop_loss,12.0,-297.0,-1.16,-8.6,21.5,-10.5,0.0,6.0,1.07,-1.73,-0.24,True,False,0.5,5.9,-0.05,0.04,0.55
orb,2026-05-22,FLO,581.0,09:41,7.6695,3.51,-27.0,tag_bb,1.0,-50.0,-0.19,8.7,5.0,0.6,-0.07,1.0,0.22,0.99,1.49,,,1.5,3.6,0.19,-0.08,-0.09
orb,2026-05-22,SMWB,581.0,09:41,4.11,7.3,0.0,tag_bb,2.0,67.0,0.13,5.8,7.9,2.8,0.19,2.0,-0.07,0.1,0.23,,,0.7,7.6,0.19,-0.08,-0.09
orb,2026-05-26,TRT,582.0,09:42,15.53,6.44,0.0,lock_stop,268.0,337.0,0.76,6.8,11.9,5.2,1.89,109.0,0.03,1.22,1.27,True,True,5.0,6.5,0.06,0.21,0.06
orb,2026-05-26,BRCB,580.0,09:40,7.35,2.72,-14.0,stop_loss,39.0,-216.0,-1.09,7.0,6.7,1.8,0.69,25.0,1.15,0.4,0.58,False,False,1.0,2.7,-0.02,0.21,0.06
orb,2026-05-26,IHRT,581.0,09:41,4.84,6.82,0.0,tag_bb,2.0,-28.0,-0.06,7.7,12.5,1.9,0.06,1.0,0.09,0.24,0.47,,,0.5,7.1,0.05,0.21,0.06
orb,2026-05-26,IPWR,602.0,10:02,7.07,9.48,0.0,force_close,343.0,38.0,0.06,13.4,22.6,8.8,1.22,270.0,0.7,-0.24,0.31,,,1.7,10.2,0.11,0.21,0.06
bull_flag,2026-05-26,RYOJ,616.0,10:16,3.75876,5.5,159.0,trail_stop,3.0,58.0,0.37,-17.6,233.3,-8.8,0.73,2.0,0.04,0.2,2.76,True,True,6.1,7.0,0.18,0.21,0.06
orb,2026-05-27,SOFX,576.0,09:36,8.8897,2.7,-23.0,lock_stop,105.0,78.0,0.4,0.7,13.3,,,,,,,,,,,-0.03,-0.09,-0.06
orb,2026-05-27,HIMZ,579.0,09:39,28.439777,7.84,-18.0,tag_bb,1.0,-68.0,-0.12,5.3,11.6,6.6,0.11,1.0,0.14,-0.07,0.49,,,1.9,8.4,-0.05,-0.09,-0.06
orb,2026-05-28,TDOC,598.0,09:58,7.01,4.99,-28.0,force_close,347.0,662.0,1.83,5.8,3.8,0.6,1.96,347.0,0.26,1.49,1.93,,,3.1,5.2,-0.04,0.35,0.59
orb,2026-05-28,AMPX,578.0,09:38,19.1,4.19,-26.0,tag_bb,1.0,-94.0,-0.31,6.7,5.1,4.3,-0.1,1.0,0.38,2.31,3.76,,,0.8,4.3,-0.12,0.35,0.59
orb,2026-05-28,BOIL,577.0,09:37,27.34,1.28,-26.0,force_close,367.0,533.0,6.16,103.8,5.7,1.2,7.83,294.0,0.17,7.34,7.46,,,1.0,1.3,-0.12,0.35,0.59
orb,2026-05-29,SMCY,576.0,09:36,7.99,3.38,-12.0,force_close,368.0,-21.0,-0.09,7.0,13.6,2.7,1.26,32.0,0.52,-0.02,0.04,,,0.9,3.4,0.08,0.1,0.07
orb,2026-05-29,PLTG,575.0,09:35,15.53,4.83,-13.0,tag_bb,1.0,-51.0,-0.15,6.9,15.2,1.8,0.07,1.0,0.15,1.84,2.13,,,0.6,4.9,0.07,0.1,0.07
