id,trade_date,symbol,side,entry_price,stop_loss_price,take_profit_price,shares,risk_per_share,total_risk,risk_reward_ratio,order_id,order_status,fill_price,filled_at,exit_price,exit_reason,exited_at,pnl,pnl_pct,pattern_data,created_at,updated_at,filled_qty,real_stop_loss_price,partial_exit_price,partial_exit_shares,partial_exit_pnl,partial_exit_reason,partial_exited_at,news_catalyst,news_headline,news_reason,exit_trigger_price,exit_quote_bid,exit_quote_ask,exit_quote_bid_size,exit_quote_ask_size,exit_quote_spread,exit_limit_price,exit_pricing_method,exit_submitted_at,exit_fill_latency_ms,exit_slippage,exit_ofi,entry_quote_bid,entry_quote_ask,entry_quote_bid_size,entry_quote_ask_size,entry_quote_spread,entry_quote_ofi,entry_fill_quote_bid,entry_fill_quote_ask,strategy,entry_l2_depth,exit_l2_depth,bar_close_price,bar_close_at,loop_processed_at,quote_fetched_at,order_submitted_at,order_filled_at,bar_close_to_loop_ms,loop_to_quote_ms,quote_to_submit_ms,submit_to_fill_ms,drift_bar_to_ask_bps,drift_bar_to_fill_bps,drift_ask_to_fill_bps,reject_reason,scale_qty,scale_price,scale_pnl,scaled_at,filled_dt,exited_dt,hb,pb,fam,planned,planned_src,mid_dec,hs_dec_bps,eff_dec_bps,ratio_dec,mid_fill,hs_fill_bps,eff_fill_bps,ratio_fill,pos_in_spread_dec,pos_in_spread_fill,fill_vs_ask_dec_bps,fill_vs_ask_fill_bps,qspread_pct_dec,qspread_pct_fill,research_spread_pct,research_over_real,chase_bps,barclose_to_fill_bps
30,2026-03-27,SST,buy,3.24,3.1216000000000004,3.5359999999999996,10000,0.11839999999999984,1183.9999999999984,2.4999999999999982,1af20d4a-cf62-4814-b85e-8bed7cace1d4,closed,3.25,2026-03-27T18:15:56.629219+00:00,3.57047,trail_stop,2026-03-27T18:21:17.875529+00:00,3204.699999999998,9.860615384615379,"{""pole_start_idx"": 268, ""pole_end_idx"": 270, ""flag_start_idx"": 271, ""flag_end_idx"": 273, ""pole_low"": 3.0201, ""pole_high"": 3.24, ""pole_height"": 0.21990000000000043, ""pole_gain_pct"": 7.281215853779691, ""flag_low"": 3.1316, ""flag_high"": 3.24, ""retracement_pct"": 49.29513415188715, ""pullback_candle_count"": 3, ""avg_pole_volume"": 134098.33333333334, ""avg_flag_volume"": 67742.66666666667, ""breakout_level"": 3.24}",2026-03-27T18:14:37.324461+00:00,2026-03-27T18:21:17.875534+00:00,10000.0,3.1216000000000004,,,,,,1.0,"System1 Q4 EPS $(1.65) Beats $(2.02) Estimate, Sales $51.940M Miss $53.036M Estimate",cached,3.465,3.57,3.6,300.0,11200.0,0.03000000000000025,3.57,stop_bid,2026-03-27T18:20:25.210698+00:00,52664.82329368591,-0.00046999999999997044,25788.340373945444,3.14,3.15,2300.0,3500.0,0.009999999999999787,4318.3138614083855,3.3,3.31,bull_flag,,,,,,,,,,,,,,,,,,,,,2026-03-27 18:15:56.629219+00:00,2026-03-27 18:21:17.875529+00:00,13:00+,<$5,stop,3.24,breakout_level,3.145,15.8982511923685,333.8632750397456,21.000000000000448,3.3049999999999997,15.128593040847553,-166.41452344931838,-10.99999999999969,11.000000000000222,-4.999999999999867,317.96502384737704,-181.5431164901666,0.31796502384737,0.30257186081695103,1.9,6.279499999999854,30.864197530863535,
32,2026-03-30,EEIQ,buy,10.07,9.73,10.92,8823,0.33999999999999986,2999.819999999999,2.5,d4cd10de-2b31-4adb-98ef-1c6506d3f5c9,closed,10.08,2026-03-30T13:56:21.764906+00:00,9.72,stop_loss,2026-03-30T13:58:24.086918+00:00,-3176.279999999995,-3.5714285714285663,"{""pole_start_idx"": 18, ""pole_end_idx"": 20, ""flag_start_idx"": 21, ""flag_end_idx"": 23, ""pole_low"": 9.4201, ""pole_high"": 9.9199, ""pole_height"": 0.49980000000000047, ""pole_gain_pct"": 5.305676160550318, ""flag_low"": 9.74, ""flag_high"": 10.07, ""retracement_pct"": 35.9943977591036, ""pullback_candle_count"": 3, ""avg_pole_volume"": 38260.666666666664, ""avg_flag_volume"": 33219.0, ""breakout_level"": 10.07}",2026-03-30T13:55:20.897528+00:00,2026-03-30T13:58:24.086924+00:00,8823.0,9.73,,,,,,0.0,12 Consumer Discretionary Stocks Moving In Thursday's After-Market Session,Generic premarket movers roundup. EEIQ only tangentially mentioned without specific news.,9.73,9.72,9.78,600.0,600.0,0.05999999999999872,9.72,stop_bid,2026-03-30T13:57:58.432653+00:00,25654.258728027344,0.0,-1861.8399976759476,9.84,9.88,100.0,100.0,0.040000000000000924,-3199.0681042149786,9.85,10.0,bull_flag,,,,,,,,,,,,,,,,,,,,,2026-03-30 13:56:21.764906+00:00,2026-03-30 13:58:24.086918+00:00,09:35-10:00,$10-20,stop,10.07,breakout_level,9.86,20.28397565922968,223.12373225152194,10.999999999999776,9.925,75.56675062972309,156.17128463476004,2.066666666666653,5.999999999999867,1.5333333333333325,202.8397565922914,80.60453400503785,0.40567951318459355,1.5113350125944618,1.2,0.7939999999999983,9.930486593842886,
33,2026-03-30,NPT,buy,5.5,5.39,0.0,9090,0.11,999.9,0.0,eab393cc-4ed4-4425-a50f-2680ea1e34c8,closed,5.49,2026-03-30T16:22:54.681732+00:00,5.49,unknown_exit,2026-03-30T16:53:49.952778+00:00,0.0,0.0,"{""cross_time_min"": 85, ""vol_at_cross"": 7595, ""macd_hist_pct"": 0.5654}",2026-03-30T16:22:53.766588+00:00,2026-03-30T16:53:49.952785+00:00,9090.0,,,,,,,,,,,,,,,,,,,,,,5.22,5.49,,,0.27000000000000046,,,,macd_wave,,,,,,,,,,,,,,,,,,,,,2026-03-30 16:22:54.681732+00:00,2026-03-30 16:53:49.952778+00:00,11:00-13:00,$5-10,other,5.5,entry_price,5.355,252.10084033613487,252.10084033613404,0.9999999999999968,,,,,1.0,,0.0,,5.042016806722698,,1.9,,-18.181818181817793,
34,2026-03-30,FBYD,buy,11.4,11.17,0.0,4385,0.228,999.7800000000001,0.0,c8e86e52-3487-471d-8b51-dd9ae09e103a,closed,11.39,2026-03-30T16:26:54.545548+00:00,11.39,unknown_exit,2026-03-30T16:37:39.712755+00:00,0.0,0.0,"{""cross_time_min"": 96, ""vol_at_cross"": 30260, ""macd_hist_pct"": 0.5208}",2026-03-30T16:25:54.495391+00:00,2026-03-30T16:37:39.712762+00:00,4385.0,,,,,,,,,,,11.19,11.49,,,,11.19,macd_bid,,,,,10.65,11.39,,,0.7400000000000002,,,,macd_wave,,,,,,,,,,,,,,,,,,,,,2026-03-30 16:26:54.545548+00:00,2026-03-30 16:37:39.712755+00:00,11:00-13:00,$10-20,other,11.4,entry_price,11.02,335.75317604355723,335.7531760435581,1.0000000000000024,,,,,1.0,,0.0,,6.715063520871145,,1.2,,-8.771929824561216,
35,2026-03-30,SVRN,buy,7.33,7.18,0.0,6821,0.1466,999.9586,0.0,37e9183d-f749-4af3-b936-78bed5f22837,closed,7.32,2026-03-30T16:33:55.803622+00:00,7.32,unknown_exit,2026-03-30T16:53:50.163698+00:00,0.0,0.0,"{""cross_time_min"": 69, ""vol_at_cross"": 150546, ""macd_hist_pct"": 0.5372}",2026-03-30T16:33:54.258108+00:00,2026-03-30T16:53:50.163705+00:00,6821.0,,,,,,,,,,,,,,,,,,,,,,7.13,7.32,,,0.1900000000000004,,,,macd_wave,,,,,,,,,,,,,,,,,,,,,2026-03-30 16:33:55.803622+00:00,2026-03-30 16:53:50.163698+00:00,11:00-13:00,$5-10,other,7.33,entry_price,7.225,131.48788927335667,131.4878892733573,1.0000000000000047,,,,,1.0,,0.0,,2.6297577854671337,,1.9,,-13.64256480218252,
36,2026-03-30,DCOY,buy,6.81,6.67,0.0,7342,0.1362,999.9803999999999,0.0,19c62a73-56ca-43b0-a0e2-a2035da3da74,closed,6.8,2026-03-30T18:37:37.690916+00:00,6.39,trail_stop,2026-03-30T18:38:37.672207+00:00,-3010.220000000001,-6.029411764705885,"{""cross_time_min"": 213, ""vol_at_cross"": 34914, ""macd_hist_pct"": 0.5461}",2026-03-30T18:36:37.305929+00:00,2026-03-30T18:38:37.672216+00:00,7342.0,,,,,,,,,,6.6618,6.39,6.71,,,,6.39,stop_bid_rest,,,,,6.67,6.8,,,0.1299999999999999,,,,macd_wave,,,,,,,,,,,,,,,,,,,,,2026-03-30 18:37:37.690916+00:00,2026-03-30 18:38:37.672207+00:00,13:00+,$5-10,stop,6.81,entry_price,6.734999999999999,96.51076466221224,96.5107646622129,1.0000000000000069,,,,,1.0,,0.0,,1.930215293244245,,1.9,,-14.684287812040804,
37,2026-03-30,CBIO,buy,17.04,16.7,0.0,2934,0.3408,999.9072,0.0,e8246ee4-0bf4-4a93-94ff-37022bf6a919,closed,17.02,2026-03-30T18:42:37.409844+00:00,16.55,trail_stop,2026-03-30T18:43:37.038228+00:00,-1378.9799999999966,-2.7614571092831897,"{""cross_time_min"": 309, ""vol_at_cross"": 111689, ""macd_hist_pct"": 0.5149}",2026-03-30T18:41:37.995708+00:00,2026-03-30T18:43:37.038235+00:00,2934.0,,,,,,,,,,16.79,16.55,17.02,,,,16.55,stop_bid_rest,,,,,16.55,17.02,,,0.46999999999999886,,,,macd_wave,,,,,,,,,,,,,,,,,,,,,2026-03-30 18:42:37.409844+00:00,2026-03-30 18:43:37.038228+00:00,13:00+,$10-20,stop,17.04,entry_price,16.785,140.00595770032734,140.00595770032734,1.0,,,,,1.0,,0.0,,2.8001191540065467,,1.2,,-11.737089201877685,
38,2026-03-31,POLA,buy,2.5403,2.45,2.766049999999999,10000,0.0902999999999996,902.999999999996,2.5000000000000027,503889f5-52f5-4536-bfcb-b9bafd076259,closed,2.555204,2026-03-31T13:52:10.331872+00:00,2.680013,trail_stop,2026-03-31T13:59:16.915535+00:00,1248.090000000004,4.884502372413334,"{""pole_start_idx"": 12, ""pole_end_idx"": 17, ""flag_start_idx"": 18, ""flag_end_idx"": 19, ""pole_low"": 2.21, ""pole_high"": 2.6299, ""pole_height"": 0.41990000000000016, ""pole_gain_pct"": 19.000000000000007, ""flag_low"": 2.46, ""flag_high"": 2.5403, ""retracement_pct"": 40.46201476542036, ""pullback_candle_count"": 2, ""avg_pole_volume"": 299360.6666666667, ""avg_flag_volume"": 230837.0, ""breakout_level"": 2.5403}",2026-03-31T13:51:09.757241+00:00,2026-03-31T13:59:16.915541+00:00,10000.0,2.45,,,,,,1.0,Why Virgin Galactic Shares Are Trading Higher By 6%; Here Are 20 Stocks Moving Premarket,Q4 earnings miss/beat on EPS; SpaceShip entry into service announcement,2.68,2.68,2.69,18100.0,800.0,0.009999999999999787,2.68,stop_bid,2026-03-31T13:58:54.922827+00:00,21992.701053619385,-1.3000000000040757e-05,-33912.02230041369,2.49,2.5,300.0,3400.0,0.009999999999999787,3048.1283360796233,2.57,2.58,bull_flag,,,,,,,,,,,,,,,,,,,,,2026-03-31 13:52:10.331872+00:00,2026-03-31 13:59:16.915535+00:00,09:35-10:00,<$5,stop,2.5403,breakout_level,2.495,20.040080160320215,241.29859719438758,12.040800000000196,2.575,19.41747572815579,-76.87766990291405,-3.959199999999982,6.520400000000098,-1.479599999999969,221.25851703406738,-96.29514563106896,0.4008016032064043,0.3883495145631158,1.9,4.892499999999886,58.6702357989215,
39,2026-03-31,UGRO,buy,27.26,26.71,0.0,1834,0.5452,999.8968,0.0,278b7e6c-8516-458a-9f35-95eaf9eca1d9,closed,27.227361,2026-03-31T14:30:18.925592+00:00,26.27,trail_stop,2026-03-31T14:38:53.792719+00:00,-1761.08,-3.53,"{""cross_time_min"": 1, ""vol_at_cross"": 42031, ""macd_hist_pct"": 0.8218}",2026-03-31T14:29:14.571560+00:00,2026-03-31T14:38:53.792724+00:00,1834.0,,,,,,,,,,,26.21,26.38,,,,26.21,macd_bid,,,,,27.02,27.23,,,0.21000000000000085,,,,macd_wave,,,,,,,,,,,,,,,,,,,,,2026-03-31 14:30:18.925592+00:00,2026-03-31 14:38:53.792719+00:00,10:00-11:00,$20-50,stop,27.26,entry_price,27.125,38.709677419354996,37.73677419354779,0.9748666666666472,,,,,0.9874333333333236,,-0.9729032258072098,,0.7741935483870999,,0.8,,-11.973220836391485,
41,2026-03-31,CRCD,buy,7.76,7.6,0.0,6443,0.1552,999.9536,0.0,2bca18ee-f8ff-40e6-9bf2-cbd5f13eee10,closed,7.76,2026-03-31T14:54:16.732532+00:00,7.57,trail_stop,2026-03-31T15:02:40.353917+00:00,-1224.17,-2.45,"{""cross_time_min"": 2, ""vol_at_cross"": 40827, ""macd_hist_pct"": 0.5221}",2026-03-31T14:52:15.086302+00:00,2026-03-31T15:02:40.353922+00:00,6443.0,,,,,,,,,,,7.57,7.61,,,,7.57,macd_bid,,,,,7.73,7.75,,,0.019999999999999574,,,,macd_wave,,,,,,,,,,,,,,,,,,,,,2026-03-31 14:54:16.732532+00:00,2026-03-31 15:02:40.353917+00:00,10:00-11:00,$5-10,stop,7.76,entry_price,7.74,12.919896640826598,25.839793281653197,2.0,,,,,1.5,,12.919896640826598,,0.25839793281653195,,1.9,,0.0,
42,2026-03-31,ANNX,buy,5.5,5.39,0.0,9090,0.11,999.9,0.0,e18aadf0-104c-4da5-9be1-f0f53e8e0c3a,closed,5.49,2026-03-31T15:03:17.566005+00:00,5.47,macd_flip,2026-03-31T15:19:08.454473+00:00,-181.8,-0.36,"{""cross_time_min"": 1, ""vol_at_cross"": 80726, ""macd_hist_pct"": 0.5152}",2026-03-31T15:03:14.724958+00:00,2026-03-31T15:19:16.539504+00:00,9090.0,,,,,,,,,,,5.47,5.48,,,,5.47,macd_bid,,,,,5.48,5.49,,,0.009999999999999787,,,,macd_wave,,,,,,,,,,,,,,,,,,,,,2026-03-31 15:03:17.566005+00:00,2026-03-31 15:19:08.454473+00:00,11:00-13:00,$5-10,stop,5.5,entry_price,5.485,9.115770282588683,9.115770282588683,1.0,,,,,1.0,,0.0,,0.18231540565177368,,1.9,,-18.181818181817793,
43,2026-03-31,MASK,buy,2.72,2.6112,2.992,10000,0.10880000000000001,1088.0,2.499999999999998,1d0af21b-87c5-474a-8782-dea4414f402d,closed,2.73,2026-03-31T15:21:11.655458+00:00,3.22,take_profit,2026-03-31T15:22:13.261189+00:00,4900.000000000002,17.948717948717956,"{""pole_start_idx"": 100, ""pole_end_idx"": 102, ""flag_start_idx"": 103, ""flag_end_idx"": 104, ""pole_low"": 2.47, ""pole_high"": 2.75, ""pole_height"": 0.2799999999999998, ""pole_gain_pct"": 11.33603238866396, ""flag_low"": 2.62, ""flag_high"": 2.72, ""retracement_pct"": 46.42857142857142, ""pullback_candle_count"": 2, ""avg_pole_volume"": 425382.0, ""avg_flag_volume"": 339411.0, ""breakout_level"": 2.72}",2026-03-31T15:20:10.571803+00:00,2026-03-31T15:22:13.261198+00:00,10000.0,2.6112,,,,,,1.0,Why Virgin Galactic Shares Are Trading Higher By 6%; Here Are 20 Stocks Moving Premarket,cached,,,,,,,,,,,,,2.69,2.7,200.0,2400.0,0.010000000000000231,-8247.201611755881,2.96,2.97,bull_flag,,,,,,,,,,,,,,,,,,,,,2026-03-31 15:21:11.655458+00:00,2026-03-31 15:22:13.261189+00:00,11:00-13:00,<$5,target/lock,2.72,breakout_level,2.6950000000000003,18.552875695733267,129.87012987012872,6.999999999999776,2.965,16.863406408094825,-792.580101180438,-46.999999999998884,3.999999999999911,-22.999999999999467,111.3172541743963,-809.4435075885336,0.37105751391466535,0.3372681281618965,1.9,5.633499999999869,36.76470588235215,
44,2026-03-31,EEIQ,buy,8.33,8.16,0.0,6002,0.1666,999.9331999999999,0.0,47460026-7ce5-4596-9491-9e590ebeb597,closed,8.32,2026-03-31T15:48:37.760849+00:00,8.03,trail_stop,2026-03-31T15:49:36.674863+00:00,-1740.5800000000056,-3.4855769230769345,"{""cross_time_min"": 114, ""vol_at_cross"": 272741, ""macd_hist_pct"": 0.5064}",2026-03-31T15:48:37.163816+00:00,2026-03-31T15:49:36.674870+00:00,6002.0,,,,,,,,,,8.2,8.03,8.32,,,,8.03,stop_bid_rest,,,,,7.94,8.32,,,0.3799999999999999,,,,macd_wave,,,,,,,,,,,,,,,,,,,,,2026-03-31 15:48:37.760849+00:00,2026-03-31 15:49:36.674863+00:00,11:00-13:00,$5-10,stop,8.33,entry_price,8.13,233.70233702337015,233.7023370233696,0.9999999999999977,,,,,1.0,,0.0,,4.6740467404674035,,1.9,,-12.00480192076805,
45,2026-03-31,PLYX,buy,7.99,7.83,0.0,6257,0.1598,999.8686,0.0,2058f511-4233-4c19-89b8-2271783933f5,closed,7.98,2026-03-31T16:24:38.128259+00:00,7.85,trail_stop,2026-03-31T16:25:36.735136+00:00,-813.4100000000049,-1.6290726817042702,"{""cross_time_min"": 114, ""vol_at_cross"": 124897, ""macd_hist_pct"": 0.5263}",2026-03-31T16:23:37.123122+00:00,2026-03-31T16:25:36.735144+00:00,6257.0,,,,,,,,,,7.85,7.85,7.96,,,,7.85,stop_bid_rest,,,,,7.85,7.98,,,0.13000000000000078,,,,macd_wave,,,,,,,,,,,,,,,,,,,,,2026-03-31 16:24:38.128259+00:00,2026-03-31 16:25:36.735136+00:00,11:00-13:00,$5-10,stop,7.99,entry_price,7.915,82.12255211623548,82.12255211623548,1.0,,,,,1.0,,0.0,,1.6424510423247096,,1.9,,-12.515644555694353,
46,2026-03-31,MODD,buy,5.91,5.79,0.0,8460,0.1182,999.972,0.0,c212147a-0b44-43e2-8bc5-91b41431964c,closed,5.9,2026-03-31T17:24:37.162927+00:00,5.61,trail_stop,2026-03-31T17:25:37.310681+00:00,-2453.4,-4.915254237288136,"{""cross_time_min"": 114, ""vol_at_cross"": 199554, ""macd_hist_pct"": 0.5886}",2026-03-31T17:23:38.021784+00:00,2026-03-31T17:25:37.310688+00:00,8460.0,,,,,,,,,,5.813,5.61,5.9,,,,5.61,stop_bid_rest,,,,,5.8,5.9,,,0.10000000000000053,,,,macd_wave,,,,,,,,,,,,,,,,,,,,,2026-03-31 17:24:37.162927+00:00,2026-03-31 17:25:37.310681+00:00,13:00+,$5-10,stop,5.91,entry_price,5.85,85.47008547008593,85.47008547008669,1.0000000000000089,,,,,1.0,,0.0,,1.7094017094017186,,1.9,,-16.92047377326529,
