fam,split_name,bucket,period,days,trades,dayR_mean,sumR,tradeR_mean,green_days
F5,spy_gap,spy_gap<=0,TRAIN,101,1070,-5.509,-556.4,-0.52,13.9
F5,spy_gap,spy_gap>0,TRAIN,149,1618,-6.284,-936.4,-0.5787,13.4
F5,spy_gap,spy_gap<=0,VAL,44,460,-3.466,-152.5,-0.3316,22.7
F5,spy_gap,spy_gap>0,VAL,58,613,-4.85,-281.3,-0.4589,15.5
F5,spy_gap,spy_gap<=0,TEST,27,294,-5.881,-158.8,-0.5401,7.4
F5,spy_gap,spy_gap>0,TEST,41,424,-5.355,-219.5,-0.5178,7.3
F5,iwm_gap,iwm_gap<=0,TRAIN,108,1164,-6.023,-650.5,-0.5588,12.0
F5,iwm_gap,iwm_gap>0,TRAIN,142,1524,-5.931,-842.3,-0.5527,14.8
F5,iwm_gap,iwm_gap<=0,VAL,45,462,-3.506,-157.8,-0.3415,22.2
F5,iwm_gap,iwm_gap>0,VAL,57,611,-4.843,-276.1,-0.4518,15.8
F5,iwm_gap,iwm_gap<=0,TEST,31,336,-5.767,-178.8,-0.5321,9.7
F5,iwm_gap,iwm_gap>0,TEST,37,382,-5.393,-199.6,-0.5224,5.4
F5,spy_prev_ret,spy_prev_ret<=0,TRAIN,108,1185,-5.704,-616.0,-0.5199,13.0
F5,spy_prev_ret,spy_prev_ret>0,TRAIN,142,1503,-6.174,-876.7,-0.5833,14.1
F5,spy_prev_ret,spy_prev_ret<=0,VAL,47,508,-5.075,-238.5,-0.4696,17.0
F5,spy_prev_ret,spy_prev_ret>0,VAL,55,565,-3.551,-195.3,-0.3456,20.0
F5,spy_prev_ret,spy_prev_ret<=0,TEST,33,351,-5.999,-198.0,-0.564,3.0
F5,spy_prev_ret,spy_prev_ret>0,TEST,35,367,-5.153,-180.4,-0.4915,11.4
F5,iwm_prev_ret,iwm_prev_ret<=0,TRAIN,118,1273,-5.873,-693.0,-0.5444,13.6
F5,iwm_prev_ret,iwm_prev_ret>0,TRAIN,132,1415,-6.059,-799.7,-0.5652,13.6
F5,iwm_prev_ret,iwm_prev_ret<=0,VAL,39,424,-5.291,-206.3,-0.4866,17.9
F5,iwm_prev_ret,iwm_prev_ret>0,VAL,63,649,-3.611,-227.5,-0.3505,19.0
