fam,split_name,bucket,period,days,trades,dayR_mean,sumR,tradeR_mean,green_days
F5,spy_co,spy_co<=0,TRAIN,119,1300,-7.312,-870.1,-0.6693,6.7
F5,spy_co,spy_co>0,TRAIN,131,1388,-4.753,-622.6,-0.4486,19.8
F5,spy_co,spy_co<=0,VAL,46,484,-5.227,-240.4,-0.4968,15.2
F5,spy_co,spy_co>0,VAL,56,589,-3.453,-193.4,-0.3283,21.4
F5,spy_co,spy_co<=0,TEST,36,390,-6.039,-217.4,-0.5575,8.3
F5,spy_co,spy_co>0,TEST,32,328,-5.029,-160.9,-0.4906,6.2
F5,iwm_co,iwm_co<=0,TRAIN,126,1370,-7.051,-888.4,-0.6485,8.7
F5,iwm_co,iwm_co>0,TRAIN,124,1318,-4.874,-604.3,-0.4585,18.5
F5,iwm_co,iwm_co<=0,VAL,46,494,-6.089,-280.1,-0.567,10.9
F5,iwm_co,iwm_co>0,VAL,56,579,-2.745,-153.7,-0.2655,25.0
F5,iwm_co,iwm_co<=0,TEST,36,386,-6.193,-222.9,-0.5776,0.0
F5,iwm_co,iwm_co>0,TEST,32,332,-4.856,-155.4,-0.468,15.6
F5,iwm_co,T1(low),TRAIN,85,941,-7.372,-626.6,-0.6659,8.2
F5,iwm_co,T2,TRAIN,78,830,-7.427,-579.3,-0.698,6.4
F5,iwm_co,T3(high),TRAIN,87,917,-3.297,-286.8,-0.3128,25.3
F5,iwm_co,T1(low),VAL,30,317,-5.707,-171.2,-0.5401,13.3
F5,iwm_co,T2,VAL,35,369,-5.421,-189.7,-0.5142,11.4
F5,iwm_co,T3(high),VAL,37,387,-1.97,-72.9,-0.1883,29.7
F5,iwm_co,T1(low),TEST,25,261,-6.131,-153.3,-0.5873,0.0
F5,iwm_co,T2,TEST,27,302,-7.386,-199.4,-0.6604,3.7
F5,iwm_co,T3(high),TEST,16,155,-1.601,-25.6,-0.1652,25.0
F5,breadth,T1(low),TRAIN,87,934,-7.606,-661.7,-0.7085,4.6
F5,breadth,T2,TRAIN,80,880,-6.295,-503.6,-0.5722,12.5
F5,breadth,T3(high),TRAIN,83,874,-3.945,-327.4,-0.3746,24.1
F5,breadth,T1(low),VAL,27,297,-6.942,-187.4,-0.6311,3.7
F5,breadth,T2,VAL,39,417,-4.572,-178.3,-0.4276,15.4
F5,breadth,T3(high),VAL,36,359,-1.891,-68.1,-0.1896,33.3
F5,breadth,T1(low),TEST,26,275,-6.42,-166.9,-0.6069,3.8
F5,breadth,T2,TEST,22,234,-6.016,-132.4,-0.5656,9.1
F5,breadth,T3(high),TEST,20,209,-3.953,-79.1,-0.3783,10.0
F8,spy_co,spy_co<=0,TRAIN,119,561,-1.076,-128.0,-0.2282,24.4
F8,spy_co,spy_co>0,TRAIN,131,587,0.0,0.0,0.0,51.9
F8,spy_co,spy_co<=0,VAL,46,213,-1.041,-47.9,-0.2249,32.6
F8,spy_co,spy_co>0,VAL,56,250,-0.011,-0.6,-0.0025,51.8
F8,spy_co,spy_co<=0,TEST,36,157,-0.893,-32.2,-0.2048,25.0
F8,spy_co,spy_co>0,TEST,32,142,-0.43,-13.8,-0.0968,43.8
F8,iwm_co,iwm_co<=0,TRAIN,126,591,-1.069,-134.7,-0.2279,27.0
F8,iwm_co,iwm_co>0,TRAIN,124,557,0.054,6.7,0.0119,50.8
F8,iwm_co,iwm_co<=0,VAL,46,214,-1.194,-54.9,-0.2567,28.3
F8,iwm_co,iwm_co>0,VAL,56,249,0.114,6.4,0.0257,55.4
F8,iwm_co,iwm_co<=0,TEST,36,164,-1.085,-39.1,-0.2382,22.2
F8,iwm_co,iwm_co>0,TEST,32,135,-0.214,-6.8,-0.0507,46.9
F8,iwm_co,T1(low),TRAIN,85,402,-1.082,-91.9,-0.2287,29.4
F8,iwm_co,T2,TRAIN,78,357,-0.925,-72.1,-0.202,25.6
F8,iwm_co,T3(high),TRAIN,87,389,0.414,36.1,0.0927,59.8
F8,iwm_co,T1(low),VAL,30,140,-1.194,-35.8,-0.2558,20.0
F8,iwm_co,T2,VAL,35,162,-0.735,-25.7,-0.1587,42.9
F8,iwm_co,T3(high),VAL,37,161,0.351,13.0,0.0807,62.2
F8,iwm_co,T1(low),TEST,25,113,-0.985,-24.6,-0.2179,24.0
F8,iwm_co,T2,TEST,27,117,-1.121,-30.3,-0.2588,25.9
F8,iwm_co,T3(high),TEST,16,69,0.562,9.0,0.1303,62.5
F8,breadth,T1(low),TRAIN,92,443,-1.137,-104.6,-0.2362,25.0
F8,breadth,T2,TRAIN,75,334,-0.526,-39.4,-0.118,33.3
F8,breadth,T3(high),TRAIN,83,371,0.193,16.0,0.0432,59.0
F8,breadth,T1(low),VAL,24,113,-1.052,-25.2,-0.2234,33.3
F8,breadth,T2,VAL,39,178,-0.761,-29.7,-0.1667,38.5
F8,breadth,T3(high),VAL,39,172,0.164,6.4,0.0371,53.8
F8,breadth,T1(low),TEST,24,108,-1.057,-25.4,-0.2349,29.2
F8,breadth,T2,TEST,26,117,-1.148,-29.8,-0.255,19.2
F8,breadth,T3(high),TEST,18,74,0.517,9.3,0.1257,61.1
F6,spy_co,spy_co<=0,TRAIN,118,651,-0.974,-114.9,-0.1765,31.4
F6,spy_co,spy_co>0,TRAIN,131,691,-0.359,-47.0,-0.068,45.8
F6,spy_co,spy_co<=0,VAL,46,279,-1.322,-60.8,-0.218,34.8
F6,spy_co,spy_co>0,VAL,56,328,0.307,17.2,0.0524,50.0
F6,spy_co,spy_co<=0,TEST,36,224,-2.094,-75.4,-0.3366,25.0
F6,spy_co,spy_co>0,TEST,32,195,-0.226,-7.2,-0.0371,46.9
F6,iwm_co,iwm_co<=0,TRAIN,125,684,-1.142,-142.8,-0.2087,28.0
F6,iwm_co,iwm_co>0,TRAIN,124,658,-0.154,-19.1,-0.029,50.0
F6,iwm_co,iwm_co<=0,VAL,46,282,-1.644,-75.6,-0.2683,28.3
F6,iwm_co,iwm_co>0,VAL,56,325,0.571,32.0,0.0985,55.4
F6,iwm_co,iwm_co<=0,TEST,36,223,-1.496,-53.8,-0.2414,33.3
F6,iwm_co,iwm_co>0,TEST,32,196,-0.899,-28.8,-0.1468,37.5
F6,iwm_co,T1(low),TRAIN,84,451,-0.897,-75.4,-0.1671,33.3
F6,iwm_co,T2,TRAIN,78,423,-1.281,-99.9,-0.2363,29.5
F6,iwm_co,T3(high),TRAIN,87,468,0.154,13.4,0.0287,52.9
F6,iwm_co,T1(low),VAL,30,183,-1.85,-55.5,-0.3032,26.7
F6,iwm_co,T2,VAL,35,209,-0.374,-13.1,-0.0627,42.9
F6,iwm_co,T3(high),VAL,37,215,0.674,25.0,0.1161,56.8
F6,iwm_co,T1(low),TEST,26,166,-2.085,-54.2,-0.3266,26.9
F6,iwm_co,T2,TEST,26,166,-0.954,-24.8,-0.1494,42.3
F6,iwm_co,T3(high),TEST,16,87,-0.225,-3.6,-0.0414,37.5
F6,breadth,T1(low),TRAIN,88,490,-1.757,-154.6,-0.3156,21.6
F6,breadth,T2,TRAIN,77,427,-1.146,-88.2,-0.2066,28.6
F6,breadth,T3(high),TRAIN,83,423,0.97,80.5,0.1904,66.3
F6,breadth,T1(low),VAL,33,204,-1.798,-59.3,-0.2909,27.3
F6,breadth,T2,VAL,33,196,-0.391,-12.9,-0.0659,39.4
F6,breadth,T3(high),VAL,36,207,0.795,28.6,0.1382,61.1
F6,breadth,T1(low),TEST,34,223,-2.774,-94.3,-0.423,14.7
F6,breadth,T2,TEST,14,80,0.677,9.5,0.1185,64.3
F6,breadth,T3(high),TEST,20,116,0.112,2.2,0.0193,50.0
