set,stop,exit,n,WR,pnl,pnl_per_risk,pnl_ex_tail,per_risk_ex_tail,tail_n,stops,green,worst
CC,1.0,hold,202,51.5,37303,0.096,-7371,-0.017,9,32,4/6,-11121
CC,1.0,p1old,202,55.4,48129,0.115,42795,0.102,1,29,4/6,-4455
CC,1.0,p1new,202,55.4,48129,0.115,42795,0.102,1,29,4/6,-4455
CC,0.75,hold,202,52.0,54699,0.166,-24302,-0.078,17,55,4/6,-7856
CC,0.75,p1old,202,54.5,59950,0.175,31217,0.083,8,53,5/6,-4647
CC,0.75,p1new,202,56.9,48826,0.151,31781,0.095,5,51,5/6,-2985
CC,0.5,hold,202,49.5,52650,0.239,-34512,-0.187,22,85,4/6,-4369
CC,0.5,p1old,202,49.5,55640,0.243,-11201,-0.077,22,85,5/6,-769
CC,0.5,p1new,202,53.0,23244,0.116,-15389,-0.057,13,79,5/6,-3522
ALL,1.0,hold,2588,44.9,-48844,0.017,-496934,-0.111,101,556,4/6,-148729
ALL,1.0,p1old,2588,48.3,-80768,0.007,-208911,-0.029,32,531,3/6,-125217
ALL,1.0,p1new,2588,48.3,-80768,0.007,-208911,-0.029,32,531,3/6,-125217
ALL,0.75,hold,2588,43.5,-74533,0.018,-655249,-0.202,154,882,3/6,-140679
ALL,0.75,p1old,2588,45.6,-105973,0.002,-370504,-0.102,94,860,3/6,-121027
ALL,0.75,p1new,2588,48.5,-142494,-0.007,-335833,-0.082,67,820,3/6,-114338
ALL,0.5,hold,2588,39.5,-171551,-0.019,-857759,-0.402,232,1341,2/6,-129004
ALL,0.5,p1old,2588,39.6,-169325,-0.028,-700023,-0.318,231,1341,1/6,-114075
ALL,0.5,p1new,2588,48.5,-181813,-0.045,-424231,-0.18,109,1172,1/6,-111504
