set,stop,exit,n,WR,pnl,pnl_per_risk,pnl_ex_tail,per_risk_ex_tail,tail_n,stops,green,worst
CC,1.0,hold,710,51.5,137215,0.087,53875,0.03,16,93,5/8,-49156
CC,1.0,p1old,710,53.1,137693,0.093,127739,0.085,3,91,6/8,-39446
CC,1.0,p1new,710,53.1,137693,0.093,127739,0.085,3,91,6/8,-39446
CC,0.75,hold,710,50.6,135303,0.102,-6798,-0.011,27,189,6/8,-51108
CC,0.75,p1old,710,51.4,127653,0.108,68549,0.056,16,187,6/8,-46633
CC,0.75,p1new,710,53.9,111104,0.098,71186,0.063,11,182,6/8,-42958
CC,0.5,hold,710,46.9,104265,0.124,-161701,-0.221,72,310,6/8,-54293
CC,0.5,p1old,710,46.9,98746,0.133,-117750,-0.144,72,310,6/8,-48007
CC,0.5,p1new,710,54.1,66599,0.082,-16365,-0.019,26,280,5/8,-37180
ALL,1.0,hold,4757,46.5,22929,0.013,-620797,-0.071,122,869,4/8,-169355
ALL,1.0,p1old,4757,48.7,-18117,0.01,-215732,-0.016,46,836,4/8,-143149
ALL,1.0,p1new,4757,48.7,-18117,0.01,-215732,-0.016,46,836,4/8,-143149
ALL,0.75,hold,4757,45.3,-44047,0.002,-902869,-0.145,201,1472,4/8,-169294
ALL,0.75,p1old,4757,46.9,-44150,0.006,-399720,-0.056,106,1433,4/8,-137290
ALL,0.75,p1new,4757,49.0,-130537,-0.008,-382033,-0.053,77,1390,4/8,-155432
ALL,0.5,hold,4757,40.9,-216010,-0.038,-1372804,-0.331,350,2296,3/8,-121984
ALL,0.5,p1old,4757,40.9,-218270,-0.032,-1114664,-0.257,347,2296,3/8,-116877
ALL,0.5,p1new,4757,48.2,-328595,-0.059,-699385,-0.153,143,2083,3/8,-123817
