set,stop,exit,n,WR,pnl,pnl_per_risk,pnl_ex_tail,per_risk_ex_tail,tail_n,stops,green,worst
CC,1.0,hold,26,42.3,-2273,-0.172,-2273,-0.172,0,4,0/2,-1191
CC,1.0,p1old,26,42.3,-2107,-0.179,-2107,-0.179,0,4,0/2,-1273
CC,1.0,p1new,26,42.3,-2107,-0.179,-2107,-0.179,0,4,0/2,-1273
CC,0.75,hold,26,34.6,-8392,-0.303,-8861,-0.396,1,9,0/2,-7063
CC,0.75,p1old,26,34.6,-8226,-0.311,-8226,-0.311,0,9,0/2,-7145
CC,0.75,p1new,26,46.2,-5605,-0.152,-5605,-0.152,0,8,0/2,-4222
CC,0.5,hold,26,42.3,-6252,-0.258,-6720,-0.39,1,13,0/2,-3839
CC,0.5,p1old,26,42.3,-6086,-0.271,-6473,-0.382,1,13,0/2,-3921
CC,0.5,p1new,26,57.7,-2182,-0.058,-2492,-0.141,1,10,1/2,-2263
ALL,1.0,hold,246,36.2,-60909,-0.118,-85663,-0.201,7,53,0/2,-33807
ALL,1.0,p1old,246,40.7,-55872,-0.105,-56162,-0.115,1,49,0/2,-36524
ALL,1.0,p1new,246,40.7,-55872,-0.105,-56162,-0.115,1,49,0/2,-36524
ALL,0.75,hold,246,35.0,-71840,-0.161,-91084,-0.321,13,86,0/2,-47129
ALL,0.75,p1old,246,38.2,-56141,-0.128,-62976,-0.179,5,82,0/2,-38440
ALL,0.75,p1new,246,42.3,-59105,-0.133,-59904,-0.155,2,80,0/2,-41112
ALL,0.5,hold,246,35.0,-60790,-0.224,-83015,-0.443,13,126,0/2,-39976
ALL,0.5,p1old,246,35.8,-48950,-0.184,-66592,-0.352,13,126,0/2,-32100
ALL,0.5,p1new,246,43.1,-37288,-0.163,-46964,-0.269,9,113,0/2,-23477
