set,stop,exit,n,WR,pnl,pnl_per_risk,pnl_ex_tail,per_risk_ex_tail,tail_n,stops,green,worst
CC,1.0,hold,177,50.8,94611,0.211,3644,0.002,12,24,5/6,-18994
CC,1.0,p1old,177,52.5,64375,0.144,31901,0.078,5,24,5/6,-18994
CC,1.0,p1new,177,52.5,64375,0.144,31901,0.078,5,24,5/6,-18994
CC,0.75,hold,177,48.6,66153,0.187,-30391,-0.113,14,50,4/6,-19097
CC,0.75,p1old,177,50.3,49008,0.139,-2236,-0.017,10,48,5/6,-19097
CC,0.75,p1new,177,52.0,43524,0.114,-466,-0.022,9,48,4/6,-19097
CC,0.5,hold,177,44.6,46292,0.209,-65535,-0.371,22,90,4/6,-21103
CC,0.5,p1old,177,44.6,31169,0.139,-49391,-0.288,22,90,4/6,-13964
CC,0.5,p1new,177,53.7,37055,0.142,-16051,-0.108,13,76,4/6,-13686
ALL,1.0,hold,2634,35.3,-522349,-0.091,-877480,-0.194,69,452,4/6,-537236
ALL,1.0,p1old,2634,37.8,-518534,-0.095,-637265,-0.131,27,434,3/6,-515898
ALL,1.0,p1new,2634,37.8,-518534,-0.095,-637265,-0.131,27,434,3/6,-515898
ALL,0.75,hold,2634,34.4,-680615,-0.15,-1104672,-0.318,102,920,3/6,-656939
ALL,0.75,p1old,2634,36.1,-646841,-0.151,-839142,-0.23,59,896,3/6,-609520
ALL,0.75,p1new,2634,39.1,-639943,-0.151,-796822,-0.215,47,867,2/6,-585434
ALL,0.5,hold,2634,31.7,-747889,-0.27,-1197940,-0.524,145,1597,2/6,-647606
ALL,0.5,p1old,2634,31.8,-674082,-0.252,-1018146,-0.443,144,1597,1/6,-595137
ALL,0.5,p1new,2634,40.8,-596355,-0.23,-758319,-0.326,68,1431,2/6,-508737
