day,next_day,symbol,close,pb,ab,sp_1555,sp_0930,sp_0931,rt_pct,open_cross_pct,err
2026-05-20,2026-05-21,CSTE,1.7400000095367432,<5,<1M,0.010000000000000009,0.17230769230769222,,,9.902740882947889,
2026-01-09,2026-01-12,FLNT,3.1500000953674316,<5,<1M,0.04142857142857156,0.14294117647058824,,,4.537814988666369,
2025-04-15,2025-04-16,GAIA,3.950000047683716,<5,<1M,,0.19500000000000028,,,4.936708801164407,
2025-12-08,2025-12-09,MGN,2.1500000953674316,<5,<1M,0.048333333333333194,0.13428571428571434,,,6.245846899033049,
2025-04-09,2025-04-10,LIQT,1.600000023841858,<5,<1M,,0.14000000000000012,,,8.74999986961485,
2025-06-25,2025-06-26,OBIO,3.0899999141693115,<5,<1M,0.029999999999999805,0.15269230769230774,0.08500000000000019,1.860841475636668,4.941498768078645,
2026-01-08,2026-01-09,CCEL,3.609999895095825,<5,<1M,0.08000000000000007,0.2972727272727273,0.3599999999999999,6.094183002577628,8.234701825797044,
2026-01-27,2026-01-28,NWGL,1.2599999904632568,<5,<1M,0.016250000000000014,0.04842105263157899,0.040000000000000036,2.2321428740375997,3.842940714132569,
2026-01-27,2026-01-28,AIXC,2.1700000762939453,<5,<1M,0.029999999999999805,0.05,0.02666666666666684,1.3056835178422053,2.304147384427422,
2025-03-26,2025-03-27,OXBR,2.1050000190734863,<5,<1M,0.033333333333333215,0.08809523809523818,0.09666666666666683,3.087885957768766,4.185046902470491,
2025-11-26,2025-11-28,IHT,1.2799999713897705,<5,<1M,0.03500000000000003,0.03764705882352944,0.050000000000000044,3.3203125742147725,2.941176536328656,
2026-03-02,2026-03-03,XELB,1.600000023841858,<5,<1M,0.08999999999999986,0.19857142857142876,0.09714285714285723,5.848214198569101,12.410714100780245,
2025-12-23,2025-12-24,IZEA,4.440000057220459,<5,<1M,,0.022222222222222438,0.020000000000000462,,0.5005004940503098,
2025-10-27,2025-10-28,NAAS,3.4700000286102295,<5,<1M,,0.26000000000000006,,,7.4927953272707235,
2025-08-13,2025-08-14,SNT,4.309999942779541,<5,<1M,,0.24294117647058838,,,5.636686303849795,
