cell,n,mean_pct,t,p1,p5,p50,p95,p99,lt_m5,lt_m10,worst,worst_key,net_PRE,n_PRE,net_2025H1,n_2025H1,net_2025H2,n_2025H2,net_2026,n_2026
A1 whole panel,16551885,0.061593945352867344,40.87083386839032,-4.651164131164551,-1.9093060493469238,0.0,2.029390811920166,5.038756923675537,0.8584158239378777,0.1732249831363618,-99.97272491455078,AQB 2017-01-06,0.06373235720974212,13245624,0.026413968516492133,1061383,0.10201030543096634,1211319,0.022948570553532867,1033559
A2 price <5,1821886,0.2172855809890139,46.870049659081936,-7.894736361503601,-3.644782781600952,0.0,4.306879162788391,9.803921699523926,2.714165430767897,0.5717152445323144,-90.0157241821289,MGN 2026-03-25,0.23232524138550611,1406420,0.17269632065868074,140791,0.22937416294196503,154260,0.07827385258533609,120415
A3 price 5-20,4287515,0.06631537317018887,12.361223427011634,-5.103269510269165,-2.1060915708541867,0.0,2.2661042451858515,5.529903907775985,1.0450575683117143,0.21725871512985961,-92.28346252441406,KALA 2025-09-26,0.06932047741406258,3530402,0.04169266179144214,247453,0.10218430916723814,271630,0.006409725483537209,238030
A4 price 20-50,6085770,0.035286734963748366,55.95168487129696,-3.5469825077056885,-1.4989309310913086,0.0,1.5787082493305191,3.6505623149871678,0.47496044050300945,0.08837008299689275,-99.97272491455078,AQB 2017-01-06,0.03481567779192909,4788195,0.006815653476005391,417012,0.077461018549875,475169,0.02070433875376431,405394
A5 price 50-200,3846901,0.028141970082512346,43.81528361786007,-3.3403494358062744,-1.42063307762146,0.030478831380605698,1.4568194150924683,3.293732166290283,0.42499144116263976,0.07876469916953932,-95.1910400390625,BHVN 2022-10-03,0.029408598023517998,3132814,-0.03413720965142972,219341,0.0769988153972641,264953,0.013987927439653313,229793
A6 price >=200,509813,0.031956539124530114,16.9864243440169,-3.5366210079193117,-1.5214821577072142,0.05019564926624298,1.5330311059951778,3.574854459762574,0.5048910090562618,0.10454813823892291,-95.0246810913086,NRGU 2025-02-19,0.0357481960932584,387793,-0.053015939742722486,36786,0.0710551797852743,45307,0.029050672525997173,39927
A7 ADV$ <1M,5795704,0.07914453898510117,52.94274329886541,-5.0,-2.1176507472991943,0.0,2.3103796601295445,5.660678544044471,1.0011035760280373,0.17276589694711808,-99.95999908447266,BBB 2017-06-02,0.0809193717350369,4514462,0.08542569054352148,409903,0.08855168436786635,472879,0.04141046436117874,398460
A8 ADV$ 1-10M,4777586,0.06768601778106828,14.207749034984879,-4.109589171409607,-1.6722391843795776,0.024150533601641655,1.8181800842285156,4.516130328178407,0.6787528262180942,0.15543414603107092,-92.28346252441406,KALA 2025-09-26,0.07184412654476702,3871831,0.015175581682574312,293797,0.11171927164939224,330264,0.013674628210117768,281694
A9 ADV$ 10-100M,4005235,0.042312423947392645,38.16725821803166,-4.617851448059081,-1.894312858581543,0.0351254977285862,1.9591591954231258,4.800722122192383,0.8517852260853607,0.1893521853274527,-99.97272491455078,AQB 2017-01-06,0.04448846783533985,3292801,-0.033807446021122234,229749,0.11433914477698695,261452,0.003853669153943104,221233
A10 ADV$ >=100M,1973360,0.0344339637609559,22.171774426042017,-4.7244061803817745,-1.9192585945129395,0.043688200414180756,1.948719716072072,4.822914471626279,0.8877751652004704,0.18491304171565248,-95.1910400390625,BHVN 2022-10-03,0.034603501861827334,1566530,-0.028704043808601188,127934,0.10156305444162349,146724,0.01901816191347938,132172
A11 wrapper,743878,0.05149472016362678,12.296063997000852,-7.34956591129303,-3.3666965126991273,0.0,3.497133815288545,7.74652239322662,2.374986220858797,0.4391849201078672,-95.0246810913086,NRGU 2025-02-19,0.03852797027282399,564735,0.015040732522733174,49773,0.13613470951921755,64583,0.10815573848336064,64787
A12 common,8351577,0.07486060254566002,26.20253544005685,-5.0434876060485845,-2.137770891189575,0.0,2.3208203315734863,5.645153999328613,1.0221422852234974,0.22083254456014711,-99.97272491455078,AQB 2017-01-06,0.07821865358400913,6933874,0.012464003045808726,472474,0.12782204441043152,521931,0.024197121623682857,423298
"A13 common,>=$20,ADV$>=10M",3310743,0.030551831663965693,37.147697736330905,-3.8719189739227295,-1.64940185546875,0.04533195495605469,1.6826024055480957,3.9008884382247975,0.5983249077321918,0.12882304666958444,-99.97272491455078,AQB 2017-01-06,0.03455169636109022,2757848,-0.0547241511560077,179816,0.07372035200535516,202208,0.0046489406545443986,170871
A14 A13 leg(b) marketable,3310743,-0.3371649923204387,-409.95588610696825,-3.8719189739227295,-1.64940185546875,0.04533195495605469,1.6826024055480957,3.9008884382247975,0.5983249077321918,0.12882304666958444,-99.97272491455078,AQB 2017-01-06,-0.3331651276233141,2757848,-0.42244097514041207,179816,-0.29399647197904916,202208,-0.36306788332985995,170871
A15 A13 ex-top5%,3145205,-0.13852748429711054,-211.20749680007947,-3.8719189739227295,-1.64940185546875,0.04533195495605469,1.6826024055480957,3.9008884382247975,0.5983249077321918,0.12882304666958444,-99.97272491455078,AQB 2017-01-06,-0.12789320374095045,2757848,-0.2661282287344999,179816,-0.0958272743001776,202208,-0.21341533811630184,170871
A16 A13 2016-2024,2757848,0.03455169636109022,39.584726651839595,-3.743220837116241,-1.5893960535526275,0.05137375369668007,1.6336629390716553,3.7485983967780956,0.5683779526645413,0.12411851559621849,-99.97272491455078,AQB 2017-01-06,0.03455169636109022,2757848,,0,,0,,0
d1 A1 ex-top5%,15724324,-0.16781204715763567,-494.14785184548856,-4.651164131164551,-1.9093060493469238,0.0,2.029390811920166,5.038756923675537,0.8584158239378777,0.1732249831363618,-99.97272491455078,AQB 2017-01-06,-0.1566657179516034,13245624,-0.25228850443372824,1061383,-0.14066153836607145,1211319,-0.2498064111314306,1033559
d2 A2 ex-top5%,1730794,-0.2782721340249668,-152.15706172824665,-7.894736361503601,-3.644782781600952,0.0,4.306879162788391,9.803921699523926,2.714165430767897,0.5717152445323144,-90.0157241821289,MGN 2026-03-25,-0.24835020618683223,1406420,-0.3714973238207127,140791,-0.317576260324925,154260,-0.466120528578508,120415
d3 A7 ex-top5%,5505920,-0.18461318550272468,-307.36679855971335,-5.0,-2.1176507472991943,0.0,2.3103796601295445,5.660678544044471,1.0011035760280373,0.17276589694711808,-99.95999908447266,BBB 2017-06-02,-0.17900332260502733,4514462,-0.2327349213633015,409903,-0.15573790330534112,472879,-0.228960188187285,398460
d4 A12 ex-top5%,7934001,-0.18629966818543636,-346.37007743771386,-5.0434876060485845,-2.137770891189575,0.0,2.3208203315734863,5.645153999328613,1.0221422852234974,0.22083254456014711,-99.97272491455078,AQB 2017-01-06,-0.173647248854583,6933874,-0.30715300095887643,472474,-0.16555640031402852,521931,-0.27594715682956034,423298
