book,split,arm,what,n_sig,n_ctrl,control_R,headline_R,share,paired,tc,mde,n_pairs
orb,TRAIN,b,matched non-signal,204,4255,0.10939766714085623,0.21611602565560242,0.5061987735939114,0.15270107102827368,0.9300290900986884,0.3459063199628466,189
orb,TRAIN,u,universe bound,204,3595,0.06960886044661521,0.21611602565560242,0.3220902301689663,0.18656344546261208,1.057210215922889,0.3657207496674059,189
orb,VAL,b,matched non-signal,136,3105,0.06619073398444743,0.4695062418246859,0.14097945477189866,0.43593554009458557,1.7220556968731093,0.6665584902524776,133
orb,VAL,u,universe bound,136,2702,0.023673294395919402,0.4695062418246859,0.05042168194381329,0.4789178790463341,1.8942598125987093,0.6667249955530032,133
bf,TRAIN,b,matched non-signal,33,629,0.14741713578921736,0.6204876274126059,0.23758271603889586,0.43733349364905555,1.234226028248253,0.8984223438359887,32
bf,TRAIN,u,universe bound,33,667,0.05639608298903831,0.6204876274126059,0.09088993961766233,0.49073036974093953,1.44758777027694,0.8692948332382234,32
bf,VAL,b,matched non-signal,15,274,0.14915681686143636,0.7215325299720718,0.20672223450162355,0.32281292535198086,0.5595504252455044,1.4982891937900773,14
bf,VAL,u,universe bound,15,303,0.015081635824863994,0.7215325299720718,0.02090222574642304,0.46794669910443726,0.9039049254247838,1.408969492356002,14
