yr,n,gross,net,ex_top5
2016,218346,0.013201947891638732,-0.0008951095818717064,-0.11750932729478615
2017,260854,0.057877304902893924,0.04376745908024132,-0.05133370418743059
2018,287651,0.038684979067494706,0.02454925846625687,-0.09566916904826848
2019,291162,0.056310114484212914,0.04222267251796122,-0.07303358682794135
2020,297393,0.09571171651240479,0.081545346871335,-0.18482725874091105
2021,368870,0.10550119632403922,0.09144863565075174,-0.06559059251671127
2022,346044,-0.05295215923572549,-0.06708534910624935,-0.24900883349871583
2023,329362,0.023144555750199754,0.008973859407303827,-0.1357836762871443
2024,358166,0.08947171354652463,0.0753470672776003,-0.08858786325341567
2025,382024,0.027450079566342437,0.013262431088178182,-0.1779277696973609
2026,170871,0.018944284640488317,0.004648940654544407,-0.21341533811630184
