n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split,tc,cost,mde,h1,h2,vgross,half_ok,note
1622,30.60377358490566,-0.10693921533680749,-0.13987097723625172,-0.03895918684147366,-3.4158001457905294,32.075471698113205,1.8867924528301887,5,-2231.432721493132,1814.8908985813755,-17345.540727630174,-18928.988592607817,-327.27435335151273,25.0,-0.21816972125039877,49.136868064118374,R1/R2 B2 shipped (pop.csv),TRAIN,-2.9931691681122707,0.06798002849533383,0.08766022312870501,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
706,30.695652173913043,0.012650779374544391,-0.02591279892455078,0.08272033029467893,0.2678074312316802,43.47826086956522,4.3478260869565215,4,-957.3728770391667,1410.7525100988917,893.1450238428342,-2940.0336675961444,38.83239234099279,40.0,-0.09302888820971138,57.082152974504254,R1/R2 B2 shipped (pop.csv),VAL,0.26162959495333094,0.07006955092013452,0.13226736123718896,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
1605,30.28301886792453,-0.11630947679769695,-0.14534394877953602,-0.0492507483807005,-3.707952982702938,30.18867924528302,1.8867924528301887,6,-2144.227961768028,1818.018848108789,-18667.671026030363,-19857.6773135664,-352.2202080383087,25.0,-0.22785835126648038,42.74143302180685,R2b B2 rebuilt (this pass),TRAIN,-3.277856411096697,0.06705872841699646,0.08782919755259533,-0.0803131788920451,-0.01988263226088379,0.0884593110259908,False,
698,30.347826086956523,0.01901486346286497,-0.01519678048927047,0.0884593110259908,0.40110902348548105,43.47826086956522,4.3478260869565215,4,-909.2894982423521,1376.8659400700426,1327.237469707974,-2202.3172999011417,57.70597694382496,60.0,-0.08444824361124403,50.0,R2b B2 rebuilt (this pass),VAL,0.38967104213281933,0.06944444756312584,0.13273602581505897,-0.0803131788920451,-0.01988263226088379,0.0884593110259908,False,
1163,21.943396226415093,-0.05574071023677334,-0.071184487457526,0.004989982680672114,-1.42005972945758,35.84905660377358,7.547169811320755,6,-1760.1829116996296,2212.8932114271433,-6482.644600536737,-9040.229246127317,-122.31404906673089,33.33333333333333,-0.16488004134635645,21.92605331040413,F10 dollar_frac>=p50 (24.4%),TRAIN,-1.2825123440640112,0.060730692917445435,0.10990663661913777,-0.009884298088380337,0.015041910174455386,-0.007789097824078945,False,
629,27.347826086956523,-0.07275591801484839,-0.09345399779514302,-0.007789097824078945,-1.4158195145443455,26.08695652173913,4.3478260869565215,12,-995.6144320097228,1181.5079387312328,-4576.3472431339615,-6466.628296488491,-198.97161926669398,40.0,-0.18301333749582566,27.503974562798096,F10 dollar_frac>=p50 (24.4%),VAL,-1.2837878228466288,0.06496682019076942,0.14388597441188522,-0.009884298088380337,0.015041910174455386,-0.007789097824078945,False,
977,18.433962264150942,-0.05203299123309823,-0.06506639250494908,0.00738652572039643,-1.213315239653118,30.18867924528302,7.547169811320755,8,-1459.401279679602,1869.2170661544114,-5083.6232434736985,-6730.89673179943,-95.91741968818299,25.0,-0.15962460541698786,18.62845445240532,F10 dollar_frac>=p60 (30.3%),TRAIN,-1.119090814212644,0.05941951695349468,0.12007792426173425,-0.01864027389395518,0.02438541683907616,0.02763751720203183,False,
556,24.17391304347826,-0.035504475289632895,-0.052760032212888934,0.02763751720203183,-0.6362372863815411,34.78260869565217,4.3478260869565215,6,-924.5628768239056,1203.7775842678118,-1974.0488261035894,-3792.2714417247607,-85.82820983059084,20.0,-0.14267058419771797,22.302158273381295,F10 dollar_frac>=p60 (30.3%),VAL,-0.5870925148005285,0.06314199249166474,0.15625071484942182,-0.01864027389395518,0.02438541683907616,0.02763751720203183,False,
772,14.566037735849056,-0.027899541162594303,-0.037184831712727656,0.030462253036513703,-0.5770696863197039,33.9622641509434,7.547169811320755,6,-1048.6163087322384,1831.3996236887822,-2153.844577752279,-4080.7051540814336,-40.638576938722245,25.0,-0.1351121647784993,13.730569948186528,F10 dollar_frac>=p70 (37.3%),TRAIN,-0.5414010498521995,0.058361794199107996,0.1353713721361293,-0.014564120021223865,0.0584618463665354,0.010293717706049947,False,
458,19.91304347826087,-0.051979116771546235,-0.06506218923803397,0.010293717706049947,-0.8544786866792695,34.78260869565217,4.3478260869565215,8,-1199.2605891081716,960.9521907045695,-2380.6435481368185,-4278.167382059662,-103.50624122333993,40.0,-0.15966453132980948,15.72052401746725,F10 dollar_frac>=p70 (37.3%),VAL,-0.8566938112442629,0.0622728344775962,0.17032786098614394,-0.014564120021223865,0.0584618463665354,0.010293717706049947,False,
558,10.528301886792454,0.008787429246512716,0.006216639758364572,0.06452019620552486,0.15322019706918424,37.735849056603776,7.547169811320755,5,-628.3852463625431,1783.0668550692078,490.33855195540957,-2126.009212913067,9.2516707916115,33.33333333333333,-0.09577554021648059,3.405017921146954,F10 dollar_frac>=p80 (46.1%),TRAIN,0.14122355860020797,0.05573276695901216,0.1605845858501649,-0.023958677096121362,0.12125076791069803,0.09608419556108493,False,
343,14.91304347826087,0.03424230745392752,0.03028176375475592,0.09608419556108493,0.4795829767245132,60.86956521739131,4.3478260869565215,4,-956.735598882883,1155.3167386989417,1174.5111456697136,-2608.9090636231317,51.06570198563973,60.0,-0.07375584299282929,4.664723032069971,F10 dollar_frac>=p80 (46.1%),VAL,0.45433675336702894,0.06184188810715744,0.19992048409606603,-0.023958677096121362,0.12125076791069803,0.09608419556108493,False,
302,5.69811320754717,0.0008746631816200453,0.0008746631816200453,0.05568416504282384,0.01131949917757027,39.62264150943396,11.320754716981133,5,-979.7065883795638,1409.525271353421,26.414828084925034,-2049.995356330894,0.4983929827344346,41.66666666666667,-0.11027959574881484,0.0,F10 dollar_frac>=p90 (64.1%),TRAIN,0.010015940108266298,0.05480950186120383,0.21635735557885494,0.013574405571059517,0.08306701409823346,0.11630142869877126,True,
185,8.043478260869565,0.05465920678598246,0.05442925405232484,0.11630142869877126,0.5576931420704309,47.82608695652174,8.695652173913043,3,-472.392993456455,736.6543863445548,1011.1953255406753,-964.6866951237519,43.965014153942406,80.0,-0.05541022703324903,1.0810810810810811,F10 dollar_frac>=p90 (64.1%),VAL,0.512271852851366,0.0616422219127888,0.2744265034936054,0.013574405571059517,0.08306701409823346,0.11630142869877126,True,
