cell,split,obs,mu,p5,p95,outside
R1/R2 B2 shipped (pop.csv),TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
R1/R2 B2 shipped (pop.csv),VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
R2b B2 rebuilt (this pass),TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
R2b B2 rebuilt (this pass),VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
R3 consol_bars>=20 (ge20),TRAIN,33.9622641509434,42.38396226415095,35.84905660377358,49.056603773584904,below
R3 consol_bars>=20 (ge20),VAL,47.82608695652174,43.571739130434786,34.78260869565217,52.17391304347826,inside
R4 C1 = ge20 x spy_r5>0,TRAIN,43.39622641509434,49.19622641509434,41.509433962264154,56.60377358490566,inside
R4 C1 = ge20 x spy_r5>0,VAL,47.82608695652174,49.9804347826087,39.130434782608695,60.86956521739131,inside
F11-a1 hl_n20>=12,TRAIN,33.9622641509434,31.24245283018868,24.528301886792452,37.735849056603776,inside
F11-a1 hl_n20>=12,VAL,47.82608695652174,47.42173913043479,39.130434782608695,56.52173913043478,inside
F11-a2 hl_n20>=16,TRAIN,45.28301886792453,42.47264150943396,35.84905660377358,49.056603773584904,inside
F11-a2 hl_n20>=16,VAL,39.130434782608695,40.06739130434783,30.434782608695656,52.17391304347826,inside
F11-a3 lo_slope20>0,TRAIN,32.075471698113205,28.66320754716981,22.641509433962266,35.84905660377358,inside
F11-a3 lo_slope20>0,VAL,39.130434782608695,38.273913043478274,30.434782608695656,47.82608695652174,inside
F11-b1 atr_ratio<=0.8,TRAIN,33.9622641509434,33.823584905660375,26.41509433962264,39.62264150943396,inside
F11-b1 atr_ratio<=0.8,VAL,39.130434782608695,32.27608695652174,21.73913043478261,43.47826086956522,inside
F11-b2 atr_ratio<=0.6,TRAIN,24.528301886792452,35.55849056603773,30.18867924528302,41.509433962264154,below
F11-b2 atr_ratio<=0.6,VAL,34.78260869565217,33.219565217391306,21.73913043478261,43.47826086956522,inside
F11-c1 break_m>=590 [clock],TRAIN,39.62264150943396,33.85943396226415,26.41509433962264,41.509433962264154,inside
F11-c1 break_m>=590 [clock],VAL,39.130434782608695,46.082608695652176,34.78260869565217,56.52173913043478,inside
F11-c2 break_m>=600 [clock],TRAIN,32.075471698113205,28.684905660377357,22.641509433962266,35.84905660377358,inside
F11-c2 break_m>=600 [clock],VAL,39.130434782608695,31.26086956521739,21.73913043478261,43.47826086956522,inside
F11-d1 price>=37.4 [filter],TRAIN,37.735849056603776,34.051886792452834,28.30188679245283,41.509433962264154,inside
F11-d1 price>=37.4 [filter],VAL,52.17391304347826,36.493478260869566,26.08695652173913,47.82608695652174,ABOVE
F11-d2 spread/R<=0.0932 [filter],TRAIN,30.18867924528302,29.634905660377356,22.641509433962266,35.84905660377358,inside
F11-d2 spread/R<=0.0932 [filter],VAL,52.17391304347826,46.039130434782614,34.78260869565217,56.52173913043478,inside
