n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split,tc,cost,mde,big_range,med_px,med_spr,h1,h2,vgross,half_ok,note
1622,30.60377358490566,-0.10693921533680749,-0.13987097723625172,-0.03895918684147366,-3.4158001457905294,32.075471698113205,1.8867924528301887,5,-2231.432721493132,1814.8908985813755,-17345.540727630174,-18928.988592607817,-327.27435335151273,25.0,-0.21816972125039877,49.136868064118374,R1/R2 B2 shipped (pop.csv),TRAIN,-2.9931691681122707,0.06798002849533383,0.08766022312870501,0.0,37.105000000000004,0.08787253031328189,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
706,30.695652173913043,0.012650779374544391,-0.02591279892455078,0.08272033029467893,0.2678074312316802,43.47826086956522,4.3478260869565215,4,-957.3728770391667,1410.7525100988917,893.1450238428342,-2940.0336675961444,38.83239234099279,40.0,-0.09302888820971138,57.082152974504254,R1/R2 B2 shipped (pop.csv),VAL,0.26162959495333094,0.07006955092013452,0.13226736123718896,0.0,40.4,0.09332058321902506,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
1622,30.60377358490566,-0.10693921533680749,-0.13987097723625172,-0.03895918684147366,-3.4158001457905294,32.075471698113205,1.8867924528301887,5,-2231.432721493132,1814.8908985813755,-17345.540727630174,-18928.988592607817,-327.27435335151273,25.0,-0.21816972125039877,49.136868064118374,R2b B2 rebuilt (this pass),TRAIN,-2.9931691681122707,0.06798002849533383,0.08766022312870501,63.68680641183724,37.105000000000004,0.08787253031328189,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
706,30.695652173913043,0.012650779374544391,-0.02591279892455078,0.08272033029467893,0.2678074312316802,43.47826086956522,4.3478260869565215,4,-957.3728770391667,1410.7525100988917,893.1450238428342,-2940.0336675961444,38.83239234099279,40.0,-0.09302888820971138,57.082152974504254,R2b B2 rebuilt (this pass),VAL,0.26162959495333094,0.07006955092013452,0.13226736123718896,66.43059490084985,40.4,0.09332058321902506,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
1411,26.62264150943396,-0.0407433253624097,-0.06718735437626283,0.028407407193753516,-1.1032598247175978,33.9622641509434,1.8867924528301887,7,-1612.0937602399822,2110.4422821771823,-5748.883208636012,-9690.455900378027,-108.46949450256626,33.33333333333333,-0.14806215289387123,25.8681785967399,R3 consol_bars>=20 (ge20),TRAIN,-0.9105037443001948,0.06915073255616323,0.10340384781431577,54.783841247342316,37.37,0.09321305841924604,0.0051598100284874,0.049487323001717785,0.05029666048441367,True,
714,31.043478260869566,-0.022816337251422746,-0.05401306646713132,0.05029666048441367,-0.44467740756962104,47.82608695652174,4.3478260869565215,5,-1843.3578001703734,1534.3115433068963,-1629.0864797515846,-6505.666305530678,-70.82984694572107,60.0,-0.1293619644725048,30.672268907563026,R3 consol_bars>=20 (ge20),VAL,-0.40342650723903334,0.07311299773583642,0.1436676188546444,52.94117647058824,42.2,0.10311073785037633,0.0051598100284874,0.049487323001717785,0.05029666048441367,True,
731,13.79245283018868,0.03270350684022931,0.00834584594251633,0.10049983193877617,0.6263549891218123,43.39622641509434,5.660377358490567,5,-1571.0656169531362,2026.6408970201503,2390.6263500207633,-4116.245218075008,45.10615754756157,50.0,-0.0713585882938692,23.93980848153215,R4 C1 = ge20 x spy_r5>0,TRAIN,0.542581145892718,0.06779632509854683,0.14619476294270203,54.44596443228454,38.095,0.09154105581939519,0.1229303383974849,0.08162882650500097,0.12261085833842575,True,
368,16.0,0.04963931852678178,0.019902483052144437,0.12261085833842575,0.6879878525174754,47.82608695652174,8.695652173913043,4,-1066.5606654048047,1214.813796374362,1826.7269217855703,-3290.4485423692836,79.42290964285088,60.0,-0.05561617501066977,30.16304347826087,R4 C1 = ge20 x spy_r5>0,VAL,0.663986584232998,0.07297153981164393,0.2020240493584275,53.2608695652174,42.055,0.10327902622786872,0.1229303383974849,0.08162882650500097,0.12261085833842575,True,
1615,30.471698113207548,-0.11248448854281551,-0.1479912963316367,-0.04210143627908181,-3.345113848376347,33.9622641509434,1.8867924528301887,7,-1861.0576162796874,1281.9235996092032,-18166.244899664704,-19114.66995248242,-342.7593377295227,0.0,-0.2231199704255175,42.1671826625387,F11-a1 hl_n20>=12,TRAIN,-2.8772563817786216,0.0703830522637337,0.09415421483270507,64.08668730650155,37.18,0.0911804534872725,-0.08411229357963107,-0.0031486485433696596,0.0738873708150613,False,
767,33.34782608695652,0.0010506652101605091,-0.042320809606384034,0.0738873708150613,0.021399777476671485,47.82608695652174,4.3478260869565215,5,-1575.7409990017193,1278.9256801400643,80.58602161931094,-4934.463140432846,3.5037400704048234,40.0,-0.1050257169627557,51.499348109517605,F11-a1 hl_n20>=12,VAL,0.01998078187751476,0.07283670560490078,0.13747164388304667,68.83963494132985,39.87,0.10094015134143623,-0.08411229357963107,-0.0031486485433696596,0.0738873708150613,False,
