wk,band,cut,pnl,n,fpnl,fn,L,yr
2025-05-17/2025-05-23,"(636.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-1174.443172444906,39,20,2025
2025-05-24/2025-05-30,"(636.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-1539.1789939056007,24,20,2025
2025-05-31/2025-06-06,"(634.5999999999999, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,466.7807177344244,38,20,2025
2025-06-07/2025-06-13,"(634.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-907.8385209627116,35,20,2025
2025-06-14/2025-06-20,"(634.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-392.5879639424549,31,20,2025
2025-06-21/2025-06-27,"(637.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,751.6986563124307,31,20,2025
2025-06-28/2025-07-04,"(639.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,210.3475984482477,26,20,2025
2025-07-05/2025-07-11,"(644.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-2135.8836546633593,31,20,2025
2025-07-12/2025-07-18,"(641.5999999999999, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-1337.237606474159,39,20,2025
2025-07-19/2025-07-25,"(648.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-98.46973470435343,30,20,2025
2025-07-26/2025-08-01,"(648.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-1427.1119204178879,29,20,2025
2025-08-02/2025-08-08,"(648.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,9.84685325546242,26,20,2025
2025-08-09/2025-08-15,"(646.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-644.1254554580457,34,20,2025
2025-08-16/2025-08-22,"(643.5999999999999, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,29.627925813212183,30,20,2025
2025-08-23/2025-08-29,"(634.2, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-444.08712178434814,23,20,2025
2025-08-30/2025-09-05,"(587.0, 628.0)","('dollar_frac', 18.237281417678265)",-505.32964876737265,7,-487.20020600958026,25,20,2025
2025-09-06/2025-09-12,"(587.0, 628.0)","('dollar_frac', 18.248099495500227)",36.78856455188185,14,1811.0841133884553,33,20,2025
2025-09-13/2025-09-19,"(577.0, 613.0)","('dollar_frac', 16.196805668403147)",973.3365416838606,15,1814.890898581376,30,20,2025
2025-09-20/2025-09-26,"(580.0, 614.0)","('consol_bars', 6.0)",-385.7112112353075,18,-1196.2367657697328,36,20,2025
2025-09-27/2025-10-03,"(581.0, 614.1999999999999)","('consol_bars', 6.0)",-254.34265580250957,16,-1118.6501389008954,34,20,2025
2025-10-04/2025-10-10,"(583.0, 616.0)","(None, None)",-1106.3934599338975,26,-51.5623413223133,44,20,2025
2025-10-11/2025-10-17,"(597.6, 839.0)","('spy_r5_pct', 0.0)",-1073.0734793890206,28,-2017.8387236076512,49,20,2025
2025-10-18/2025-10-24,"(598.0, 839.0)","('spy_r5_pct', 0.0)",588.2215256636626,28,590.4978264829261,33,20,2025
2025-10-25/2025-10-31,"(597.0, 839.0)","('spy_r5_pct', 0.0)",-217.31812808892857,5,-366.61528262748743,24,20,2025
2025-11-01/2025-11-07,"(583.0, 615.0)","(None, None)",555.7650712754271,18,-386.0596136115813,31,20,2025
2025-11-08/2025-11-14,"(582.0, 613.0)","(None, None)",-646.9191026496052,21,-462.04599692167926,33,20,2025
2025-11-15/2025-11-21,"(581.0, 613.0)","(None, None)",390.23271072760076,20,1379.2314599152567,47,20,2025
2025-11-22/2025-11-28,"(577.0, 594.0)","('rv_profile', 3.7842950720738924)",876.711194340101,13,1271.9825469003786,18,20,2025
2025-11-29/2025-12-05,"(577.0, 594.0)","('rv_profile', 3.7746200000082943)",55.13648684203537,16,784.8128834318237,27,20,2025
2025-12-06/2025-12-12,"(602.0, 839.0)","('consol_bars', 18.0)",241.62643636609258,20,-705.9389842542947,41,20,2025
2025-12-13/2025-12-19,"(602.0, 713.0)","('spy_r5_pct', -0.0282100011877783)",-1526.395132820757,25,-645.205394411576,34,20,2025
2025-12-20/2025-12-26,"(602.0, 839.0)","('consol_bars', 17.0)",354.8474031477118,6,232.37298088882017,22,20,2025
2025-12-27/2026-01-02,"(603.0, 839.0)","('consol_bars', 17.220000000000027)",49.850847628277776,7,-687.7927520595703,19,20,2025
2026-01-03/2026-01-09,"(612.0, 839.0)","('consol_bars', 21.0)",536.8306752894975,21,-100.01811037209177,32,20,2026
2026-01-10/2026-01-16,"(611.0, 839.0)","('consol_bars', 21.0)",-384.1389691325488,23,-125.91185247657216,32,20,2026
2026-01-17/2026-01-23,"(612.0, 839.0)","('consol_bars', 21.0)",-542.4069269824491,26,-764.5510477706639,34,20,2026
2026-01-24/2026-01-30,"(613.0, 839.0)","('consol_bars', 22.0)",-50.722542859920026,20,-55.238562090475426,46,20,2026
2026-01-31/2026-02-06,"(612.0, 839.0)","('consol_bars', 21.0)",-748.124237469283,31,193.53340714732764,33,20,2026
2026-02-07/2026-02-13,"(611.0, 839.0)","('spy_r5_pct', 0.0)",-342.8391066292753,18,444.6835312748079,31,20,2026
2026-02-14/2026-02-20,"(610.0, 839.0)","('spy_r5_pct', 0.0)",-1843.5310403757367,25,-957.3728770391667,33,20,2026
2026-02-21/2026-02-27,"(577.0, 592.0)","('rv_profile', 3.7285341261686535)",-25.832680604036355,20,215.573140246508,29,20,2026
2026-02-28/2026-03-06,"(577.0, 591.0)","('consol_bars', 3.0)",126.9864358336147,15,751.7714552449631,39,20,2026
2026-03-07/2026-03-13,"(577.0, 590.2)","('consol_bars', 3.0)",-374.4927039981121,17,-917.9839380586624,31,20,2026
2026-03-14/2026-03-20,"(577.0, 591.0)","('dollar_frac', 9.166004828360323)",-64.89369579320109,10,-781.5604533445161,30,20,2026
2026-03-21/2026-03-27,"(577.0, 591.0)","('dollar_frac', 8.990833176063143)",-914.5910842088323,19,-842.9583603576032,35,20,2026
2026-03-28/2026-04-03,"(577.0, 592.0)","('rv_profile', 3.5796808127666124)",694.8667668884248,11,377.62891593966134,24,20,2026
2026-04-04/2026-04-10,"(577.0, 601.0)","('spy_r5_pct', 0.0)",-142.6170541295147,4,-259.2763867212067,34,20,2026
2026-04-11/2026-04-17,"(577.0, 601.0)","('spy_r5_pct', 0.0)",508.0837549497979,18,822.3412588142696,31,20,2026
2026-04-18/2026-04-24,"(577.0, 601.0)","('spy_r5_pct', 0.0)",687.378098897988,4,-466.85891547303265,38,20,2026
2026-04-25/2026-05-01,"(577.0, 601.0)","('spy_r5_pct', 0.0)",302.45331942957614,12,1161.0995888567318,31,20,2026
2026-05-02/2026-05-08,"(577.0, 599.0)","('spy_r5_pct', 0.0)",776.9099192416477,13,1410.752510098892,36,20,2026
2026-05-09/2026-05-15,"(577.0, 599.0)","('spy_r5_pct', 0.0)",6.4982037169834825,9,-517.0586721127374,45,20,2026
2026-05-16/2026-05-22,"(577.0, 600.0)","('spy_r5_pct', 0.0)",516.1922256905348,4,1371.2578112641454,30,20,2026
2026-05-23/2026-05-29,"(577.0, 600.0)","('spy_r5_pct', 0.0)",310.5909975574987,4,-112.72229466094115,25,20,2026
2026-05-30/2026-06-05,"(None, None)","(None, None)",0.0,0,0.0,0,20,2026
2025-06-28/2025-07-04,"(632.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,210.3475984482477,26,26,2025
2025-07-05/2025-07-11,"(632.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-2135.8836546633593,31,26,2025
2025-07-12/2025-07-18,"(632.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-1337.237606474159,39,26,2025
2025-07-19/2025-07-25,"(630.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-98.46973470435343,30,26,2025
2025-07-26/2025-08-01,"(630.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-1427.1119204178879,29,26,2025
2025-08-02/2025-08-08,"(631.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,9.84685325546242,26,26,2025
2025-08-09/2025-08-15,"(630.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-644.1254554580457,34,26,2025
2025-08-16/2025-08-22,"(630.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,29.627925813212183,30,26,2025
2025-08-23/2025-08-29,"(628.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-444.08712178434814,23,26,2025
2025-08-30/2025-09-05,"(630.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-487.20020600958026,25,26,2025
2025-09-06/2025-09-12,"(630.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,1811.0841133884553,33,26,2025
2025-09-13/2025-09-19,"(631.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,1814.890898581376,30,26,2025
2025-09-20/2025-09-26,"(633.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-1196.2367657697328,36,26,2025
2025-09-27/2025-10-03,"(632.5999999999999, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-1118.6501389008954,34,26,2025
2025-10-04/2025-10-10,"(630.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-51.5623413223133,44,26,2025
2025-10-11/2025-10-17,"(581.0, 616.0)","('dollar_frac', 17.293373597219855)",527.046634995824,17,-2017.8387236076512,49,26,2025
2025-10-18/2025-10-24,"(581.0, 616.0)","('dollar_frac', 17.15554149095768)",-389.4905725192872,7,590.4978264829261,33,26,2025
2025-10-25/2025-10-31,"(581.0, 616.0)","('consol_bars', 6.0)",-358.3034756583614,22,-366.61528262748743,24,26,2025
2025-11-01/2025-11-07,"(581.0, 615.0)","('consol_bars', 6.0)",304.19823164691184,17,-386.0596136115813,31,26,2025
2025-11-08/2025-11-14,"(581.0, 614.0)","('consol_bars', 5.52000000000001)",-428.0934835204301,14,-462.04599692167926,33,26,2025
2025-11-15/2025-11-21,"(581.0, 614.0)","('consol_bars', 5.0)",-547.1021465000808,16,1379.2314599152567,47,26,2025
2025-11-22/2025-11-28,"(581.4000000000001, 614.0)","(None, None)",-1210.131323264435,20,1271.9825469003786,18,26,2025
2025-11-29/2025-12-05,"(577.0, 614.0)","('dollar_frac', 13.224269378179992)",-508.35514575256803,20,784.8128834318237,27,26,2025
2025-12-06/2025-12-12,"(577.0, 594.0)","('rv_profile', 3.7773049510415073)",78.96697058321413,12,-705.9389842542947,41,26,2025
2025-12-13/2025-12-19,"(603.0, 839.0)","('spy_r5_pct', 0.0)",-859.4615043001892,23,-645.205394411576,34,26,2025
2025-12-20/2025-12-26,"(603.0, 839.0)","('consol_bars', 18.0)",471.34956904053274,5,232.37298088882017,22,26,2025
2025-12-27/2026-01-02,"(603.0, 839.0)","('consol_bars', 18.0)",49.850847628277776,7,-687.7927520595703,19,26,2025
2026-01-03/2026-01-09,"(602.0, 839.0)","('consol_bars', 18.0)",5.313576047752548,25,-100.01811037209177,32,26,2026
2026-01-10/2026-01-16,"(602.0, 839.0)","('consol_bars', 17.0)",-604.5452134443116,25,-125.91185247657216,32,26,2026
2026-01-17/2026-01-23,"(602.0, 839.0)","('consol_bars', 17.0)",-765.1174730071253,28,-764.5510477706639,34,26,2026
2026-01-24/2026-01-30,"(602.0, 839.0)","('consol_bars', 18.0)",542.2468003164204,27,-55.238562090475426,46,26,2026
2026-01-31/2026-02-06,"(602.0, 839.0)","('consol_bars', 18.0)",-931.986089766916,34,193.53340714732764,33,26,2026
2026-02-07/2026-02-13,"(602.0, 710.0)","('spy_r5_pct', -0.0172361787391772)",-483.12579526673267,19,444.6835312748079,31,26,2026
2026-02-14/2026-02-20,"(602.0, 706.8)","('spy_r5_pct', -0.0172361787391772)",-1605.8828771352958,23,-957.3728770391667,33,26,2026
2026-02-21/2026-02-27,"(577.0, 593.0)","('dollar_frac', 10.296082833266299)",-180.17131566099246,20,215.573140246508,29,26,2026
2026-02-28/2026-03-06,"(577.0, 592.0)","('rv_profile', 3.748180027213371)",-61.14442959756129,14,751.7714552449631,39,26,2026
2026-03-07/2026-03-13,"(577.0, 592.0)","('rv_profile', 3.715831314199662)",-175.34441626522622,9,-917.9839380586624,31,26,2026
2026-03-14/2026-03-20,"(577.0, 593.0)","('dollar_frac', 9.711464803732186)",-110.11232612509224,9,-781.5604533445161,30,26,2026
2026-03-21/2026-03-27,"(577.0, 592.0)","('rv_profile', 3.611258967427277)",-407.7707876035996,16,-842.9583603576032,35,26,2026
