day,symbol,entry_m,n_sig,spread_mean,spread_med,ask_dec,bid_dec,n_dec,err
2025-01-30,TECX,581,220,0.8846363636363638,0.8249999999999993,54.3,53.68,220,
2025-02-04,PLTU,588,3874,0.08447341249354659,0.0800000000000054,50.07,50.0,3874,
2025-02-04,PTIR,588,4210,0.41894061757719736,0.4199999999999875,236.13,235.79,4210,
2025-02-05,SMCI,624,5655,0.015204244031830483,0.010000000000005116,32.7,32.68,5799,
2025-02-05,SMCX,619,1794,0.10015607580824926,0.10000000000000142,39.21,39.14,1794,
2025-02-05,WGS,592,361,1.0922991689750696,1.0900000000000034,75.39,74.5,361,
2025-02-06,AMSC,577,182,0.19648351648351686,0.1999999999999993,30.66,30.47,182,
2025-02-07,BYRN,625,101,0.4040594059405944,0.4200000000000017,31.08,30.9,101,
2025-02-07,LEU,583,102,0.9160784313725481,0.9099999999999966,101.96,100.78,102,
2025-02-10,CENX,589,137,0.03992700729927025,0.03999999999999915,21.5,21.48,137,
2025-02-11,GDS,578,417,0.11683453237410135,0.11999999999999744,33.77,33.5,418,
2025-02-12,SMCX,587,3793,0.2765040864750857,0.23000000000000398,66.6,66.43,3795,
2025-02-13,GRRR,590,97,0.09618556701030853,0.08999999999999986,27.23,27.17,97,
2025-02-13,SMCX,631,4181,0.19507773259985647,0.18999999999999773,59.51,59.31,4181,
2025-02-13,TEM,615,906,0.07482339955849936,0.06999999999999318,81.15,81.05,914,
2025-02-14,HIMS,599,2633,0.0975731105203188,0.09000000000000341,63.5,63.38,2640,
2025-02-14,NBIS,614,709,0.0747954866008462,0.07000000000000028,47.37,47.3,709,
2025-02-18,NBIS,605,2009,0.0644051767048282,0.060000000000002274,49.88,49.79,2009,
2025-02-18,SOFX,610,343,0.07145772594752133,0.07000000000000028,23.02,22.95,343,
2025-02-20,U,631,2276,0.020984182776801565,0.019999999999999574,26.47,26.45,2290,
2025-02-21,SEI,581,290,0.2582068965517239,0.25,37.22,37.1,309,
2025-02-21,U,594,1662,0.026480144404332117,0.029999999999997584,30.87,30.82,1669,
2025-02-26,LMND,593,414,0.1427536231884057,0.14999999999999858,29.06,28.9,414,
2025-02-27,SG,622,209,0.09129186602870824,0.08999999999999986,23.59,23.52,209,
2025-03-05,GRRR,589,402,0.26549751243781095,0.240000000000002,41.59,41.45,402,
2025-03-06,HIPO,619,34,0.3241176470588228,0.3249999999999993,33.7,33.43,34,
2025-03-11,CIEN,704,170,0.25217647058823456,0.25,65.51,65.2,170,
2025-03-17,HSAI,646,654,0.057217125382263326,0.05000000000000071,21.73,21.65,654,
2025-03-18,ARQQ,602,36,0.19111111111111098,0.17999999999999972,21.74,21.56,36,
2025-03-20,IMCR,582,16,0.4306249999999989,0.46000000000000085,31.47,31.03,16,
2025-03-31,CORT,577,1158,0.3924611398963739,0.3400000000000034,102.0,101.64,1170,
2025-03-31,PCVX,729,128,0.12499999999999983,0.10999999999999943,34.83,34.71,128,
2025-04-04,RH,672,486,1.0671810699588482,1.0450000000000017,147.87,146.38,486,
2025-04-04,VIXY,648,1375,0.10143272727272684,0.09999999999999432,72.29,72.18,1375,
2025-04-04,VXX,648,5991,0.04495242864296422,0.04999999999999716,73.53,73.47,6000,
2025-04-07,LABU,613,3901,0.3090284542425018,0.29999999999999716,44.96,44.78,3901,
2025-04-07,NAIL,615,158,0.7130379746835448,0.7199999999999989,56.3,55.75,158,
2025-04-07,STEP,612,260,0.45696153846153736,0.3999999999999986,44.17,42.99,260,
2025-04-09,AA,805,561,0.05274509803921564,0.05000000000000071,23.57,23.49,562,
2025-04-09,ACLX,808,98,0.6143877551020404,0.6050000000000004,55.59,54.39,98,
2025-04-09,APO,802,78,0.5376923076923102,0.5400000000000063,116.23,115.4,78,
2025-04-09,BABX,806,1282,0.09752730109204363,0.10000000000000142,21.06,20.92,1282,
2025-04-09,BWIN,806,139,0.1656834532374114,0.14000000000000057,41.09,40.84,139,
2025-04-09,HELE,805,38,0.4552631578947366,0.514999999999997,37.91,37.4,38,
2025-04-09,IONQ,816,1411,0.0404535790219698,0.03999999999999915,24.76,24.67,1411,
2025-04-09,KGS,806,358,0.11874301675977653,0.11999999999999744,31.85,31.72,360,
2025-04-09,KYMR,804,57,0.3410526315789475,0.3099999999999987,21.99,21.38,57,
2025-04-09,MU,805,5665,0.046771403353927404,0.04000000000000625,69.65,69.57,5687,
2025-04-09,NUVL,802,689,0.8148330914368648,0.8100000000000023,63.11,63.0,689,
2025-04-09,PLTR,801,5969,0.03858267716535429,0.03999999999999204,82.12,82.06,6000,
2025-04-09,SLNO,805,93,0.35817204301075434,0.37999999999999545,61.62,61.38,93,
2025-04-09,SRAD,805,55,0.14290909090909057,0.14000000000000057,21.49,21.29,55,
2025-04-09,UNFI,804,51,0.18176470588235313,0.16999999999999815,24.77,24.6,51,
2025-04-09,WGS,804,49,2.1340816326530585,2.1700000000000017,89.88,89.23,49,
2025-04-09,YINN,805,2426,0.03915910964550717,0.03999999999999915,25.57,25.54,2436,
2025-04-14,BMA,593,25,0.8079999999999978,0.8399999999999892,93.0,92.24,25,
2025-04-14,SMMT,606,248,0.07290322580645135,0.07000000000000028,25.56,25.51,248,
2025-04-16,KMTS,625,42,0.8604761904761902,0.6949999999999985,26.99,25.23,42,
2025-04-23,BNTX,626,364,0.851098901098901,0.8900000000000006,119.47,118.88,364,
2025-04-29,BHF,823,321,0.31367601246106014,0.28000000000000114,57.63,57.37,321,
2025-05-02,DUOL,610,123,2.2826829268292665,2.019999999999982,465.0,463.0,123,
2025-05-07,HRTG,589,22,0.17000000000000026,0.1700000000000017,22.39,22.3,22,
2025-05-07,RGC,699,39,19.096410256410262,19.599999999999994,201.6,180.0,39,
2025-05-08,LEU,590,106,0.632075471698113,0.7999999999999972,86.7,86.01,106,
2025-05-08,LQDT,621,65,0.22230769230769176,0.21999999999999886,27.76,27.53,65,
2025-05-09,ETHD,639,1762,0.09434165720771887,0.08999999999999986,21.4,21.32,1762,
2025-05-09,RGC,600,29,18.57793103448276,19.80000000000001,260.0,245.0,29,
2025-05-09,TTD,578,3230,0.062436532507740415,0.060000000000002274,74.28,74.25,3238,
2025-05-13,CONL,577,2360,0.03096610169491538,0.030000000000001137,24.26,24.22,2362,
2025-05-13,FSLR,577,1491,0.4394902749832314,0.4099999999999966,189.39,188.91,1502,
2025-05-13,RGTX,584,459,0.1829411764705884,0.18999999999999773,30.04,29.89,459,
2025-05-14,ETON,577,122,0.4718852459016392,0.4400000000000013,20.58,20.21,122,
2025-05-14,GLBE,607,175,0.12262857142857156,0.10999999999999943,36.88,36.69,175,
2025-05-14,NUTX,577,114,4.200789473684212,4.24499999999999,177.98,170.86,114,
2025-05-14,OKLO,577,1854,0.0801024811218985,0.07000000000000028,38.15,38.06,1855,
2025-05-15,CRWV,679,915,0.11672131147540886,0.10999999999999943,72.86,72.66,915,
2025-05-19,SOC,607,399,0.06395989974937345,0.060000000000002274,34.69,34.63,400,
2025-05-20,ARQQ,733,75,0.206,0.21000000000000085,26.65,26.4,75,
2025-05-20,NBIS,627,1942,0.05433058702368677,0.04999999999999716,40.34,40.3,1949,
2025-05-22,ARQQ,604,46,0.25434782608695666,0.23000000000000043,25.0,24.65,46,
2025-05-23,BAH,608,222,0.22067567567567584,0.23000000000000398,112.92,112.5,222,
2025-05-23,LEU,606,118,0.3900847457627116,0.40499999999999403,117.42,117.01,118,
2025-05-23,NNE,577,405,0.11525925925925924,0.10000000000000142,31.9,31.69,405,
2025-05-23,OKLO,585,1796,0.061675946547883845,0.060000000000002274,47.0,46.91,1804,
2025-05-27,SMR,614,1307,0.030420811017597263,0.030000000000001137,31.99,31.97,1308,
2025-05-29,AI,577,4035,0.032552664188351746,0.030000000000001137,29.24,29.21,4055,
2025-05-29,ELF,577,1000,0.3535400000000004,0.3500000000000085,119.78,119.61,1000,
2025-06-06,VERA,592,48,0.05166666666666601,0.03999999999999915,22.5,22.3,48,
2025-06-09,ETOR,599,252,0.5508730158730154,0.5699999999999932,74.84,74.5,252,
2025-06-11,GPCR,771,178,0.1743820224719098,0.16000000000000014,23.3,23.19,178,
2025-06-11,IONX,618,3371,0.17158706615247662,0.1700000000000017,71.32,71.14,3371,
2025-06-11,RGTX,611,2770,0.11458844765343003,0.10999999999999943,37.25,37.1,2770,
2025-06-13,ELVN,577,173,0.15653179190751407,0.15000000000000213,20.49,20.21,173,
2025-06-17,RDTL,577,1564,0.10409846547314552,0.10000000000000142,25.5,25.29,1564,
2025-06-18,ARQQ,580,238,0.2579831932773092,0.23999999999999488,36.98,36.74,238,
2025-06-18,MVLL,582,1920,0.050421874999999824,0.05000000000000071,22.29,22.26,1920,
2025-06-20,GRRR,581,731,0.14582763337893287,0.129999999999999,26.51,26.45,731,
2025-06-20,OSCR,650,1548,0.014360465116279345,0.010000000000001563,22.61,22.6,1578,
2025-06-20,QNTM,594,35,0.34485714285714225,0.35999999999999943,37.0,36.56,35,
2025-06-23,HNGE,604,238,0.4112605042016816,0.37999999999999545,45.59,45.23,238,
2025-06-24,AMBA,689,2021,0.19285007422068323,0.17999999999999972,60.61,60.15,2039,
2025-06-26,AVAV,577,356,1.1258426966292168,1.0900000000000034,255.61,254.23,356,
2025-06-26,NNNN,581,4,0.7475000000000005,0.745000000000001,33.99,33.0,4,
2025-06-26,WGMI,753,134,0.1408208955223872,0.14000000000000057,20.53,20.37,134,
2025-06-30,APPX,594,425,0.17484705882352902,0.1599999999999966,39.73,39.52,425,
2025-06-30,NNNN,674,48,0.9695833333333317,0.934999999999997,34.0,32.17,48,
2025-07-02,HOOX,587,1479,0.34417849898580044,0.3299999999999983,90.44,90.22,1479,
2025-07-02,IONL,758,1425,0.22366315789473654,0.21999999999999886,47.31,47.15,1425,
2025-07-08,FCX,779,5926,0.03199460006749942,0.030000000000001137,49.05,49.02,6000,
2025-07-09,MNTN,589,204,0.2542647058823526,0.28000000000000114,25.11,24.8,204,
2025-07-14,SBET,619,1075,0.02356279069767484,0.019999999999999574,26.39,26.37,1088,
2025-07-16,DXYZ,597,160,0.21374999999999988,0.2099999999999973,34.0,33.52,161,
2025-07-18,SBET,613,2081,0.040783277270543046,0.030000000000001137,39.73,39.71,2106,
2025-07-22,AEHR,577,636,0.10595911949685541,0.10999999999999943,21.44,21.28,636,
2025-07-23,FWRD,800,371,0.5076010781671156,0.4299999999999997,29.95,29.0,371,
2025-07-24,BE,577,4916,0.05042310821806359,0.05000000000000071,32.13,32.07,4932,
2025-07-24,HZO,614,79,0.29392405063291194,0.29999999999999716,24.5,24.1,79,
2025-07-24,TREE,631,41,0.20634146341463364,0.21000000000000085,47.8,47.43,41,
2025-07-24,VKTX,625,504,0.056865079365079826,0.04999999999999716,34.01,33.94,504,
2025-07-30,NEGG,693,12,0.5716666666666642,0.6349999999999945,49.9,49.27,12,
2025-07-30,SOFX,610,2511,0.08380326563122259,0.08000000000000185,27.07,27.0,2511,
2025-07-31,APPX,589,287,0.29540069686411247,0.28999999999999915,47.0,46.75,287,
2025-07-31,CVNA,603,717,0.591283124128312,0.5600000000000023,409.57,408.78,721,
2025-07-31,PI,592,141,0.7777304964539012,0.8199999999999932,154.84,153.52,141,
2025-07-31,SOFX,588,987,0.105309017223911,0.10000000000000142,32.27,32.15,987,
2025-08-01,INOD,612,559,0.07483005366726243,0.07000000000000028,48.46,48.4,559,
2025-08-05,CSTL,593,81,0.10222222222222158,0.09999999999999787,21.13,20.97,81,
2025-08-05,FLGT,639,10,0.0730000000000011,0.07500000000000107,20.69,20.62,10,
2025-08-05,LMND,577,893,0.17783874580067177,0.1699999999999946,46.0,45.8,895,
2025-08-05,QUBX,595,666,0.1122072072072071,0.10999999999999943,21.18,21.0,666,
2025-08-05,VVX,653,64,0.7337500000000013,0.8299999999999983,56.99,56.17,64,
2025-08-06,AMWD,611,139,0.3038129496402874,0.30999999999999517,61.56,61.21,139,
2025-08-06,LEU,585,257,0.6759143968871573,0.6700000000000159,259.89,258.41,257,
2025-08-06,RIGL,613,19,0.17421052631578995,0.17999999999999972,28.87,28.66,19,
2025-08-06,RNA,705,403,0.20101736972704826,0.1600000000000037,46.4,46.13,404,
2025-08-06,ZETA,577,5938,0.021926574604243843,0.019999999999999574,20.4,20.38,6000,
2025-08-07,APP,594,1043,0.586241610738252,0.5799999999999841,421.55,420.79,1043,
2025-08-07,BLBD,579,108,0.3014814814814805,0.259999999999998,55.09,54.86,108,
2025-08-07,SYM,604,333,0.10282282282282228,0.10000000000000142,52.5,52.4,333,
2025-08-07,VITL,588,140,0.22321428571428545,0.18499999999999872,41.35,41.05,140,
2025-08-08,SOUX,588,2106,0.13997625830959162,0.14000000000000057,35.76,35.6,2106,
2025-08-11,BMNR,580,5995,0.13334111759799805,0.11999999999999744,61.16,61.04,6000,
2025-08-11,SOUX,577,1752,0.2556107305936074,0.22999999999999687,41.64,41.35,1752,
2025-08-12,ASTX,577,1188,0.24061447811447784,0.240000000000002,35.59,35.32,1188,
2025-08-12,CE,704,258,0.08612403100775201,0.0899999999999963,42.13,42.04,258,
2025-08-12,INSM,720,654,0.3419266055045869,0.29000000000000625,120.36,120.03,655,
2025-08-13,IDR,813,107,0.1717757009345794,0.10999999999999943,25.1,24.92,107,
2025-08-13,NEGG,626,198,1.0825757575757569,0.7449999999999974,91.5,91.0,198,
2025-08-15,CRWV,593,1570,0.1470318471337586,0.14000000000000057,100.86,100.71,1573,
2025-08-15,HSAI,591,1350,0.0600148148148148,0.05999999999999872,26.96,26.85,1358,
2025-08-15,TATT,639,20,0.1885000000000005,0.19500000000000028,38.0,37.67,20,
2025-08-22,ACMR,577,451,0.11878048780487813,0.11000000000000298,30.26,30.08,451,
2025-08-22,ETHV,608,5887,0.08729913368438924,0.0799999999999983,65.75,65.7,5887,
2025-08-22,ETHW,608,5516,0.013422770123278053,0.010000000000005116,32.16,32.15,5682,
