cell,weeks,green,redstreak,worst,total,mdd,per_wk,n,churn,net,tc,t,after_change,after_same
F12-r20 REFIT,55,36.36363636363637,7,-1843.5310403757367,-2560.3656811480932,-6725.517370859399,11.4,627,83.33333333333334,-0.04083517832772078,-0.6390413964950371,-0.7960111534839781,-97.23044568222083,181.50043745518443
F12-f FROZEN (L=20 weeks),55,38.18181818181819,5,-2135.8836546633593,-8025.805734691735,-10638.526378252613,31.727272727272727,1745,0.0,-0.04599315607273204,-1.3975588610449543,-1.5272056565913905,,
F12-r26 REFIT,49,30.612244897959183,8,-1605.8828771352958,-4491.341407396789,-8174.2123801250955,10.959183673469388,537,81.25,-0.08363764259584336,-1.3156761126623127,-1.524309592977881,-89.67785479179088,-99.39050705169439
F12-f FROZEN (L=26 weeks),49,38.775510204081634,5,-2135.8836546633593,-5230.236457482921,-9227.747871936946,31.571428571428573,1547,0.0,-0.03380889759200337,-0.9764733680241731,-1.063774903751219,,
F12-s26 SIZING refit,49,36.734693877551024,9,-2584.4179868050496,-3890.394287159492,-9482.172325006466,31.571428571428573,1547,,,,,,
F12-r34 REFIT,41,31.70731707317073,8,-2096.977055976676,-2012.787768067517,-5014.044545546292,9.536585365853659,391,65.0,-0.051477948032417314,-0.6882691894558656,-0.8221809507393875,51.905901053325124,-224.1560796969313
F12-f FROZEN (L=34 weeks),41,39.02439024390244,5,-2017.8387236076512,162.769536717964,-6319.081963463722,31.75609756097561,1302,0.0,0.0012501500515972608,0.03279718572968646,0.03568173764576981,,
F12-s34 SIZING refit,41,46.34146341463415,4,-1845.2006813501657,3440.942658935963,-6135.033677538295,31.75609756097561,1302,,,,,,
