day,symbol,entry_m
2025-01-30,TECX,581
2025-02-04,PLTU,588
2025-02-04,PTIR,588
2025-02-05,SMCI,624
2025-02-05,SMCX,619
2025-02-05,WGS,592
2025-02-06,AMSC,577
2025-02-07,BYRN,625
2025-02-07,LEU,583
2025-02-10,CENX,589
2025-02-11,GDS,578
2025-02-12,SMCX,587
2025-02-13,GRRR,590
2025-02-13,SMCX,631
2025-02-13,TEM,615
2025-02-14,HIMS,599
2025-02-14,NBIS,614
2025-02-18,NBIS,605
2025-02-18,SOFX,610
2025-02-20,U,631
2025-02-21,SEI,581
2025-02-21,U,594
2025-02-26,LMND,593
2025-02-27,SG,622
2025-03-05,GRRR,589
2025-03-06,HIPO,619
2025-03-11,CIEN,704
2025-03-17,HSAI,646
2025-03-18,ARQQ,602
2025-03-20,IMCR,582
2025-03-31,CORT,577
2025-03-31,PCVX,729
2025-04-04,RH,672
2025-04-04,VIXY,648
2025-04-04,VXX,648
2025-04-07,LABU,613
2025-04-07,NAIL,615
2025-04-07,STEP,612
2025-04-09,AA,805
2025-04-09,ACLX,808
2025-04-09,APO,802
2025-04-09,BABX,806
2025-04-09,BWIN,806
2025-04-09,HELE,805
2025-04-09,IONQ,816
2025-04-09,KGS,806
2025-04-09,KYMR,804
2025-04-09,MU,805
2025-04-09,NUVL,802
2025-04-09,PLTR,801
2025-04-09,SLNO,805
2025-04-09,SRAD,805
2025-04-09,UNFI,804
2025-04-09,WGS,804
2025-04-09,YINN,805
2025-04-14,BMA,593
2025-04-14,SMMT,606
2025-04-16,KMTS,625
2025-04-23,BNTX,626
2025-04-29,BHF,823
2025-05-02,DUOL,610
2025-05-07,HRTG,589
2025-05-07,RGC,699
2025-05-08,LEU,590
2025-05-08,LQDT,621
2025-05-09,ETHD,639
2025-05-09,RGC,600
2025-05-09,TTD,578
2025-05-13,CONL,577
2025-05-13,FSLR,577
2025-05-13,RGTX,584
2025-05-14,ETON,577
2025-05-14,GLBE,607
2025-05-14,NUTX,577
2025-05-14,OKLO,577
2025-05-15,CRWV,679
2025-05-19,SOC,607
2025-05-20,ARQQ,733
2025-05-20,NBIS,627
2025-05-22,ARQQ,604
2025-05-23,BAH,608
2025-05-23,LEU,606
2025-05-23,NNE,577
2025-05-23,OKLO,585
2025-05-27,SMR,614
2025-05-29,AI,577
2025-05-29,ELF,577
2025-06-06,VERA,592
2025-06-09,ETOR,599
2025-06-11,GPCR,771
2025-06-11,IONX,618
2025-06-11,RGTX,611
2025-06-13,ELVN,577
2025-06-17,RDTL,577
2025-06-18,ARQQ,580
2025-06-18,MVLL,582
2025-06-20,GRRR,581
2025-06-20,OSCR,650
2025-06-20,QNTM,594
2025-06-23,HNGE,604
2025-06-24,AMBA,689
2025-06-26,AVAV,577
2025-06-26,NNNN,581
2025-06-26,WGMI,753
2025-06-30,APPX,594
2025-06-30,NNNN,674
2025-07-02,HOOX,587
2025-07-02,IONL,758
2025-07-08,FCX,779
2025-07-09,MNTN,589
2025-07-14,SBET,619
2025-07-16,DXYZ,597
2025-07-18,SBET,613
2025-07-22,AEHR,577
2025-07-23,FWRD,800
2025-07-24,BE,577
2025-07-24,HZO,614
2025-07-24,TREE,631
2025-07-24,VKTX,625
2025-07-30,NEGG,693
2025-07-30,SOFX,610
2025-07-31,APPX,589
2025-07-31,CVNA,603
2025-07-31,PI,592
2025-07-31,SOFX,588
2025-08-01,INOD,612
2025-08-05,CSTL,593
2025-08-05,FLGT,639
2025-08-05,LMND,577
2025-08-05,QUBX,595
2025-08-05,VVX,653
2025-08-06,AMWD,611
2025-08-06,LEU,585
2025-08-06,RIGL,613
2025-08-06,RNA,705
2025-08-06,ZETA,577
2025-08-07,APP,594
2025-08-07,BLBD,579
2025-08-07,SYM,604
2025-08-07,VITL,588
2025-08-08,SOUX,588
2025-08-11,BMNR,580
2025-08-11,SOUX,577
2025-08-12,ASTX,577
2025-08-12,CE,704
2025-08-12,INSM,720
2025-08-13,IDR,813
2025-08-13,NEGG,626
2025-08-15,CRWV,593
2025-08-15,HSAI,591
2025-08-15,TATT,639
2025-08-22,ACMR,577
2025-08-22,ETHV,608
2025-08-22,ETHW,608
2025-08-26,CBRL,653
2025-08-27,SATS,608
2025-08-28,AIRO,611
2025-08-28,PSTG,577
2025-08-29,AFRM,577
2025-09-02,CYTK,586
2025-09-02,IONS,577
2025-09-02,MLYS,577
2025-09-03,MLYS,584
2025-09-05,ABVX,699
2025-09-08,AVGX,605
2025-09-08,AVL,605
2025-09-10,TVTX,591
2025-09-11,MULL,577
2025-09-15,IONL,597
2025-09-15,OKLL,658
2025-09-16,WBTN,734
2025-09-19,SCLX,619
2025-09-19,SMU,590
2025-09-22,MBX,600
2025-09-22,OKLL,594
2025-09-22,QUBX,834
2025-09-22,STEM,592
2025-09-23,LTBR,595
2025-09-23,SCLX,590
2025-09-23,SRRK,590
2025-09-24,GDS,629
