label,n_nights,n_days,gross_bps,net_bps_5bp,t_day_clustered,t_naive,ex_top5pct_bps,ex_top1pct_bps,winner_capped_bps,flagged_gt30pct,flagged_gt30pct_share,sample,N,cell,split,year,universe_placebo_bps,placebo_margin_bps,placebo_margin_t,null_mean_bps,null_pctile_of_actual,n_weeks,green_frac,red,flat,weekly_p10_R,n_strong_weeks,gap_median_wk,gap_p90_wk,n_cycles
EXTENSION/N10/TRAIN,9364,1109,22.222796784410775,17.222796784410782,2.365203666847557,2.8460859197476185,0.4474483448033214,3.712619105343205,-24.610095633140713,49,0.00523280649295173,EXTENSION,10,1550,TRAIN,ALL,4.7295873786768485,14.4654874316446,1.7417607103700647,-0.24498916150585479,99.5,235.0,0.11914893617021277,13.0,194.0,-0.32813928491084476,0.0,,,0.0
EXTENSION/N10/TRAIN/2020,2196,247,69.78187655615649,64.78187655615649,3.3635817341584775,4.495597679556033,27.532675862651438,46.20941948235663,-9.47449759293127,17,0.007741347905282332,EXTENSION,10,1550,TRAIN,2020,,,,,,,,,,,,,,
EXTENSION/N10/TRAIN/2021,2375,252,27.400124999189558,22.40012499918956,1.1670279195840845,1.406103551197745,-3.302066700710687,-5.504439406663279,-42.25579295220896,20,0.008421052631578947,EXTENSION,10,1550,TRAIN,2021,,,,,,,,,,,,,,
EXTENSION/N10/TRAIN/2022,1582,239,-12.233727361506226,-17.23372736150623,-0.35634723044847066,-1.5510484742013468,-15.890725953905532,-20.092650152007163,-34.912411583413395,5,0.0031605562579013905,EXTENSION,10,1550,TRAIN,2022,,,,,,,,,,,,,,
EXTENSION/N10/TRAIN/2023,2046,249,-1.6786952037174083,-6.678695203717413,-0.09306877555467907,-1.1884652921826677,-4.595680378003985,-4.703679486922016,-14.823938343533133,1,0.0004887585532746823,EXTENSION,10,1550,TRAIN,2023,,,,,,,,,,,,,,
EXTENSION/N10/TRAIN/2024,1165,122,10.786556542091235,5.7865565420912315,0.3176087433557364,0.3711373096735161,5.884663505485597,2.1905878423313214,-20.364135242341245,6,0.005150214592274678,EXTENSION,10,1550,TRAIN,2024,,,,,,,,,,,,,,
EXTENSION/N25/TRAIN,17071,1109,18.516957116324544,13.516957116324543,1.9406901322457617,3.6898458729620263,2.710622204563334,4.801831205298894,-14.604339475830152,54,0.0031632593286860756,EXTENSION,25,1551,TRAIN,ALL,4.7295873786768485,8.011062399803217,1.1784634340672502,-0.2688758997128905,99.8,235.0,0.15319148936170213,19.0,180.0,-0.4474814934632013,0.0,,,0.0
EXTENSION/N25/TRAIN/2020,4318,247,47.45609149146623,42.45609149146623,3.212983644320693,5.398710149387383,18.74027119622067,30.427999150716392,-2.011554878591493,17,0.003937007874015748,EXTENSION,25,1551,TRAIN,2020,,,,,,,,,,,,,,
EXTENSION/N25/TRAIN/2021,4897,252,24.904816395019704,19.904816395019704,1.462241975515446,2.2836995412801357,2.7951570995497246,2.488581934087755,-20.664131975503555,23,0.004696753114151521,EXTENSION,25,1551,TRAIN,2021,,,,,,,,,,,,,,
EXTENSION/N25/TRAIN/2022,2122,239,-13.155788855062694,-18.155788855062696,-0.4960272883351554,-2.1370757880215856,-14.554959954507936,-19.759460107017716,-31.33565616847323,5,0.00235626767200754,EXTENSION,25,1551,TRAIN,2022,,,,,,,,,,,,,,
EXTENSION/N25/TRAIN/2023,3315,249,-5.870286468135471,-10.870286468135475,-0.48318126431000635,-2.435133066455035,-5.400668634923344,-6.630519446016618,-16.997309215470285,3,0.0009049773755656109,EXTENSION,25,1551,TRAIN,2023,,,,,,,,,,,,,,
EXTENSION/N25/TRAIN/2024,2419,122,15.132397510758873,10.132397510758873,0.33452878426424026,1.249608499128763,7.70076641556015,7.163028437639004,-6.859110584255206,6,0.0024803637866887144,EXTENSION,25,1551,TRAIN,2024,,,,,,,,,,,,,,
PANEL/N10/TRAIN,1229,126,18.042328033293906,13.042328033293906,0.5971204510473327,0.7824006063207269,9.277652316040403,11.568545901363398,-26.66365131305355,7,0.005695687550854353,PANEL,10,1550,TRAIN,ALL,11.328148585598592,1.1435880224532469,0.055774397890044784,6.558801019107372,87.2,27.0,0.1111111111111111,2.0,22.0,-0.3877203279721939,0.0,,,0.0
PANEL/N10/TRAIN/2025,1229,126,18.042328033293906,13.042328033293906,0.5971204510473327,0.7824006063207269,9.277652316040403,11.568545901363398,-26.66365131305355,7,0.005695687550854353,PANEL,10,1550,TRAIN,2025,,,,,,,,,,,,,,
PANEL/N10/VAL,1003,102,62.50837686766899,57.50837686766898,1.6295056112422577,1.793982030736182,8.784380070108762,18.63786963154625,-25.08959639248066,9,0.00897308075772682,PANEL,10,1550,VAL,ALL,2.7383430085290272,53.278279733582465,1.5077028270714044,-2.5353354605375924,99.0,22.0,0.22727272727272727,2.0,15.0,-0.18156159450322565,0.0,,,0.0
PANEL/N10/VAL/2026,1003,102,62.50837686766899,57.50837686766898,1.6295056112422577,1.793982030736182,8.784380070108762,18.63786963154625,-25.08959639248066,9,0.00897308075772682,PANEL,10,1550,VAL,2026,,,,,,,,,,,,,,
PANEL/N10/TEST,647,67,-15.720706994134764,-20.720706994134765,-0.862667906831691,-0.9587494092403709,-8.967959948801326,-14.377616014703458,-49.85401357175479,8,0.012364760432766615,PANEL,10,1550,TEST,ALL,8.449602324596063,-29.713690350204928,-1.2252700370811405,3.495028735665712,0.8,14.0,0.0,1.0,13.0,-0.3920885902410806,0.0,,,0.0
PANEL/N10/TEST/2026,647,67,-15.720706994134764,-20.720706994134765,-0.862667906831691,-0.9587494092403709,-8.967959948801326,-14.377616014703458,-49.85401357175479,8,0.012364760432766615,PANEL,10,1550,TEST,2026,,,,,,,,,,,,,,
PANEL/N25/TRAIN,2762,126,22.001667059913547,17.00166705991355,1.1394303833108232,1.8996335510549314,12.163682507683484,15.045652721807786,-9.877250754666099,9,0.0032585083272990588,PANEL,25,1551,TRAIN,ALL,11.328148585598592,4.992141477905529,0.3847556511725036,6.4828923678813535,92.60000000000001,27.0,0.25925925925925924,6.0,14.0,-0.6978663960277782,0.0,,,0.0
PANEL/N25/TRAIN/2025,2762,126,22.001667059913547,17.00166705991355,1.1394303833108232,1.8996335510549314,12.163682507683484,15.045652721807786,-9.877250754666099,9,0.0032585083272990588,PANEL,25,1551,TRAIN,2025,,,,,,,,,,,,,,
PANEL/N25/VAL,2271,102,35.80190543298442,30.80190543298442,1.085092696132344,2.0040478741084877,5.372827498883089,9.676627900003131,-18.504751210578988,13,0.005724350506384853,PANEL,25,1551,VAL,ALL,2.7383430085290272,18.669716869928827,0.9216754780299053,-2.7079445595729275,98.7,22.0,0.36363636363636365,3.0,11.0,-0.61546035638224,0.0,,,0.0
PANEL/N25/VAL/2026,2271,102,35.80190543298442,30.80190543298442,1.085092696132344,2.0040478741084877,5.372827498883089,9.676627900003131,-18.504751210578988,13,0.005724350506384853,PANEL,25,1551,VAL,2026,,,,,,,,,,,,,,
PANEL/N25/TEST,1266,67,-13.70497897837513,-18.70497897837513,-1.3129115457055949,-1.6105605232777334,-10.441602937502532,-14.81811995360643,-34.920291059573046,8,0.00631911532385466,PANEL,25,1551,TEST,ALL,8.449602324596063,-30.94081132492226,-1.8487119477480682,3.169000539031786,0.0,14.0,0.07142857142857142,3.0,10.0,-0.5373853536292215,0.0,,,0.0
PANEL/N25/TEST/2026,1266,67,-13.70497897837513,-18.70497897837513,-1.3129115457055949,-1.6105605232777334,-10.441602937502532,-14.81811995360643,-34.920291059573046,8,0.00631911532385466,PANEL,25,1551,TEST,2026,,,,,,,,,,,,,,
