hypothesis,symbol,entry_time,entry_price,stop_loss,target,shares,exit_time,exit_price,exit_reason,pnl,pnl_pct,sizing_mode,risk_budget,risk_per_share,dollar_risk_per_trade,position_value
H1,BTOG,2026-02-02 15:29:00+00:00,3.21,3.09,3.44,4166,2026-02-02 15:53:00+00:00,3.09,stop,-499.92,-3.74,fixed_risk,500,0.1200,499.92,13352.03
H1,MVO,2026-02-02 14:48:00+00:00,1.72,1.65,1.87,6934,2026-02-02 15:11:00+00:00,1.65,stop,-499.94,-4.19,fixed_risk,500,0.0721,499.94,11941.04
H1,PBM,2026-02-04 15:22:00+00:00,2.85,2.76,3.04,5405,2026-02-04 17:19:00+00:00,2.76,stop,-499.96,-3.24,fixed_risk,500,0.0925,499.96,15417.76
H1,BNKK,2026-02-06 15:19:00+00:00,3.76,3.70,3.89,7692,2026-02-06 15:28:00+00:00,3.89,target,999.96,3.46,fixed_risk,500,0.0650,499.98,28921.92
H1,NTWK,2026-02-06 18:58:00+00:00,3.41,3.35,3.53,8333,2026-02-06 19:04:00+00:00,3.53,target,999.96,3.52,fixed_risk,500,0.0600,499.98,28415.53
H1,JFB,2026-02-09 15:15:00+00:00,33.49,33.30,33.86,2702,2026-02-09 15:16:00+00:00,33.86,target,999.74,1.10,fixed_risk,500,0.1850,499.87,90489.98
H1,OPTX,2026-02-11 19:46:00+00:00,6.40,6.31,6.58,5561,2026-02-11 19:53:00+00:00,6.58,target,999.87,2.81,fixed_risk,500,0.0899,499.93,35590.40
H1,DBGI,2026-02-17 15:16:00+00:00,5.36,5.27,5.54,5561,2026-02-17 15:18:00+00:00,5.54,target,999.87,3.35,fixed_risk,500,0.0899,499.93,29806.96
H1,INTS,2026-02-19 15:02:00+00:00,6.18,6.02,6.51,3111,2026-02-19 15:03:00+00:00,6.51,target,999.88,5.20,fixed_risk,500,0.1607,499.94,19241.53
H1,NAMM,2026-02-19 14:46:00+00:00,2.65,2.59,2.77,8333,2026-02-19 14:48:00+00:00,2.77,target,999.96,4.53,fixed_risk,500,0.0600,499.98,22082.45
H1,RLYB,2026-02-19 19:30:00+00:00,4.86,4.80,4.98,8305,2026-02-19 19:58:00+00:00,4.81,eod,-411.10,-1.02,fixed_risk,500,0.0602,499.96,40362.30
H1,DBGI,2026-02-20 14:39:00+00:00,5.16,5.08,5.33,5882,2026-02-20 14:43:00+00:00,5.33,target,999.94,3.29,fixed_risk,500,0.0850,499.97,30351.12
H1,ELWT,2026-02-25 15:03:00+00:00,7.34,7.26,7.50,6377,2026-02-25 15:04:00+00:00,7.50,target,999.91,2.14,fixed_risk,500,0.0784,499.96,46812.28
H1,HCTI,2026-02-26 19:14:00+00:00,6.37,6.31,6.49,8333,2026-02-26 19:17:00+00:00,6.49,target,999.96,1.88,fixed_risk,500,0.0600,499.98,53081.21
H1,ASTI,2026-02-27 14:46:00+00:00,6.04,5.96,6.19,6666,2026-02-27 14:51:00+00:00,5.96,stop,-499.95,-1.24,fixed_risk,500,0.0750,499.95,40262.64
H1,AENT,2026-03-02 19:47:00+00:00,5.49,5.38,5.72,4347,2026-03-02 19:58:00+00:00,5.38,stop,-499.91,-2.09,fixed_risk,500,0.1150,499.91,23865.03
H1,BUUU,2026-03-02 15:16:00+00:00,14.99,14.79,15.39,2500,2026-03-02 15:25:00+00:00,14.79,stop,-500.00,-1.33,fixed_risk,500,0.2000,500.00,37475.00
H1,INDO,2026-03-02 14:51:00+00:00,7.37,7.28,7.55,5555,2026-03-02 14:52:00+00:00,7.55,target,999.90,2.44,fixed_risk,500,0.0900,499.95,40940.35
