hypothesis,symbol,entry_time,entry_price,planned_entry,entry_gap,stop_loss,target,shares,exit_time,exit_price,exit_reason,pnl,pnl_pct,sizing_mode,risk_budget,risk_per_share,dollar_risk_per_trade,position_value,partial_taken,partial_price,partial_shares,partial_pnl
H11a,BTOG,2026-02-02 15:29:00+00:00,3.25,3.21,0.0440,3.09,3.44,10000,2026-02-02 15:53:00+00:00,3.09,stop,-1640.00,-5.05,fixed_risk,2000,0.1640,1640.00,32490.00,False,,0,0.00
H11a,OPTX,2026-02-04 18:01:00+00:00,7.01,7.00,0.0100,6.89,7.22,10000,2026-02-04 18:29:00+00:00,7.22,target,2100.00,3.00,fixed_risk,2000,0.1200,1200.00,70100.00,False,,0,0.00
H11a,PBM,2026-02-04 15:22:00+00:00,2.91,2.85,0.0575,2.76,3.04,10000,2026-02-04 17:19:00+00:00,2.76,stop,-1500.00,-5.15,fixed_risk,2000,0.1500,1500.00,29100.00,False,,0,0.00
H11a,NAMM,2026-02-05 14:46:00+00:00,3.54,3.54,0.0000,3.51,3.62,10000,2026-02-05 14:56:00+00:00,3.51,stop,-380.00,-1.07,fixed_risk,2000,0.0380,380.00,35430.00,False,,0,0.00
H11a,ASTI,2026-02-06 14:52:00+00:00,6.16,6.16,0.0000,6.09,6.29,10000,2026-02-06 14:53:00+00:00,6.29,target,1300.00,2.11,fixed_risk,2000,0.0650,650.00,61550.00,False,,0,0.00
H11a,HYPD,2026-02-06 18:31:00+00:00,4.32,4.30,0.0151,4.24,4.42,10000,2026-02-06 18:35:00+00:00,4.42,target,1049.00,2.43,fixed_risk,2000,0.0751,751.00,43151.00,False,,0,0.00
H11a,INDO,2026-02-06 15:05:00+00:00,3.45,3.45,0.0002,3.40,3.55,10000,2026-02-06 16:35:00+00:00,3.55,target,994.00,2.88,fixed_risk,2000,0.0500,500.00,34500.00,False,,0,0.00
H11a,NTWK,2026-02-06 18:52:00+00:00,3.41,3.39,0.0200,3.35,3.47,10000,2026-02-06 18:58:00+00:00,3.47,target,600.00,1.76,fixed_risk,2000,0.0600,600.00,34100.00,False,,0,0.00
H11a,RVSN,2026-02-06 14:37:00+00:00,4.75,4.70,0.0520,4.57,4.96,10000,2026-02-06 14:42:00+00:00,4.57,stop,-1820.00,-3.83,fixed_risk,2000,0.1820,1820.00,47520.00,False,,0,0.00
H11a,HIND,2026-02-09 15:13:00+00:00,2.75,2.75,0.0000,2.72,2.81,10000,2026-02-09 15:26:00+00:00,2.72,stop,-300.00,-1.09,fixed_risk,2000,0.0300,300.00,27500.00,False,,0,0.00
H11a,NAMM,2026-02-09 14:43:00+00:00,3.17,3.13,0.0395,3.09,3.21,10000,2026-02-09 14:46:00+00:00,3.09,stop,-800.00,-2.52,fixed_risk,2000,0.0800,800.00,31700.00,False,,0,0.00
H11a,FGL,2026-02-11 15:31:00+00:00,13.76,13.50,0.2636,12.99,14.52,3921,2026-02-11 15:43:00+00:00,12.99,stop,-3033.29,-5.62,fixed_risk,2000,0.7736,3033.29,53967.08,False,,0,0.00
