hypothesis,description,trade_count,win_rate,total_pnl,avg_win,avg_loss,actual_rr,max_drawdown,profit_factor
H0,Baseline (current),32,62.5,19145.869599999933,1395.7026199999968,-730.6819000000006,1.9101371198602233,-2845.9999999999955,3.183561866433705
H1,Fixed risk sizing only,32,62.5,14087.402099999948,999.8905899999979,-492.53414166666744,2.030093967935921,-1499.8550000000005,3.3834899465598687
H2,Conservative risk,32,62.5,7042.936599999975,499.89284999999893,-246.24336666666704,2.0300764108569482,-749.8700000000003,3.3834606847615802
H3,Aggressive risk,32,62.5,23916.489499999927,1705.658239999997,-849.7229416666682,2.0073110379419385,-2749.9249999999993,3.345518396569897
H4,"Pct stops, moderate",41,58.536585365853654,14318.19809999995,869.106774999998,-384.72732352941205,2.2590201471187052,-1499.6550000000016,3.1892049135793483
H5,"Pct stops, tight",59,64.40677966101694,22126.422285999935,781.9361605263139,-361.2929435238094,2.164271886685171,-1499.4717000000019,3.9163015092398337
H6,"Pct stops, wide",64,62.5,21411.577299999935,751.195294999998,-359.8431041666666,2.087563402776981,-1649.8238999999992,3.4792723379616346
H7,"Lower R:R, more wins",31,67.74193548387096,10211.48179999998,652.8110571428564,-349.75504000000006,1.8664807722080468,-999.7050000000008,3.919609621636898
H8,"Higher R:R, bigger wins",41,53.65853658536586,21237.183999999932,1268.6730545454514,-351.24332631578983,3.6119492086942446,-1499.6550000000016,4.1822569784880725
H9,Mid R:R sweet spot,34,64.70588235294117,18265.763699999963,1010.489954545453,-330.4179416666671,3.058217569688929,-999.8550000000014,5.606732211096371
