hypothesis,symbol,entry_time,entry_price,stop_loss,target,shares,exit_time,exit_price,exit_reason,pnl,pnl_pct,sizing_mode,risk_budget,risk_per_share,dollar_risk_per_trade,position_value
H9a,MVO,2026-02-02 14:48:00+00:00,1.72,1.65,1.90,10000,2026-02-02 15:11:00+00:00,1.65,stop,-721.00,-4.19,fixed_risk,750,0.0721,721.00,17221.00
H9a,NCI,2026-02-02 19:49:00+00:00,1.35,1.32,1.43,10000,2026-02-02 19:53:00+00:00,1.32,stop,-300.00,-2.22,fixed_risk,750,0.0300,300.00,13500.00
H9a,SNES,2026-02-02 18:53:00+00:00,2.03,1.98,2.15,10000,2026-02-02 18:54:00+00:00,2.15,target,1250.00,6.16,fixed_risk,750,0.0500,500.00,20300.00
H9a,ELAB,2026-02-03 18:27:00+00:00,2.35,2.32,2.42,10000,2026-02-03 18:37:00+00:00,2.32,stop,-300.00,-1.28,fixed_risk,750,0.0300,300.00,23500.00
H9a,BNKK,2026-02-06 15:19:00+00:00,3.76,3.70,3.92,10000,2026-02-06 15:28:00+00:00,3.92,target,1625.00,4.32,fixed_risk,750,0.0650,650.00,37600.00
H9a,NTWK,2026-02-06 18:58:00+00:00,3.41,3.35,3.56,10000,2026-02-06 19:59:00+00:00,3.44,eod,300.00,0.88,fixed_risk,750,0.0600,600.00,34100.00
H9a,OPTX,2026-02-11 19:46:00+00:00,6.40,6.31,6.62,8342,2026-02-11 20:00:00+00:00,6.39,eod,-55.89,-0.10,fixed_risk,750,0.0899,749.95,53388.80
H9a,ZNB,2026-02-11 14:54:00+00:00,0.27,0.26,0.30,10000,2026-02-11 15:13:00+00:00,0.26,stop,-117.00,-4.28,fixed_risk,750,0.0117,117.00,2731.00
H9a,DBGI,2026-02-17 15:16:00+00:00,5.36,5.27,5.58,8342,2026-02-17 15:18:00+00:00,5.58,target,1874.86,4.19,fixed_risk,750,0.0899,749.95,44713.12
H9a,GLXG,2026-02-17 14:48:00+00:00,2.64,2.60,2.75,10000,2026-02-17 14:51:00+00:00,2.75,target,1047.50,3.96,fixed_risk,750,0.0419,419.00,26419.00
H9a,CDIO,2026-02-18 19:55:00+00:00,2.43,2.39,2.53,10000,2026-02-18 19:59:00+00:00,2.39,stop,-400.00,-1.65,fixed_risk,750,0.0400,400.00,24300.00
